target,model,prefix_fraction,heldout_event_reference_cycle,n_train,n_test,mae,baseline_median_mae,mae_ratio_vs_baseline,spearman_rho,feature_set
phase_slope_positive_fraction_protocol_residual,ridge,0.25,60.0,38,14,0.16129882654319344,0.16163456214366181,0.9979228724598519,-0.020563439758076306,prefix_only
phase_slope_positive_fraction_protocol_residual,ridge,0.25,86.0,38,14,0.06218706853255939,0.05606984417311104,1.109100077763047,-0.2559316343510364,prefix_only
phase_slope_positive_fraction_protocol_residual,ridge,0.25,116.0,42,10,0.012654151240509646,0.0298734629116268,0.42359171007203955,0.07106690545187014,prefix_only
phase_slope_positive_fraction_protocol_residual,ridge,0.25,156.0,38,14,1.4523483482065713,0.07429488659789694,19.548429437237782,-0.5770095029005183,prefix_only
phase_slope_positive_fraction_protocol_residual,random_forest,0.25,60.0,38,14,0.15066553536361868,0.16163456214366181,0.932136873236964,0.3769963955647323,prefix_only
phase_slope_positive_fraction_protocol_residual,random_forest,0.25,86.0,38,14,0.05515432722457514,0.05606984417311104,0.9836718478169956,0.3722641954196893,prefix_only
phase_slope_positive_fraction_protocol_residual,random_forest,0.25,116.0,42,10,0.049309262617851055,0.0298734629116268,1.6506041754757468,-0.5685352436149611,prefix_only
phase_slope_positive_fraction_protocol_residual,random_forest,0.25,156.0,38,14,0.1427662852745186,0.07429488659789694,1.921616571638456,-0.2768714953433939,prefix_only
threshold_robust_phase_score_protocol_residual,ridge,0.25,60.0,38,14,0.2404752740299622,0.22663516914871035,1.0610677721963375,0.2967032967032967,prefix_only
threshold_robust_phase_score_protocol_residual,ridge,0.25,86.0,38,14,0.18409209490518644,0.19034245257453322,0.9671625662861557,0.3098901098901099,prefix_only
threshold_robust_phase_score_protocol_residual,ridge,0.25,116.0,42,10,0.1161255001510589,0.08726921330061974,1.3306582672062914,-0.43030303030303024,prefix_only
threshold_robust_phase_score_protocol_residual,ridge,0.25,156.0,38,14,2.0099170573819847,0.14865480165987383,13.520700542056682,0.006593406593406593,prefix_only
threshold_robust_phase_score_protocol_residual,random_forest,0.25,60.0,38,14,0.22720909729823077,0.22663516914871035,1.002532387853466,0.1032967032967033,prefix_only
threshold_robust_phase_score_protocol_residual,random_forest,0.25,86.0,38,14,0.18577916671337022,0.19034245257453322,0.9760259164498465,0.2527472527472528,prefix_only
threshold_robust_phase_score_protocol_residual,random_forest,0.25,116.0,42,10,0.1377979694109117,0.08726921330061974,1.5789986433845067,0.04242424242424241,prefix_only
threshold_robust_phase_score_protocol_residual,random_forest,0.25,156.0,38,14,0.2758279262701394,0.14865480165987383,1.8554928814290244,-0.27912087912087913,prefix_only
mode_review_priority,ridge,0.25,60.0,38,14,1.830499326256906,1.220467032967033,1.4998351260720624,-0.11661173173034782,prefix_only
mode_review_priority,ridge,0.25,86.0,38,14,1.2869050932473727,1.043269230769231,1.2335311492878038,-0.7128717185025034,prefix_only
mode_review_priority,ridge,0.25,116.0,42,10,3.1701276605812314,1.5423076923076926,2.0554443684566586,-0.11515151515151514,prefix_only
mode_review_priority,ridge,0.25,156.0,38,14,10.858927096896613,0.8578296703296707,12.658605166598448,0.3762378514318769,prefix_only
mode_review_priority,random_forest,0.25,60.0,38,14,1.6536003891369624,1.220467032967033,1.3548914837273027,-0.21122124992666771,prefix_only
mode_review_priority,random_forest,0.25,86.0,38,14,1.3431703008021685,1.043269230769231,1.287462776805765,-0.7172721612093091,prefix_only
