target,feature_set,model,prefix_fraction,folds,mean_mae,mean_baseline_median_mae,mean_mae_ratio_vs_baseline,mean_spearman_rho
mode_review_priority,prefix_plus_context,random_forest,0.25,4,1.0592716202597638,1.1659684065934068,0.9511939318245813,-0.05368043260973223
mode_review_priority,prefix_plus_context,random_forest,0.75,4,1.0915640049301112,1.1659684065934068,0.978816490353302,0.026907673128019095
mode_review_priority,prefix_plus_context,random_forest,0.5,4,1.0806693532771985,1.1659684065934068,0.9892989640211264,-0.04576961290551165
mode_review_priority,prefix_only,random_forest,0.75,4,1.3674554283986156,1.1659684065934068,1.207707191130374,0.03251819723775836
mode_review_priority,prefix_only,random_forest,0.25,4,1.371980650464081,1.1659684065934068,1.226684636380182,-0.1556607125106704
mode_review_priority,prefix_only,random_forest,0.5,4,1.4889501971281862,1.1659684065934068,1.3286753627513281,-0.08527362387927795
mode_review_priority,prefix_plus_context,ridge,0.75,4,3.69950532384075,1.1659684065934068,3.750145550993937,-0.00415545748067267
mode_review_priority,prefix_only,ridge,0.25,4,4.286614794245531,1.1659684065934068,4.361853952603743,-0.14209927848812237
mode_review_priority,prefix_only,ridge,0.75,4,4.081925160901786,1.1659684065934068,4.402836724006442,-0.4259678224320757
mode_review_priority,prefix_plus_context,ridge,0.5,4,4.294784999923433,1.1659684065934068,4.537737514727253,-0.05521063055980362
mode_review_priority,prefix_plus_context,ridge,0.25,4,5.363966459952519,1.1659684065934068,4.974247799358882,-0.04363937292334763
mode_review_priority,prefix_only,ridge,0.5,4,5.02953221077075,1.1659684065934068,5.453373737856383,-0.045439599873220174
phase_slope_positive_fraction_protocol_residual,prefix_plus_context,ridge,0.75,4,0.0832839895003345,0.08046818895657415,0.9616394215721442,-0.37845243463229955
phase_slope_positive_fraction_protocol_residual,prefix_only,random_forest,0.75,4,0.09442420781147409,0.08046818895657415,1.2386814862852065,-0.029431761390279407
phase_slope_positive_fraction_protocol_residual,prefix_plus_context,random_forest,0.75,4,0.09797355006760186,0.08046818895657415,1.2898450842579114,-0.2893985977404374
phase_slope_positive_fraction_protocol_residual,prefix_only,random_forest,0.5,4,0.09814396084681032,0.08046818895657415,1.3560279564168083,0.281227572239326
phase_slope_positive_fraction_protocol_residual,prefix_plus_context,random_forest,0.5,4,0.09776102681688015,0.08046818895657415,1.3589307086548692,0.10217848404113394
phase_slope_positive_fraction_protocol_residual,prefix_only,random_forest,0.25,4,0.09947385262014087,0.08046818895657415,1.3720073670420405,-0.024036536993483335
phase_slope_positive_fraction_protocol_residual,prefix_plus_context,random_forest,0.25,4,0.1026615549692842,0.08046818895657415,1.415461260225615,-0.2697506939442954
phase_slope_positive_fraction_protocol_residual,prefix_only,ridge,0.25,4,0.42212209863070843,0.08046818895657415,5.519761024383181,-0.19560941788944022
phase_slope_positive_fraction_protocol_residual,prefix_plus_context,ridge,0.25,4,0.48491919780923415,0.08046818895657415,6.320523922764016,-0.4586793536919799
phase_slope_positive_fraction_protocol_residual,prefix_plus_context,ridge,0.5,4,0.7836539867242182,0.08046818895657415,10.323794371325137,-0.3935645418145838
phase_slope_positive_fraction_protocol_residual,prefix_only,ridge,0.5,4,0.3632099644315539,0.08046818895657415,10.3827639032798,0.17306479492170596
phase_slope_positive_fraction_protocol_residual,prefix_only,ridge,0.75,4,2.01979728015491,0.08046818895657415,27.029640657483046,-0.047164533615122725
threshold_robust_phase_score_protocol_residual,prefix_only,ridge,0.5,4,0.2002879948935261,0.16322540917093428,1.2860510247533288,0.07462537462537464
threshold_robust_phase_score_protocol_residual,prefix_plus_context,random_forest,0.75,4,0.19533224126914847,0.16322540917093428,1.2900439197303275,0.06340326340326341
threshold_robust_phase_score_protocol_residual,prefix_only,random_forest,0.75,4,0.19540355927949105,0.16322540917093428,1.294568038341906,0.06586746586746586
threshold_robust_phase_score_protocol_residual,prefix_only,random_forest,0.5,4,0.19855733783143092,0.16322540917093428,1.3296785455193576,-0.006327006327006293
threshold_robust_phase_score_protocol_residual,prefix_plus_context,random_forest,0.5,4,0.19865513489416936,0.16322540917093428,1.3320668939566163,0.004095904095904143
threshold_robust_phase_score_protocol_residual,prefix_plus_context,random_forest,0.25,4,0.20602388424246001,0.16322540917093428,1.3436034008192095,0.006160506160506167
threshold_robust_phase_score_protocol_residual,prefix_only,random_forest,0.25,4,0.20665353992316304,0.16322540917093428,1.353262457279211,0.02983682983682985
threshold_robust_phase_score_protocol_residual,prefix_plus_context,ridge,0.75,4,0.21334091007575287,0.16322540917093428,1.3718725774806333,0.10356310356310358
threshold_robust_phase_score_protocol_residual,prefix_only,ridge,0.25,4,0.637652481617048,0.16322540917093428,4.219897286936367,0.04572094572094574
threshold_robust_phase_score_protocol_residual,prefix_plus_context,ridge,0.5,4,0.8502120774152837,0.16322540917093428,5.640995240414689,0.13696303696303697
threshold_robust_phase_score_protocol_residual,prefix_plus_context,ridge,0.25,4,1.205119363732161,0.16322540917093428,10.515157396217896,0.13832833832833832
threshold_robust_phase_score_protocol_residual,prefix_only,ridge,0.75,4,1.9379774334027782,0.16322540917093428,12.98763440878959,0.12114552114552116
