method,x_calibration_feature,y_physics_feature,n,spearman_rho,p_value
low_rank_dmd,mae_max,cumulative_abs_first_last_first,52,0.6311790318449586,5.262919264348995e-07
low_rank_dmd,mae_mean,cumulative_abs_first_last_first,52,0.5997609493724921,2.617353386541356e-06
low_rank_dmd,q90_undercoverage_rate,cumulative_abs_first_last_first,52,0.5857237773144632,5.078689277052973e-06
persistence,mae_max,q70_transformed_fraction_delta_first,52,0.5689404934687953,1.0784215447678619e-05
low_rank_dmd,mae_max,first_last_corr_first,52,-0.5423887987705966,3.2737403533159546e-05
low_rank_dmd,mae_mean,first_last_corr_first,52,-0.5328267736702809,4.774543799361904e-05
low_rank_dmd,q90_undercoverage_rate,first_last_corr_first,52,-0.5190275846391185,8.070506218586385e-05
low_rank_dmd,mae_max,roi_norm_total_variation_first,52,0.4705028600700077,0.0004318054972874795
persistence,mae_max,q70_max_abs_rate_per_s_first,52,0.45189106121403566,0.0007712158354588186
persistence,q90_undercoverage_rate,q70_transformed_fraction_delta_first,52,0.4332237047764606,0.0013363651557654161
low_rank_dmd,mae_max,q70_transformed_fraction_delta_first,52,0.4281567489114658,0.0015432469303859318
low_rank_dmd,mae_mean,roi_norm_total_variation_first,52,0.41936310082813966,0.0019709379047748708
low_rank_dmd,near_transition_fraction,q70_max_abs_rate_per_s_first,52,0.38379618083928957,0.004973272533392535
velocity,near_transition_fraction,q70_max_abs_rate_per_s_first,52,0.38379618083928957,0.004973272533392535
persistence,near_transition_fraction,q70_max_abs_rate_per_s_first,52,0.38379618083928957,0.004973272533392535
low_rank_dmd,q90_undercoverage_rate,roi_norm_total_variation_first,52,0.37705216465725716,0.005862584396798191
low_rank_dmd,q90_undercoverage_rate,q70_transformed_fraction_delta_first,52,0.37344400997154187,0.006393166249725583
velocity,mae_max,q70_transformed_fraction_delta_first,52,0.3730897293605396,0.006447454298738407
velocity,mae_mean,high_fraction_slope_per_s_first,52,0.3692478442755912,0.007062479239680737
low_rank_dmd,mae_mean,front_quality_score_first,52,0.34619653376590115,0.011935461944254495
persistence,mae_mean,high_fraction_slope_per_s_first,52,0.3455135319730214,0.012115686054582289
low_rank_dmd,mae_max,q70_max_abs_rate_per_s_first,52,0.32988986596089814,0.016925440013276925
low_rank_dmd,mae_max,front_quality_score_first,52,0.3152907026380944,0.022801958039821275
velocity,mae_max,q70_max_abs_rate_per_s_first,52,0.2832749935968582,0.04185492455244764
low_rank_dmd,mae_mean,q70_transformed_fraction_delta_first,52,0.281311363442329,0.04335720158483712
persistence,mae_max,roi_norm_total_variation_first,52,0.2714078374455733,0.051621434977224365
persistence,q90_undercoverage_rate,cumulative_abs_first_last_first,52,0.2671815453645342,0.055516996849045715
low_rank_dmd,q90_undercoverage_rate,q70_max_abs_rate_per_s_first,52,0.267167453774107,0.05553037209256904
velocity,near_transition_fraction,cumulative_abs_first_last_first,52,0.2652246323937507,0.05739950201931519
low_rank_dmd,near_transition_fraction,cumulative_abs_first_last_first,52,0.2652246323937507,0.05739950201931519
persistence,near_transition_fraction,cumulative_abs_first_last_first,52,0.2652246323937507,0.05739950201931519
velocity,mae_max,roi_norm_total_variation_first,52,0.2620165627934773,0.060596635751241947
low_rank_dmd,near_transition_fraction,q70_transformed_fraction_delta_first,52,0.260118898665992,0.06255419137102282
velocity,near_transition_fraction,q70_transformed_fraction_delta_first,52,0.260118898665992,0.06255419137102282
persistence,near_transition_fraction,q70_transformed_fraction_delta_first,52,0.260118898665992,0.06255419137102282
persistence,q90_undercoverage_rate,q70_max_abs_rate_per_s_first,52,0.2567029325798505,0.06620552488440865
low_rank_dmd,q90_undercoverage_rate,front_quality_score_first,52,0.25508560247799944,0.06799268429634418
low_rank_dmd,near_transition_fraction,first_last_corr_first,52,-0.253599970781443,0.06966801446045663
persistence,near_transition_fraction,first_last_corr_first,52,-0.253599970781443,0.06966801446045663
velocity,near_transition_fraction,first_last_corr_first,52,-0.253599970781443,0.06966801446045663
velocity,q90_undercoverage_rate,cumulative_abs_first_last_first,52,0.2496521522695262,0.07427991000124663
persistence,mae_max,cumulative_abs_first_last_first,52,0.23102535644156064,0.09938836612488242
velocity,q90_undercoverage_rate,first_last_corr_first,52,-0.2298169137145366,0.10122003882465125
low_rank_dmd,mae_mean,q70_max_abs_rate_per_s_first,52,0.2262443438914027,0.10678772454915117
velocity,mae_max,high_fraction_slope_per_s_first,52,0.22026807820370525,0.11662364511395887
persistence,q90_undercoverage_rate,first_last_corr_first,52,-0.21174183631429136,0.13183129585808037
persistence,mae_max,high_fraction_slope_per_s_first,52,0.2012294032271835,0.15257607931157868
velocity,q90_undercoverage_rate,front_quality_score_first,52,0.2009198910481305,0.15322137747670253
velocity,q90_undercoverage_rate,q70_transformed_fraction_delta_first,52,0.19981233965673512,0.15554698619014248
persistence,q90_undercoverage_rate,front_quality_score_first,52,0.19452367521875386,0.1670109828982643
persistence,mae_mean,roi_norm_total_variation_first,52,0.19286263126440706,0.17073550063717954
persistence,q90_undercoverage_rate,high_fraction_slope_per_s_first,52,0.18192164310325318,0.19678428278071733
persistence,q90_undercoverage_rate,roi_norm_total_variation_first,52,0.16931961098775253,0.2301441130817346
velocity,mae_max,cumulative_abs_first_last_first,52,0.16050542132673096,0.2556748189316941
persistence,mae_max,first_last_corr_first,52,-0.15743191325877232,0.26500956724476366
persistence,near_transition_fraction,front_quality_score_first,52,0.15308083801619368,0.2786093428723709
low_rank_dmd,near_transition_fraction,front_quality_score_first,52,0.15308083801619368,0.2786093428723709
velocity,near_transition_fraction,front_quality_score_first,52,0.15308083801619368,0.2786093428723709
low_rank_dmd,mae_max,high_fraction_slope_per_s_first,52,0.14010074276444975,0.32187185133450097
persistence,mae_max,front_quality_score_first,52,0.1331853496115427,0.34656708297666994
velocity,mae_mean,q70_max_abs_rate_per_s_first,52,-0.1322462221463331,0.35000864509775087
persistence,mae_mean,cumulative_abs_first_last_first,52,0.1269529582515154,0.3697974101257406
velocity,q90_undercoverage_rate,roi_norm_total_variation_first,52,0.1236430098757726,0.38250714293613414
velocity,mae_mean,roi_norm_total_variation_first,52,0.11363442329036114,0.42248759977049183
velocity,mae_max,first_last_corr_first,52,-0.10842653461965338,0.4441952858460718
