roi_id,cycleNo,method,mae_mean,mae_median,mae_max,q90_undercoverage_rate,near_transition_fraction,transition_distance_frac_median,cohort_role_first,is_event_roi_first,event_reference_cycle_first,mode_label_first,is_event_enriched_mode_first,q70_max_abs_rate_per_s_first,q70_transformed_fraction_delta_first,roi_norm_total_variation_first,front_quality_score_first,high_fraction_slope_per_s_first,first_last_corr_first,cumulative_abs_first_last_first,calibration_review_priority
cycle156_rank7_obj27,156.0,low_rank_dmd,0.042748408159241025,0.039207972586154896,0.0537605062127113,1.0,0.3125,0.25806451612903225,event,1,156.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,0.0093424479166666,0.1627170138888889,0.1347402796149254,1.6668088838929638,1.8938086475318184e-06,0.8532744525665208,0.060945488512516,3.842948717948718
cycle156_rank5_obj4,156.0,low_rank_dmd,0.030147722514811855,0.0280276779085397,0.0365267992019653,0.34375,0.3125,0.25806451612903225,event,1,156.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,0.0122938368055555,0.2067925347222222,0.1083476044237613,1.3097972948929866,3.2944787174310696e-06,0.8783012282705677,0.0476934053003788,3.698717948717949
cycle156_rank7_obj27,156.0,velocity,0.020000331744085952,0.0193475233390927,0.0270472466945648,1.0,0.3125,0.25806451612903225,event,1,156.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,0.0093424479166666,0.1627170138888889,0.1347402796149254,1.6668088838929638,1.8938086475318184e-06,0.8532744525665208,0.060945488512516,3.605769230769231
cycle156_rank8_obj10,156.0,low_rank_dmd,0.02098463079892093,0.017418870702385847,0.0319236293435096,0.125,0.3125,0.25806451612903225,event,1,156.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,0.0119032118055555,0.1720269097222221,0.0990672260522842,1.5796474218170364,2.0633059720247663e-06,0.902474052423648,0.0451687537133693,3.516025641025641
cycle156_rank7_obj27,156.0,persistence,0.012504549755249127,0.0117525085806846,0.0214838944375515,1.0,0.3125,0.25806451612903225,event,1,156.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,0.0093424479166666,0.1627170138888889,0.1347402796149254,1.6668088838929638,1.8938086475318184e-06,0.8532744525665208,0.060945488512516,3.4711538461538463
cycle156_rank2_obj2,156.0,low_rank_dmd,0.03390744520584117,0.03271086700260635,0.0408289432525634,0.78125,0.28125,0.25806451612903225,event,1,156.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,0.0093641493055555,0.1845703125,0.1043322518467903,1.2118362385241466,3.2458497123701337e-06,0.911386155315358,0.0451105311512947,3.400641025641026
cycle88_rank5_obj9,88.0,low_rank_dmd,0.01883768438710826,0.01756978966295715,0.038809522986412,0.03125,0.3125,0.25806451612903225,control,0,86.0,near_baseline_or_context_like,0,5.65925478236951e-05,0.0033854166666666,0.0534610629081726,0.9442061661567512,5.209842421916149e-06,0.9964242866045212,0.0100427977740764,3.269230769230769
cycle158_rank4_obj8,158.0,persistence,0.009836148019530757,0.007847940083593099,0.0396049283444881,0.1875,0.28125,0.25806451612903225,control,0,156.0,near_baseline_or_context_like,0,0.0121202256944444,0.0189453124999999,0.0914310723543167,1.010899066972006,1.0028880335544625e-07,0.9579235778561224,0.0207217503339052,3.2628205128205128
cycle158_rank2_obj1,158.0,velocity,0.010594460967695297,0.0082980329170823,0.0368532724678516,0.09375,0.28125,0.25806451612903225,control,0,156.0,optical_brightening_decorrelating_rollout_hard_front_positive,1,0.0091905381944444,0.0469401041666667,0.1032872214913368,0.7788033639340246,8.665901387946903e-07,0.9618005353006592,0.0186169259250164,3.217948717948718
cycle158_rank4_obj8,158.0,velocity,0.014917732129106246,0.0124895675107836,0.0463630929589271,0.09375,0.28125,0.25806451612903225,control,0,156.0,near_baseline_or_context_like,0,0.0121202256944444,0.0189453124999999,0.0914310723543167,1.010899066972006,1.0028880335544625e-07,0.9579235778561224,0.0207217503339052,3.2115384615384617
