feature,n,ridge_alpha,variance_explained_by_protocol_context
phase_slope_median_per_s,52,0.0001,0.5761976668252562
phase_slope_iqr_per_s,52,0.002154434690031882,0.5108145286787618
phase_slope_positive_fraction,52,0.0001,0.8102924305892074
phase_slope_negative_fraction,52,0.0001,0.8102924305892005
phase_slope_abs_median_per_s,52,0.002154434690031882,0.4299502078859232
radius2_slope_median_px2_per_s,52,46.41588833612773,0.17912568080214852
radius2_slope_iqr_px2_per_s,52,0.001,0.5849807009154628
radius2_slope_positive_fraction,52,10000.0,0.0013523813909147586
radius2_slope_negative_fraction,52,10000.0,0.0013523813909149807
diffusion_proxy_median_um2_per_s,52,46.41588833612773,0.1791256808021453
diffusion_proxy_iqr_um2_per_s,52,0.001,0.5849807009154601
default_q70_diffusion_proxy_um2_per_s,52,46.41588833612773,0.17446259407575404
diffusion_proxy_abs_median_um2_per_s,52,21.54434690031882,0.23794541320452967
q70_phase_slope_bootstrap_p50,52,0.0001,0.5650207815632267
q70_radius2_slope_bootstrap_p50_px2_per_s,52,46.41588833612773,0.1708437731683291
threshold_robust_phase_score,52,46.41588833612773,0.21729011119348596
threshold_robust_diffusion_score,52,10000.0,0.0020250773325224403
