rho,p_value,n,residual_feature,context_feature
0.2786417632501265,0.04547014144651775,52,threshold_robust_diffusion_score_protocol_residual,timing_elapsed_s
0.27368818382247617,0.09637535253082788,38,threshold_robust_phase_score_protocol_residual,I_abs_mean_mA
0.2210294986608872,0.11533345551470932,52,threshold_robust_diffusion_score_protocol_residual,n_frames_percentile
0.2542857517410755,0.12341226543196969,38,threshold_robust_diffusion_score_protocol_residual,duration_s
0.25200016516792556,0.12693699010765086,38,phase_slope_positive_fraction_protocol_residual,I_abs_mean_mA
-0.25200016516792556,0.12693699010765086,38,phase_slope_negative_fraction_protocol_residual,I_abs_mean_mA
0.17835320087394876,0.2840189000824228,38,threshold_robust_diffusion_score_protocol_residual,I_mean_mA
0.17305558104600968,0.2987975938794489,38,threshold_robust_diffusion_score_protocol_residual,V_mean
-0.17105961407155085,0.30449088524728557,38,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,I_mean_mA
-0.15825773327651863,0.34263285153049294,38,default_q70_diffusion_proxy_um2_per_s_protocol_residual,I_mean_mA
-0.14810451747356207,0.3748703476841376,38,radius2_slope_median_px2_per_s_protocol_residual,I_mean_mA
-0.14810451747356207,0.3748703476841376,38,diffusion_proxy_median_um2_per_s_protocol_residual,I_mean_mA
-0.12483699907437114,0.3778927657519308,52,phase_slope_positive_fraction_protocol_residual,cycles_to_block_end
0.12483699907437114,0.3778927657519308,52,phase_slope_negative_fraction_protocol_residual,cycles_to_block_end
-0.14404017324954718,0.38826174843832595,38,phase_slope_negative_fraction_protocol_residual,duration_s
0.14404017324954718,0.38826174843832595,38,phase_slope_positive_fraction_protocol_residual,duration_s
0.12934314044635972,0.43896068950821,38,diffusion_proxy_abs_median_um2_per_s_protocol_residual,V_mean
0.1075076943704261,0.4480882379620674,52,radius2_slope_negative_fraction_protocol_residual,cycles_from_block_start
-0.1075076943704261,0.4480882379620674,52,radius2_slope_positive_fraction_protocol_residual,cycles_from_block_start
0.10734307554654898,0.4487876761751771,52,phase_slope_median_per_s_protocol_residual,cycles_from_block_start
0.1065145224257774,0.452317169189287,52,phase_slope_median_per_s_protocol_residual,timing_elapsed_s
0.10625032323870136,0.453445801467443,52,diffusion_proxy_abs_median_um2_per_s_protocol_residual,n_frames_percentile
0.10613820429041425,0.4539252275931693,52,phase_slope_iqr_per_s_protocol_residual,cycles_from_block_start
0.10416660200020168,0.46240104038980234,52,radius2_slope_negative_fraction_protocol_residual,timing_elapsed_s
-0.10416660200020168,0.46240104038980234,52,radius2_slope_positive_fraction_protocol_residual,timing_elapsed_s
0.10325562399407086,0.46634600864674947,52,diffusion_proxy_abs_median_um2_per_s_protocol_residual,timing_elapsed_s
0.1016473205175484,0.4733547279929834,52,phase_slope_abs_median_per_s_protocol_residual,cycles_from_block_start
0.1008543304128134,0.4768310119982254,52,phase_slope_abs_median_per_s_protocol_residual,timing_elapsed_s
0.09973964998076132,0.4817403382246715,52,phase_slope_positive_fraction_protocol_residual,n_frames_percentile
-0.09973964998076132,0.4817403382246715,52,phase_slope_negative_fraction_protocol_residual,n_frames_percentile
0.0958440774372196,0.49910472948893436,52,threshold_robust_diffusion_score_protocol_residual,cycles_from_block_start
0.09330740772886137,0.5105826982411624,52,q70_phase_slope_bootstrap_p50_protocol_residual,timing_elapsed_s
0.09321322172460529,0.511011433383233,52,q70_phase_slope_bootstrap_p50_protocol_residual,cycles_from_block_start
-0.09142367526844447,0.5191919676808838,52,phase_slope_negative_fraction_protocol_residual,timing_elapsed_s
0.09142367526844447,0.5191919676808838,52,phase_slope_positive_fraction_protocol_residual,timing_elapsed_s
0.10594659968302503,0.5266895391918914,38,diffusion_proxy_abs_median_um2_per_s_protocol_residual,duration_s
0.08670385038040335,0.5410775529797371,52,threshold_robust_phase_score_protocol_residual,timing_elapsed_s
0.08668389896844109,0.5411710060381489,52,threshold_robust_diffusion_score_protocol_residual,cycles_to_block_end
0.10163229387355927,0.5437509954635126,38,radius2_slope_negative_fraction_protocol_residual,duration_s
-0.10163229387355927,0.5437509954635126,38,radius2_slope_positive_fraction_protocol_residual,duration_s
0.08145284099174349,0.5659395621003522,52,phase_slope_iqr_per_s_protocol_residual,n_frames_percentile
-0.09468977346670361,0.5717464644227065,38,radius2_slope_median_px2_per_s_protocol_residual,V_mean
-0.09468977346670361,0.5717464644227065,38,diffusion_proxy_median_um2_per_s_protocol_residual,V_mean
0.09383594873913467,0.5752342467792065,38,phase_slope_abs_median_per_s_protocol_residual,I_abs_mean_mA
-0.092041108474628,0.5825971973208574,38,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,V_mean
0.0779562809058226,0.5827841396144151,52,phase_slope_iqr_per_s_protocol_residual,timing_elapsed_s
0.09093749806126314,0.5871453286406173,38,diffusion_proxy_abs_median_um2_per_s_protocol_residual,I_mean_mA
0.07325068397990572,0.6058041884190477,52,diffusion_proxy_iqr_um2_per_s_protocol_residual,cycles_to_block_end
0.07325068397990572,0.6058041884190477,52,radius2_slope_iqr_px2_per_s_protocol_residual,cycles_to_block_end
0.0711364876680918,0.6162737837185237,52,phase_slope_iqr_per_s_protocol_residual,cycles_to_block_end
-0.14064216928154863,0.6315348080673537,14,threshold_robust_diffusion_score_protocol_residual,block_fraction_elapsed
0.06802737544483604,0.6318082461133897,52,default_q70_diffusion_proxy_um2_per_s_protocol_residual,cycles_to_block_end
-0.07968067184494174,0.6344064789165987,38,default_q70_diffusion_proxy_um2_per_s_protocol_residual,V_mean
0.06741815485891667,0.6348710135136867,52,phase_slope_median_per_s_protocol_residual,n_frames_percentile
0.07879778351424986,0.6381776669257955,38,threshold_robust_phase_score_protocol_residual,duration_s
-0.07827374517952333,0.6404203106113292,38,radius2_slope_negative_fraction_protocol_residual,I_abs_mean_mA
0.07827374517952333,0.6404203106113292,38,radius2_slope_positive_fraction_protocol_residual,I_abs_mean_mA
0.07779947629219369,0.6424526790716862,38,phase_slope_negative_fraction_protocol_residual,V_mean
-0.07779947629219369,0.6424526790716862,38,phase_slope_positive_fraction_protocol_residual,V_mean
0.13595409697216368,0.6430573802123376,14,phase_slope_abs_median_per_s_protocol_residual,block_fraction_elapsed
0.13595409697216368,0.6430573802123376,14,phase_slope_median_per_s_protocol_residual,block_fraction_elapsed
0.06414626484022083,0.6514227421936616,52,phase_slope_abs_median_per_s_protocol_residual,n_frames_percentile
0.062306608954045446,0.6608034875441439,52,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,cycles_to_block_end
-0.06159475385373331,0.6644473792293113,52,radius2_slope_positive_fraction_protocol_residual,n_frames_percentile
0.06159475385373331,0.6644473792293113,52,radius2_slope_negative_fraction_protocol_residual,n_frames_percentile
0.060689870597952444,0.6690904710222814,52,diffusion_proxy_median_um2_per_s_protocol_residual,cycles_to_block_end
0.060689870597952444,0.6690904710222814,52,radius2_slope_median_px2_per_s_protocol_residual,cycles_to_block_end
0.0587218155986988,0.679231119745254,52,q70_phase_slope_bootstrap_p50_protocol_residual,n_frames_percentile
0.06716568986426527,0.6886710943627032,38,radius2_slope_negative_fraction_protocol_residual,V_mean
-0.06716568986426527,0.6886710943627032,38,radius2_slope_positive_fraction_protocol_residual,V_mean
0.06255729915942312,0.7090644073165325,38,diffusion_proxy_abs_median_um2_per_s_protocol_residual,I_abs_mean_mA
-0.10782566311585395,0.7136902897870605,14,radius2_slope_median_px2_per_s_protocol_residual,block_fraction_elapsed
-0.10782566311585395,0.7136902897870605,14,default_q70_diffusion_proxy_um2_per_s_protocol_residual,block_fraction_elapsed
-0.10782566311585395,0.7136902897870605,14,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,block_fraction_elapsed
-0.10782566311585395,0.7136902897870605,14,diffusion_proxy_median_um2_per_s_protocol_residual,block_fraction_elapsed
0.051480862762120425,0.7170158182234478,52,radius2_slope_iqr_px2_per_s_protocol_residual,cycles_from_block_start
0.051480862762120425,0.7170158182234478,52,diffusion_proxy_iqr_um2_per_s_protocol_residual,cycles_from_block_start
0.06069857273506642,0.7173475530950326,38,threshold_robust_phase_score_protocol_residual,V_mean
-0.05105870476543752,0.719240636629418,52,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,n_frames_percentile
0.05093319400933191,0.719902537984423,52,diffusion_proxy_abs_median_um2_per_s_protocol_residual,cycles_from_block_start
-0.04838953132913303,0.7333602307724937,52,default_q70_diffusion_proxy_um2_per_s_protocol_residual,n_frames_percentile
-0.04838953132913303,0.7333602307724937,52,radius2_slope_median_px2_per_s_protocol_residual,n_frames_percentile
