roi_id,cohort_role,event_reference_cycle,cycleNo,phase_slope_median_per_s_protocol_residual,phase_slope_iqr_per_s_protocol_residual,phase_slope_positive_fraction_protocol_residual,phase_slope_negative_fraction_protocol_residual,phase_slope_abs_median_per_s_protocol_residual,radius2_slope_median_px2_per_s_protocol_residual,radius2_slope_iqr_px2_per_s_protocol_residual,radius2_slope_positive_fraction_protocol_residual,radius2_slope_negative_fraction_protocol_residual,diffusion_proxy_median_um2_per_s_protocol_residual,diffusion_proxy_iqr_um2_per_s_protocol_residual,default_q70_diffusion_proxy_um2_per_s_protocol_residual,diffusion_proxy_abs_median_um2_per_s_protocol_residual,q70_phase_slope_bootstrap_p50_protocol_residual,q70_radius2_slope_bootstrap_p50_px2_per_s_protocol_residual,threshold_robust_phase_score_protocol_residual,threshold_robust_diffusion_score_protocol_residual
cycle58_rank6_obj29,control,60.0,58.0,1.9232411833181338e-07,-1.0908143327276857e-07,0.08496984281601061,-0.08496984284184739,2.4039692300562326e-07,0.0006894223288683995,-5.540558370742529e-05,0.21466667437282755,-0.2146666743728276,1.5884290457128425e-06,-1.2765446481504269e-07,1.674913610095394e-06,-2.8884899133849952e-06,1.461245265005719e-07,0.0007557326707924448,0.15243622368017118,-1.106676028022619
cycle58_rank4_obj2,control,60.0,58.0,-3.557078672312344e-07,-5.182590266190199e-07,0.08496984281601061,-0.08496984284184739,-3.076350625574245e-07,0.0019188676093260964,-0.0005676104947648253,0.6432381029442562,-0.6432381029442561,4.421070971887389e-06,-1.3077745798911509e-06,5.1749392689740565e-06,-5.5847987210448794e-08,-2.879406263473439e-07,0.002246697322993454,0.28705160829555576,0.4702470489004579
cycle58_rank1_obj1,control,60.0,58.0,-1.0521093089264456e-06,-4.878973161595657e-07,0.08496984281601061,-0.08496984284184739,-1.004036504252636e-06,-0.0007770973509621036,-0.0006590812626189254,-0.35676189705574385,0.3567618970557439,-1.7904322966166911e-06,-1.518523229027052e-06,-1.6537248070290433e-06,4.2578080735404723e-07,-9.388842516571796e-07,-0.000715387155613946,0.056282377526325034,0.6817855104389193
cycle58_rank3_obj9,control,60.0,58.0,1.8524113721453659e-06,8.988889732480774e-07,0.08496984281601061,-0.08496984284184739,1.9004841768191758e-06,-0.0006391660797284036,-0.0008398029436772253,-0.35676189705574385,0.3567618970557439,-1.4726386476942778e-06,-1.93490598218532e-06,-1.3861540833117263e-06,1.0798715843163387e-07,1.9276661636595693e-06,-0.000593468909115846,0.09474391598786347,0.7971701258235347
cycle60_rank3_obj9,event,60.0,60.0,2.2998918936290807e-06,6.573455226925818e-07,0.1594674278574455,-0.15946742787981127,2.092751640812165e-06,-0.0014398243133637882,-0.000799828545042376,-0.35663628018325183,0.3566362801832519,-3.3173552179902525e-06,-1.8428049677209469e-06,-4.2974061484360225e-06,1.877002417149028e-06,2.394321279084535e-06,-0.0018865117040336883,0.15673155034312986,0.9314665391220875
cycle60_rank1_obj1,event,60.0,60.0,-5.721108841179414e-07,-3.7761001936407575e-07,0.1594674278574455,-0.15946742787981127,-7.792511369348572e-07,-0.0005165997449099879,-0.00031532128261697596,-0.35663628018325183,0.3566362801832519,-1.1902458122727033e-06,-7.265002350929829e-07,-2.0493836218617717e-06,-2.501069885685212e-07,-6.554990845506741e-07,-0.0009003990455013883,0.0028853964969761114,0.2776203852759337
cycle60_rank2_obj2,event,60.0,60.0,6.826234746311135e-07,-4.4223886623416897e-07,0.1594674278574455,-0.15946742787981127,4.7548322181419767e-07,0.002583164049063412,0.0010784757108478241,0.6433637198167481,-0.6433637198167481,5.951609969042372e-06,2.4848080378499655e-06,6.067219932635646e-06,7.238508764201678e-07,7.035704927360926e-07,0.002657571123631312,0.46442385803543756,0.04685115450670296
cycle60_rank4_obj5,event,60.0,60.0,-3.020883439614745e-07,-2.571548301366837e-07,0.1594674278574455,-0.15946742787981127,-5.092285967783904e-07,0.0013549547366829122,-0.000939200360790876,0.6433637198167481,-0.6433637198167481,3.1218157133174993e-06,-2.163917631205638e-06,3.0253422269186607e-06,-2.1059433793047044e-06,-4.5500839227902116e-07,0.0013038457624499119,0.04134693495851455,0.5083896160451644
cycle60_rank6_obj26,event,60.0,60.0,-2.9120416730739994e-08,-3.7412236443320544e-07,0.1594674278574455,-0.15946742787981127,-2.3626066954765584e-07,2.143419787721209e-05,-0.00023070860733927603,-0.07092199446896613,0.07092199446896619,4.93843919089243e-08,-5.315526312531552e-07,1.6499435550219892e-07,-1.4897371927501488e-06,1.1703893175823783e-07,-1.0270954881388202e-05,0.17596231957389913,-0.4627642301086816
cycle60_rank5_obj18,event,60.0,60.0,-1.4793108948411167e-06,-1.8683162642988797e-07,-0.5548182864282688,0.554818286405903,-1.2653841546052157e-06,-0.000810760302295588,0.0002352798452295241,-0.35663628018325183,0.3566362801832519,-1.867991736489119e-06,5.420847634653156e-07,-1.7523817728958444e-06,4.276389356478945e-07,-1.8418933971731638e-06,-0.0007679224631915883,-0.7374992188876393,0.18146653912208754
