feature,n,ridge_alpha,variance_explained_by_protocol_context
roi_norm_mean_delta,52,0.0001,0.8898005676224245
roi_norm_mean_slope,52,0.0001,0.7170342715239539
high_fraction_delta,52,0.0001,0.8650980584817293
high_fraction_slope,52,0.0001,0.6544363703135186
low_fraction_delta,52,0.0001,0.8456929374261606
high_radius2_delta_px2,52,10000.0,0.001118645039817956
high_radius2_slope_px2_per_frame,52,215.44346900318823,0.06494670347471287
centroid_path_px,52,10.0,0.5317713952699574
first_last_corr,52,0.0001,0.6598821493372627
cumulative_abs_norm_change,52,4.641588833612772,0.7658716232942657
temporal_diff_energy,52,464.1588833612773,0.05058605527788895
latent_path_length,52,0.0001,0.5986685873557864
latent_mean_step,52,0.0001,0.5986685825607956
latent_net_displacement,52,0.0001,0.7702496454809311
persistence_mse,52,0.0001,0.2854921348671896
velocity_mse,52,10000.0,0.0011901666095280872
low_rank_dmd_mse,52,46.41588833612773,0.3363097559009811
dmd_minus_persistence_mse,52,46.41588833612773,0.3521832808963117
physics_no_qc_rf_event_probability,52,46.41588833612773,0.3062053616009036
