rho,p_value,n,residual_feature,context_feature
-0.3191192785949713,0.021115410333843652,52,velocity_mse_protocol_residual,cycles_to_block_end
-0.28914592830158914,0.07828915257631854,38,high_radius2_delta_px2_protocol_residual,I_mean_mA
-0.27788910208526774,0.09117074159447414,38,high_radius2_slope_px2_per_frame_protocol_residual,I_mean_mA
0.19599843455404314,0.1637540903396211,52,physics_no_qc_rf_event_probability_protocol_residual,cycles_to_block_end
-0.22182569308633368,0.1807360531828029,38,first_last_corr_protocol_residual,I_mean_mA
-0.13845260921218133,0.32765377817761315,52,high_radius2_delta_px2_protocol_residual,n_frames_percentile
-0.16046495410324832,0.3358564368537914,38,first_last_corr_protocol_residual,V_mean
0.13493547048930002,0.3402094976597055,52,high_radius2_slope_px2_per_frame_protocol_residual,cycles_to_block_end
0.1571541228631538,0.346052216319124,38,dmd_minus_persistence_mse_protocol_residual,I_mean_mA
0.1327549056759361,0.3481419024676365,52,physics_no_qc_rf_event_probability_protocol_residual,cycles_from_block_start
0.14834147214063997,0.3740981515930236,38,low_fraction_delta_protocol_residual,V_mean
0.12484843492391973,0.3778487313544493,52,roi_norm_mean_delta_protocol_residual,n_frames_percentile
0.1467801849775243,0.3792034724983696,38,low_rank_dmd_mse_protocol_residual,I_mean_mA
0.12223966562239659,0.3879732045685598,52,temporal_diff_energy_protocol_residual,cycles_from_block_start
0.11907957620674552,0.4004495690149943,52,temporal_diff_energy_protocol_residual,n_frames_percentile
0.13750985750525957,0.41035286975763124,38,latent_net_displacement_protocol_residual,V_mean
0.11590770368297476,0.4132044380086719,52,high_radius2_delta_px2_protocol_residual,cycles_to_block_end
-0.13508930561244634,0.4187193024160158,38,high_fraction_delta_protocol_residual,V_mean
0.11012492983978851,0.4370490311273863,52,low_rank_dmd_mse_protocol_residual,n_frames_percentile
0.1079723706169623,0.4461171484825924,52,dmd_minus_persistence_mse_protocol_residual,n_frames_percentile
-0.10778121054877979,0.446927441606934,52,velocity_mse_protocol_residual,cycles_from_block_start
-0.12669447545428408,0.4484689165494285,38,roi_norm_mean_delta_protocol_residual,V_mean
0.12625303128893817,0.45006443230627236,38,velocity_mse_protocol_residual,I_mean_mA
0.12514942087557332,0.4540666649397046,38,latent_net_displacement_protocol_residual,I_mean_mA
-0.11632053756865456,0.4867662472661977,38,temporal_diff_energy_protocol_residual,V_mean
-0.09003988998548683,0.525562282652009,52,low_rank_dmd_mse_protocol_residual,cycles_to_block_end
-0.08911595182500479,0.5298371435382994,52,persistence_mse_protocol_residual,n_frames_percentile
-0.08655768429544038,0.5417623807394498,52,dmd_minus_persistence_mse_protocol_residual,cycles_to_block_end
0.08265827415652617,0.560185441502185,52,cumulative_abs_norm_change_protocol_residual,n_frames_percentile
0.07754989539485375,0.5847565055890271,52,roi_norm_mean_delta_protocol_residual,cycles_from_block_start
0.07573797375851034,0.5935869460146114,52,cumulative_abs_norm_change_protocol_residual,cycles_to_block_end
0.07456465147869966,0.5993365342149376,52,physics_no_qc_rf_event_probability_protocol_residual,n_frames_percentile
-0.07238013255739412,0.610105854177231,52,temporal_diff_energy_protocol_residual,cycles_to_block_end
-0.08210861475434439,0.6240827021348097,38,high_radius2_delta_px2_protocol_residual,V_mean
-0.0792392276795958,0.6362909445594861,38,high_radius2_slope_px2_per_frame_protocol_residual,V_mean
0.059075654094290414,0.6774037029826764,52,low_fraction_delta_protocol_residual,cycles_to_block_end
-0.0587218155986988,0.679231119745254,52,velocity_mse_protocol_residual,n_frames_percentile
-0.06820312354594738,0.6841093078375128,38,centroid_path_px_protocol_residual,I_mean_mA
-0.06290579356179611,0.7075150191429671,38,persistence_mse_protocol_residual,V_mean
-0.05290480151937057,0.7095287572972647,52,persistence_mse_protocol_residual,cycles_from_block_start
-0.058049907742990806,0.7292059410883011,38,cumulative_abs_norm_change_protocol_residual,V_mean
-0.04808531649483164,0.7349751577378817,52,high_radius2_delta_px2_protocol_residual,cycles_from_block_start
0.04720904649037001,0.7396331758404301,52,latent_path_length_protocol_residual,cycles_from_block_start
0.04720904649037001,0.7396331758404301,52,latent_mean_step_protocol_residual,cycles_from_block_start
-0.04477121601488295,0.7526403655147393,52,persistence_mse_protocol_residual,cycles_to_block_end
0.05054535693210986,0.763134860882239,38,temporal_diff_energy_protocol_residual,I_mean_mA
-0.04104028134697604,0.7726783830617993,52,high_fraction_slope_protocol_residual,cycles_to_block_end
-0.040294094413394654,0.7767041513917348,52,roi_norm_mean_slope_protocol_residual,cycles_to_block_end
-0.03943488496217603,0.7813468971921359,52,high_radius2_slope_px2_per_frame_protocol_residual,n_frames_percentile
-0.038746066010871646,0.7850744098820943,52,first_last_corr_protocol_residual,n_frames_percentile
0.03817989810158074,0.7881417886842487,52,latent_net_displacement_protocol_residual,cycles_to_block_end
-0.03643957302403621,0.7975902798269215,52,high_fraction_delta_protocol_residual,cycles_to_block_end
0.035488935180695784,0.802763701599267,52,high_fraction_slope_protocol_residual,cycles_from_block_start
0.04150029280125048,0.8046098106022296,38,low_fraction_delta_protocol_residual,I_mean_mA
-0.03472219892679186,0.8069424472088843,52,dmd_minus_persistence_mse_protocol_residual,cycles_from_block_start
0.034697692411534295,0.8070760975952362,52,roi_norm_mean_delta_protocol_residual,cycles_to_block_end
0.03143618641006077,0.8249105624517071,52,first_last_corr_protocol_residual,cycles_from_block_start
-0.030340848904483745,0.8309202417380498,52,low_rank_dmd_mse_protocol_residual,cycles_from_block_start
-0.033991200731637194,0.8394518578602904,38,velocity_mse_protocol_residual,V_mean
0.03310831240094532,0.8435696667730395,38,roi_norm_mean_delta_protocol_residual,I_mean_mA
-0.03244614615292642,0.8466607192072007,38,persistence_mse_protocol_residual,I_mean_mA
0.03244614615292642,0.8466607192072007,38,cumulative_abs_norm_change_protocol_residual,I_mean_mA
-0.032225424070253444,0.8476915747008953,38,high_fraction_slope_protocol_residual,V_mean
-0.03200470198758048,0.848722679783275,38,latent_path_length_protocol_residual,I_mean_mA
-0.03200470198758048,0.848722679783275,38,latent_mean_step_protocol_residual,I_mean_mA
0.026864512497934086,0.8500555156038864,52,high_fraction_delta_protocol_residual,n_frames_percentile
-0.024194765664566516,0.8648099385227989,52,latent_net_displacement_protocol_residual,n_frames_percentile
-0.02338052391888332,0.8693192159549514,52,centroid_path_px_protocol_residual,cycles_to_block_end
0.022300513548479457,0.875306662520614,52,high_fraction_slope_protocol_residual,n_frames_percentile
0.02190675011154061,0.8774913803007437,52,cumulative_abs_norm_change_protocol_residual,cycles_from_block_start
0.020893234140278712,0.8831187963013453,52,first_last_corr_protocol_residual,cycles_to_block_end
0.023837984928680632,0.8870338297579858,38,physics_no_qc_rf_event_probability_protocol_residual,I_mean_mA
0.022955096597988757,0.8911923471339022,38,roi_norm_mean_slope_protocol_residual,V_mean
0.022955096597988757,0.8911923471339022,38,physics_no_qc_rf_event_probability_protocol_residual,V_mean
0.02251365243264282,0.8932726881040102,38,roi_norm_mean_slope_protocol_residual,I_mean_mA
0.018511203844251815,0.8963667679299172,52,centroid_path_px_protocol_residual,cycles_from_block_start
0.01840167009369411,0.8969766565993194,52,roi_norm_mean_slope_protocol_residual,cycles_from_block_start
0.02074787577125907,0.9016009505883851,38,high_fraction_slope_protocol_residual,I_mean_mA
0.020307542673766447,0.9036794275768708,38,high_fraction_delta_protocol_residual,I_mean_mA
0.018761377027202347,0.9109826154831654,38,centroid_path_px_protocol_residual,V_mean
0.008083691780464978,0.9546438179715117,52,latent_mean_step_protocol_residual,cycles_to_block_end
0.008083691780464978,0.9546438179715117,52,latent_path_length_protocol_residual,cycles_to_block_end
-0.007577008464348233,0.9574840316473171,52,centroid_path_px_protocol_residual,n_frames_percentile
0.006572305595482139,0.9631174085378121,52,low_fraction_delta_protocol_residual,cycles_from_block_start
-0.00728382872820797,0.9653817637085939,38,low_rank_dmd_mse_protocol_residual,V_mean
0.005476687527885152,0.969262573886587,52,latent_net_displacement_protocol_residual,cycles_from_block_start
0.005367153777327449,0.9698770362266175,52,high_radius2_slope_px2_per_frame_protocol_residual,cycles_from_block_start
-0.005338574768481895,0.9700373615926209,52,low_fraction_delta_protocol_residual,n_frames_percentile
0.0026486649920756254,0.9874082662468224,38,dmd_minus_persistence_mse_protocol_residual,V_mean
0.0021907217699935907,0.9877022889132633,52,high_fraction_delta_protocol_residual,cycles_from_block_start
-0.0010332284269565773,0.994199754535336,52,latent_mean_step_protocol_residual,n_frames_percentile
-0.0010332284269565773,0.994199754535336,52,latent_path_length_protocol_residual,n_frames_percentile
0.0006621662480189064,0.9968519492394854,38,latent_mean_step_protocol_residual,V_mean
0.0006621662480189064,0.9968519492394854,38,latent_path_length_protocol_residual,V_mean
