qc_decision_rank,roi_id,cohort_role,cycleNo,event_reference_cycle,review_sources,review_priority_tier,combined_review_priority_score,recommended_review_reason,manual_qc_status,manual_qc_decision,manual_qc_notes,manual_particle_identity_ok,manual_front_mask_ok,manual_diffusion_interpretable,manual_reviewer,manual_review_date,auto_review_flags,mode_label,degradation_mode_hypothesis,qc_priority_score,control_balance_priority_score,mode_review_priority,front_quality_score,rollout_mobility_difficulty_score,threshold_robust_phase_score,phase_slope_positive_fraction_protocol_residual,diffusion_proxy_abs_median_um2_per_s,diffusion_proxy_abs_median_um2_per_s_protocol_residual,q70_phase_ci_positive,q70_radius_ci_crosses_zero,n_components,largest_component_fraction,edge_touch_fraction,q70_fraction_delta,n_frames_percentile,primary_qc_png,control_balanced_qc_png,roi_preview_path,front_crop_preview_path,front_tracking_plot_path,rollout_preview_path,auto_qc_tier,automatic_qc_surrogate_score,automatic_artifact_risk_score,surrogate_particle_identity_score,surrogate_front_mask_score,surrogate_diffusion_interpretability_score,auto_diffusion_guardrail,has_visual_asset,front_radius2_slope_r2_track,front_radius_monotonic_fraction_track,physics_consistency_rank,physics_consistency_tier,claim_readiness,physics_consistency_score,physics_pillar_support_count,physics_pillar_strong_support_count,physics_pillar_contradiction_count,physics_consistency_reason,recommended_claim_language,active_learning_rank,active_learning_qc_score,recommended_qc_tier,review_reason_tags,model_future_drop_probability,future_any_drop_within_8cycles_balanced_future,future_any_drop_within_16cycles_balanced_future,any_abrupt_drop_balanced_future,transferred_masked_residual_signature_balanced_future,phase_slope_positive_fraction_balanced_future,radius2_slope_median_px2_per_s_balanced_future,persistence_particle_mse_fraction_of_full_mean_balanced_future,low_rank_dmd_particle_mse_fraction_of_full_mean_balanced_future,visual_asset_count,qc_decision_priority_score,artifact_review_priority_score,decision_action_tier,decision_reason_tags,manual_label_allowed_values,physics_claim_guardrail
11,cycle156_rank5_obj4,event,156.0,156.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,high,13.178349878643404,event_roi;primary_visual_panel;control_balanced_panel;fragmentation_check;diffusion_ci_check;hard_rollout_mobility,pending,,,,,,,,fragmented_q70_mask;diffusion_ci_crosses_zero;already_in_primary_qc,optical_brightening_decorrelating_rollout_hard_front_positive,,4.9375,2.208197423738849,2.932692307692308,1.3097972948929866,3.0384615384615383,0.6826923076923077,0.0296361115027952,5.231516203009118e-07,-9.442528927093386e-07,1.0,1.0,75.0,0.3426616915422885,0.0,0.2043139604553625,0.9101123595505618,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank5_obj4_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank5_obj4_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank5_obj4.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank5_obj4_dmd_rollout.png,auto_surrogate_artifact_risk,0.5983277058279372,0.625,0.5597826086956522,0.7233580018501388,0.2692553191489362,1,1,0.0756415845917942,0.6451612903225806,2,cross_modal_review_priority,manual_qc_required_no_physics_claim,5.502829257224278,6,6,0,multi-pillar support;multiple strong pillars;front/kinetic agreement;rollout/mode agreement;precursor context;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,23,0.3368018999080781,standard_manual_qc,visual_asset_available,,,,,,,,,,4,0.6474468085106383,0.9202127659574467,review_artifact_or_reject_first,artifact_risk_review;cross_modal_review_priority;multi_pillar_support;front_mask_candidate;artifact_guardrail_needed;diffusion_claim_guardrail;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,no_diffusion_claim_until_manual_front_qc_and_calibration
21,cycle86_rank4_obj9,event,86.0,86.0,primary_visual_qc;ranked_review_packet,medium,6.422756519267371,event_roi;primary_visual_panel;fragmentation_check;diffusion_ci_check,pending,,,,,,,,fragmented_q70_mask;diffusion_ci_crosses_zero,,,3.668269230769231,,,,2.3269230769230766,0.5865384615384616,0.0650642115750638,4.202646411692796e-07,,,,75.0,0.4017382906808305,0.0,0.0020970641102456,0.0786516853932584,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle86_rank4_obj9_qc.png,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle86_rank4_obj9.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front4_obj9_crop_preview.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front4_obj9_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle86_rank4_obj9_dmd_rollout.png,auto_surrogate_artifact_risk,0.4635291396854764,0.5,0.4875,0.626040703052729,0.0457446808510638,1,1,,,12,cross_modal_review_priority,manual_qc_required_no_physics_claim,1.8286204821464012,4,1,0,multi-pillar support;front/kinetic agreement;rollout/mode agreement;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,4,0.4137966704997303,immediate_manual_qc,control_balance_review;visual_asset_available,0.3689435740494521,,,,,,,,,5,0.5019148936170212,0.8654255319148936,review_but_diffusion_guarded,artifact_risk_review;cross_modal_review_priority;artifact_guardrail_needed;diffusion_claim_guardrail;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,no_diffusion_claim_until_manual_front_qc_and_calibration
32,cycle157_rank2_obj2,control,157.0,156.0,control_balanced_visual_qc;ranked_review_packet,medium,10.417215801481326,control_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check;high_residual_mode_priority;large_conditioned_front_sign_residual,pending,,,,,,,,fragmented_q70_mask;diffusion_ci_crosses_zero,optical_loss_rollout_hard,,4.875,-0.3917239090920952,3.105769230769231,0.6756360226257907,1.8846153846153844,0.451923076923077,-0.0888448999578106,1.838715828077807e-06,3.112057966509353e-07,0.0,1.0,71.0,0.4046961325966851,0.0,-0.121629718394248,0.7696629213483146,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle157_rank2_obj2_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle157_rank2_obj2.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle157_rank2_obj2_dmd_rollout.png,auto_surrogate_artifact_risk,0.4861048797409806,0.625,0.5608695652173914,0.4700277520814061,0.1944148936170213,1,1,0.0955614473563636,0.4838709677419355,15,routine_or_low_consistency,manual_qc_required_no_physics_claim,1.5718230040528187,3,2,1,multiple strong pillars;precursor context;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,51,0.2968541006901156,control_balance_review,control_balance_review;visual_asset_available,,,,,,,,,,3,0.3827659574468085,0.7941489361702128,review_artifact_or_reject_first,artifact_risk_review;artifact_guardrail_needed;diffusion_claim_guardrail;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,no_diffusion_claim_until_manual_front_qc_and_calibration
30,cycle158_rank2_obj1,control,158.0,156.0,control_balanced_visual_qc;ranked_review_packet,medium,9.096838087622668,control_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check;large_conditioned_front_sign_residual,pending,,,,,,,,fragmented_q70_mask;diffusion_ci_crosses_zero,optical_brightening_decorrelating_rollout_hard_front_positive,,4.283653846153847,-0.3203267666187472,2.25,0.7788033639340246,1.6346153846153846,0.6057692307692308,0.1158999767148418,3.3202011670318365e-08,-1.524340203826247e-06,0.0,1.0,62.0,0.4287090558766859,0.0,0.0477831036548832,0.7696629213483146,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle158_rank2_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle158_rank2_obj1.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle158_rank2_obj1_dmd_rollout.png,auto_surrogate_artifact_risk,0.4632450277520814,0.5,0.64375,0.3399629972247918,0.2237765957446808,1,1,0.0837031932487719,0.6129032258064516,4,cross_modal_review_priority,manual_qc_required_no_physics_claim,4.968375469005915,6,5,0,multi-pillar support;multiple strong pillars;front/kinetic agreement;rollout/mode agreement;precursor context;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,60,0.274846658360932,control_balance_review,control_balance_review;visual_asset_available,,,,,,,,,,3,0.41000000000000003,0.7867021276595745,review_but_diffusion_guarded,artifact_risk_review;cross_modal_review_priority;multi_pillar_support;artifact_guardrail_needed;diffusion_claim_guardrail;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,no_diffusion_claim_until_manual_front_qc_and_calibration
36,cycle86_rank5_obj8,event,86.0,86.0,control_balanced_visual_qc;ranked_review_packet,medium,9.26357233528927,event_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check,pending,,,,,,,,fragmented_q70_mask;diffusion_ci_crosses_zero,near_baseline_or_context_like,,3.0769230769230766,2.4751395748073706,1.5673076923076923,1.9606669965442456,1.5961538461538465,0.3942307692307694,0.0650642115750638,6.469866669313556e-07,-1.551461893017579e-06,0.0,1.0,78.0,0.2286419753086419,0.0,0.0095865787896944,0.0786516853932584,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle86_rank5_obj8_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle86_rank5_obj8.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front5_obj8_crop_preview.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front5_obj8_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle86_rank5_obj8_dmd_rollout.png,auto_surrogate_artifact_risk,0.4434798797409806,0.5,0.59375,0.2800185013876041,0.3226595744680851,1,1,0.4537030822140212,0.5483870967741935,29,routine_or_low_consistency,manual_qc_required_no_physics_claim,-0.2958360336584622,0,0,1,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,42,0.3087913270615003,control_balance_review,control_balance_review;visual_asset_available,0.103119700062414,,,,,,,,,5,0.36425531914893616,0.7675531914893616,review_but_diffusion_guarded,artifact_risk_review;artifact_guardrail_needed;diffusion_claim_guardrail;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,no_diffusion_claim_until_manual_front_qc_and_calibration
6,cycle60_rank3_obj9,event,60.0,60.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,high,17.969687231644787,event_roi;primary_visual_panel;control_balanced_panel;fragmentation_check;high_residual_mode_priority;large_conditioned_front_sign_residual;hard_rollout_mobility,pending,,,,,,,,fragmented_q70_mask;already_in_primary_qc,optical_brightening_decorrelating_rollout_hard_front_positive,,5.322115384615385,6.845413173735752,3.673076923076923,2.4945534720369364,2.846153846153846,0.6057692307692307,0.1594674278574455,5.211058363880742e-06,1.877002417149028e-06,1.0,0.0,72.0,0.3174603174603174,0.0,0.0050928699820251,0.3707865168539326,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle60_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle60_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank3_obj9.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle60_rank3_obj9_dmd_rollout.png,standard_review,0.7508074699352452,0.375,0.6945652173913044,0.6574468085106384,0.9525,0,1,0.6725353420303015,0.6451612903225806,9,cross_modal_review_priority,manual_qc_required_no_physics_claim,2.393667834709711,4,4,1,multi-pillar support;multiple strong pillars;rollout/mode agreement;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,15,0.3754482189046095,immediate_manual_qc,visual_asset_available,,,,,,,,,,4,0.7757446808510639,0.6792553191489362,high_priority_review,cross_modal_review_priority;multi_pillar_support;front_mask_candidate;diffusion_proxy_candidate;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,review_priority_only_no_validated_mode_claim
27,cycle86_rank8_obj17,event,86.0,86.0,primary_visual_qc;ranked_review_packet,routine,5.78621805772891,event_roi;primary_visual_panel;fragmentation_check,pending,,,,,,,,fragmented_q70_mask,,,3.3221153846153846,,,,1.8269230769230769,0.6057692307692308,0.0650642115750638,1.2085253381264768e-06,,,,91.0,0.2387320455671124,0.0,-0.0025464349910125,0.0786516853932584,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle86_rank8_obj17_qc.png,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle86_rank8_obj17.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front8_obj17_crop_preview.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front8_obj17_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle86_rank8_obj17_dmd_rollout.png,standard_review,0.4396056891766883,0.375,0.3673913043478261,0.6388760407030528,0.2191489361702127,1,1,,,21,routine_or_low_consistency,manual_qc_required_no_physics_claim,0.4339942858990319,1,0,0,automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,49,0.3024035738174115,control_balance_review,control_balance_review;visual_asset_available,0.1311123312802066,,,,,,,,,5,0.4585106382978724,0.6734042553191488,review_but_diffusion_guarded,diffusion_claim_guardrail;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,no_diffusion_claim_until_manual_front_qc_and_calibration
47,cycle62_rank4_obj1,control,62.0,60.0,control_balanced_visual_qc;ranked_review_packet,medium,10.255241147783613,control_roi;control_balanced_panel;fragmentation_check;diffusion_ci_check,pending,,,,,,,,fragmented_q70_mask;diffusion_ci_crosses_zero;active_control,optical_loss_rollout_hard,,4.091346153846154,1.1201096634850307,2.923076923076923,1.1137010944495138,2.1346153846153846,0.2596153846153847,-0.0739292207347166,6.537967484022862e-07,-1.207976058865427e-06,0.0,1.0,82.0,0.3607068607068607,0.0,0.0011983223487118,0.3370786516853932,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle62_rank4_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank4_obj1.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle62_rank4_obj1_dmd_rollout.png,auto_surrogate_artifact_risk,0.3912296484736354,0.625,0.5315217391304348,0.2225948196114708,0.2317021276595744,1,1,0.2797421918750208,0.5483870967741935,39,discordant_guardrail,manual_qc_required_no_physics_claim,-1.314881227920979,0,0,3,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,73,0.2466849116706641,control_balance_review,control_balance_review;visual_asset_available,,,,,,,,,,3,0.17829787234042552,0.6728723404255319,review_artifact_or_reject_first,artifact_risk_review;artifact_guardrail_needed;diffusion_claim_guardrail;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,no_diffusion_claim_until_manual_front_qc_and_calibration
26,cycle60_rank4_obj5,event,60.0,60.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,high,13.718032262846126,event_roi;primary_visual_panel;control_balanced_panel;fragmentation_check;diffusion_ci_check;high_residual_mode_priority;large_conditioned_front_sign_residual;hard_rollout_mobility,pending,,,,,,,,fragmented_q70_mask;diffusion_ci_crosses_zero;already_in_primary_qc,optical_brightening_decorrelating_rollout_hard_front_positive,,4.802884615384616,2.716117818700155,3.4807692307692304,1.5337954930279185,2.596153846153846,0.4903846153846154,0.1594674278574455,1.2281125674270095e-06,-2.1059433793047044e-06,0.0,1.0,70.0,0.3629745189807592,0.0,-0.0005991611743559,0.3707865168539326,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle60_rank4_obj5_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle60_rank4_obj5_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank4_obj5.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle60_rank4_obj5_dmd_rollout.png,standard_review,0.4860380434782609,0.375,0.6790760869565218,0.2395004625346901,0.2889893617021277,1,1,0.2527234699811225,0.5161290322580645,17,rollout_mode_consistent,manual_qc_required_no_physics_claim,1.225759204839178,3,2,1,multiple strong pillars;rollout/mode agreement;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,43,0.3081808539323266,standard_manual_qc,visual_asset_available,,,,,,,,,,4,0.475531914893617,0.6696808510638298,review_but_diffusion_guarded,diffusion_claim_guardrail;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,no_diffusion_claim_until_manual_front_qc_and_calibration
44,cycle60_rank5_obj18,event,60.0,60.0,control_balanced_visual_qc;ranked_review_packet,high,14.409213793554136,event_roi;control_balanced_panel;fragmentation_check;large_conditioned_front_sign_residual,pending,,,,,,,,fragmented_q70_mask;threshold_sign_unstable,front_negative_high_apparent_front_proxy,,3.817307692307693,7.145111200594751,2.75,1.236404564188312,1.7884615384615383,-0.2884615384615384,-0.5548182864282688,3.7616948823796086e-06,4.276389356478945e-07,0.0,0.0,81.0,0.2565217391304348,0.0,-0.0098861593768724,0.3707865168539326,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle60_rank5_obj18_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank5_obj18.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle60_rank5_obj18_dmd_rollout.png,auto_surrogate_artifact_risk,0.4243399629972249,0.625,0.5097826086956522,0.075809435707678,0.6685106382978725,0,1,0.0131479084184644,0.7096774193548387,44,discordant_guardrail,manual_qc_required_no_physics_claim,-1.7044390714719269,0,0,3,discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,27,0.3299920033030057,standard_manual_qc,visual_asset_available,,,,,,,,,,3,0.2521276595744681,0.6547872340425531,review_artifact_or_reject_first,artifact_risk_review;diffusion_proxy_candidate;artifact_guardrail_needed;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,review_priority_only_no_validated_mode_claim
