qc_decision_rank,roi_id,cohort_role,cycleNo,event_reference_cycle,review_sources,review_priority_tier,combined_review_priority_score,recommended_review_reason,manual_qc_status,manual_qc_decision,manual_qc_notes,manual_particle_identity_ok,manual_front_mask_ok,manual_diffusion_interpretable,manual_reviewer,manual_review_date,auto_review_flags,mode_label,degradation_mode_hypothesis,qc_priority_score,control_balance_priority_score,mode_review_priority,front_quality_score,rollout_mobility_difficulty_score,threshold_robust_phase_score,phase_slope_positive_fraction_protocol_residual,diffusion_proxy_abs_median_um2_per_s,diffusion_proxy_abs_median_um2_per_s_protocol_residual,q70_phase_ci_positive,q70_radius_ci_crosses_zero,n_components,largest_component_fraction,edge_touch_fraction,q70_fraction_delta,n_frames_percentile,primary_qc_png,control_balanced_qc_png,roi_preview_path,front_crop_preview_path,front_tracking_plot_path,rollout_preview_path,auto_qc_tier,automatic_qc_surrogate_score,automatic_artifact_risk_score,surrogate_particle_identity_score,surrogate_front_mask_score,surrogate_diffusion_interpretability_score,auto_diffusion_guardrail,has_visual_asset,front_radius2_slope_r2_track,front_radius_monotonic_fraction_track,physics_consistency_rank,physics_consistency_tier,claim_readiness,physics_consistency_score,physics_pillar_support_count,physics_pillar_strong_support_count,physics_pillar_contradiction_count,physics_consistency_reason,recommended_claim_language,active_learning_rank,active_learning_qc_score,recommended_qc_tier,review_reason_tags,model_future_drop_probability,future_any_drop_within_8cycles_balanced_future,future_any_drop_within_16cycles_balanced_future,any_abrupt_drop_balanced_future,transferred_masked_residual_signature_balanced_future,phase_slope_positive_fraction_balanced_future,radius2_slope_median_px2_per_s_balanced_future,persistence_particle_mse_fraction_of_full_mean_balanced_future,low_rank_dmd_particle_mse_fraction_of_full_mean_balanced_future,visual_asset_count,qc_decision_priority_score,artifact_review_priority_score,decision_action_tier,decision_reason_tags,manual_label_allowed_values,physics_claim_guardrail
1,cycle156_rank7_obj27,event,156.0,156.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,high,14.720918992751464,event_roi;primary_visual_panel;control_balanced_panel;no_auto_flags;high_residual_mode_priority;hard_rollout_mobility,pending,,,,,,,,none;already_in_primary_qc,optical_brightening_decorrelating_rollout_hard_front_positive,,5.264423076923077,3.3189472209811486,3.2596153846153846,1.6668088838929638,3.019230769230769,0.701923076923077,0.0296361115027952,1.3083161124387798e-06,-1.5908840057147065e-07,1.0,0.0,49.0,0.8151881720430108,0.0,0.1680647094068304,0.9101123595505618,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank7_obj27_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank7_obj27_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank7_obj27.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank7_obj27_dmd_rollout.png,auto_surrogate_likely_interpretable,0.9186555272895466,0.0,0.8986413043478261,0.9754394079555968,0.8136702127659574,0,1,0.2709698736400573,0.6129032258064516,1,cross_modal_high_priority,manual_qc_required_no_physics_claim,5.78997199136562,6,6,0,multi-pillar support;multiple strong pillars;front/kinetic agreement;rollout/mode agreement;precursor context,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,16,0.3667094207948407,immediate_manual_qc,visual_asset_available,,,,,,,,,,4,0.947659574468085,0.4765957446808511,review_for_possible_accept_first,auto_likely_interpretable;cross_modal_high_priority;multi_pillar_support;front_mask_candidate;diffusion_proxy_candidate;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,review_priority_only_no_validated_mode_claim
2,cycle156_rank8_obj10,event,156.0,156.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,medium,11.655276676027569,event_roi;primary_visual_panel;control_balanced_panel;no_auto_flags;hard_rollout_mobility,pending,,,,,,,,none;already_in_primary_qc,optical_brightening_decorrelating_rollout_hard_front_positive,,4.009615384615384,2.593749351319924,2.2403846153846154,1.5796474218170364,2.519230769230769,0.4134615384615384,0.0296361115027952,2.049368662829508e-06,5.819641498192576e-07,1.0,0.0,70.0,0.5495750708215298,0.0,0.1443978430197723,0.9101123595505618,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank8_obj10_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank8_obj10_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank8_obj10.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank8_obj10_dmd_rollout.png,auto_surrogate_likely_interpretable,0.8426237280296022,0.0,0.8046195652173913,0.9168825161887142,0.8643617021276596,0,1,0.2176075102704954,0.6451612903225806,5,cross_modal_review_priority,manual_qc_required_no_physics_claim,3.924708743580162,4,4,0,multi-pillar support;multiple strong pillars;front/kinetic agreement;precursor context,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,46,0.3059843029925504,standard_manual_qc,visual_asset_available,,,,,,,,,,4,0.8889361702127658,0.4340425531914894,review_for_possible_accept_first,auto_likely_interpretable;cross_modal_review_priority;multi_pillar_support;front_mask_candidate;diffusion_proxy_candidate;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,review_priority_only_no_validated_mode_claim
3,cycle156_rank2_obj2,event,156.0,156.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,high,13.168483287426232,event_roi;primary_visual_panel;control_balanced_panel;no_auto_flags;hard_rollout_mobility,pending,,,,,,,,none;already_in_primary_qc,optical_brightening_decorrelating_rollout_hard_front_positive,,5.225961538461538,2.3492393117140384,2.5673076923076925,1.2118362385241466,2.865384615384616,0.7788461538461539,0.0296361115027952,1.924586662072925e-06,4.571821490626747e-07,1.0,0.0,52.0,0.879950495049505,0.0,0.2091072498502097,0.9101123595505618,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank2_obj2_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank2_obj2_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank2_obj2.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank2_obj2_dmd_rollout.png,auto_surrogate_likely_interpretable,0.8400113320999074,0.125,0.8057065217391304,0.9893617021276596,0.6181914893617022,0,1,0.0488041815029522,0.6129032258064516,3,cross_modal_high_priority,manual_qc_required_no_physics_claim,5.485679648669831,6,6,0,multi-pillar support;multiple strong pillars;front/kinetic agreement;rollout/mode agreement;precursor context,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,24,0.3353221226606163,standard_manual_qc,visual_asset_available,,,,,,,,,,4,0.8878723404255319,0.5,review_for_possible_accept_first,auto_likely_interpretable;cross_modal_high_priority;multi_pillar_support;front_mask_candidate;diffusion_proxy_candidate;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,review_priority_only_no_validated_mode_claim
4,cycle156_rank1_obj1,event,156.0,156.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,high,12.849218621808475,event_roi;primary_visual_panel;control_balanced_panel;no_auto_flags,pending,,,,,,,,none;already_in_primary_qc,optical_loss_rollout_hard,,5.028846153846153,2.5148246363605105,2.875,1.5087951450912631,1.826923076923077,0.7596153846153847,0.0296361115027952,3.1121066697894616e-06,1.6447021567792111e-06,1.0,0.0,72.0,0.4860706860706861,0.0,0.0784901138406231,0.9101123595505618,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank1_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank1_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank1_obj1.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank1_obj1_dmd_rollout.png,auto_surrogate_likely_interpretable,0.8321209528214616,0.125,0.74375,0.973126734505088,0.782872340425532,0,1,0.2141685222247821,0.5806451612903226,11,front_kinetic_consistent,manual_qc_required_no_physics_claim,1.8501263240295596,3,3,2,multiple strong pillars;front/kinetic agreement;precursor context;discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,29,0.3289632986876428,standard_manual_qc,visual_asset_available,,,,,,,,,,4,0.8472340425531915,0.4574468085106383,high_priority_review,auto_likely_interpretable;front_mask_candidate;diffusion_proxy_candidate;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,review_priority_only_no_validated_mode_claim
5,cycle156_rank6_obj3,event,156.0,156.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,medium,12.793660390821584,event_roi;primary_visual_panel;control_balanced_panel;diffusion_ci_check,pending,,,,,,,,diffusion_ci_crosses_zero;already_in_primary_qc,optical_loss_rollout_hard,,4.855769230769231,2.486886060534589,2.798076923076924,1.4367926892737708,2.0576923076923075,0.951923076923077,0.0296361115027952,1.9010545341489733e-07,-1.277299059595353e-06,1.0,1.0,73.0,0.5075787019043918,0.0,0.1066506890353504,0.9101123595505618,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle156_rank6_obj3_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle156_rank6_obj3_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle156_rank6_obj3.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle156_rank6_obj3_dmd_rollout.png,auto_surrogate_likely_interpretable,0.7620879972247918,0.25,0.7364130434782609,0.9891304347826088,0.3123936170212766,1,1,0.1143667774325355,0.7096774193548387,8,front_kinetic_consistent,manual_qc_required_no_physics_claim,2.6809295519867367,3,3,1,multiple strong pillars;front/kinetic agreement;precursor context;discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,21,0.3393702458683726,standard_manual_qc,visual_asset_available,,,,,,,,,,4,0.8268085106382979,0.5904255319148936,high_priority_review,auto_likely_interpretable;front_mask_candidate;diffusion_claim_guardrail;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,no_diffusion_claim_until_manual_front_qc_and_calibration
6,cycle60_rank3_obj9,event,60.0,60.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,high,17.969687231644787,event_roi;primary_visual_panel;control_balanced_panel;fragmentation_check;high_residual_mode_priority;large_conditioned_front_sign_residual;hard_rollout_mobility,pending,,,,,,,,fragmented_q70_mask;already_in_primary_qc,optical_brightening_decorrelating_rollout_hard_front_positive,,5.322115384615385,6.845413173735752,3.673076923076923,2.4945534720369364,2.846153846153846,0.6057692307692307,0.1594674278574455,5.211058363880742e-06,1.877002417149028e-06,1.0,0.0,72.0,0.3174603174603174,0.0,0.0050928699820251,0.3707865168539326,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle60_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle60_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank3_obj9.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle60_rank3_obj9_dmd_rollout.png,standard_review,0.7508074699352452,0.375,0.6945652173913044,0.6574468085106384,0.9525,0,1,0.6725353420303015,0.6451612903225806,9,cross_modal_review_priority,manual_qc_required_no_physics_claim,2.393667834709711,4,4,1,multi-pillar support;multiple strong pillars;rollout/mode agreement;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,15,0.3754482189046095,immediate_manual_qc,visual_asset_available,,,,,,,,,,4,0.7757446808510639,0.6792553191489362,high_priority_review,cross_modal_review_priority;multi_pillar_support;front_mask_candidate;diffusion_proxy_candidate;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,review_priority_only_no_validated_mode_claim
7,cycle62_rank3_obj9,control,62.0,60.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,high,14.387223699839682,control_roi;primary_visual_panel;control_balanced_panel;fragmentation_check;high_residual_mode_priority;hard_rollout_mobility,pending,,,,,,,,fragmented_q70_mask;active_control;already_in_primary_qc,optical_brightening_decorrelating_rollout_hard_front_positive,,4.903846153846154,3.4465281481485666,3.307692307692308,1.5226033969557806,3.057692307692308,0.5096153846153847,-0.0739292207347166,4.786834628991654e-06,2.925061821723941e-06,1.0,0.0,68.0,0.3124042879019908,0.0,0.0110844817255841,0.3370786516853932,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle62_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle62_rank3_obj9_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle62_rank3_obj9.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle62_rank3_obj9_dmd_rollout.png,standard_review,0.7115042784458835,0.375,0.6461956521739131,0.656799259944496,0.877712765957447,0,1,0.4423055212122806,0.6451612903225806,10,rollout_mode_consistent,manual_qc_required_no_physics_claim,1.9766618577361252,3,2,0,multiple strong pillars;rollout/mode agreement;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,38,0.3104423091779925,control_balance_review,control_balance_review;visual_asset_available,,,,,,,,,,4,0.7329787234042553,0.6537234042553193,high_priority_review,front_mask_candidate;diffusion_proxy_candidate;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,review_priority_only_no_validated_mode_claim
8,cycle157_rank1_obj1,control,157.0,156.0,control_balanced_visual_qc;ranked_review_packet,medium,8.291807723888052,control_roi;control_balanced_panel;no_auto_flags;large_conditioned_front_sign_residual,pending,,,,,,,,none,near_baseline_or_context_like,,3.831730769230769,-0.1497380647904002,2.3461538461538463,0.9462923571539248,0.9423076923076924,0.701923076923077,-0.0888448999578106,1.1382129826953457e-06,-3.892970487315262e-07,0.0,0.0,59.0,0.4779411764705882,0.0,-0.0491312162971839,0.7696629213483146,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle157_rank1_obj1_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle157_rank1_obj1.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle157_rank1_obj1_dmd_rollout.png,auto_surrogate_likely_interpretable,0.702695883441258,0.0,0.7282608695652174,0.7602220166512488,0.6567021276595744,0,1,0.1977335648722195,0.5483870967741935,20,routine_or_low_consistency,manual_qc_required_no_physics_claim,0.6780649440779025,2,2,2,multiple strong pillars;precursor context;discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,68,0.2608612394685495,control_balance_review,control_balance_review;visual_asset_available,,,,,,,,,,3,0.7095744680851063,0.30159574468085104,high_priority_review,auto_likely_interpretable;front_mask_candidate;diffusion_proxy_candidate;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,review_priority_only_no_validated_mode_claim
9,cycle60_rank6_obj26,event,60.0,60.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,high,13.418897864813314,event_roi;primary_visual_panel;control_balanced_panel;diffusion_ci_check;high_residual_mode_priority;large_conditioned_front_sign_residual;hard_rollout_mobility,pending,,,,,,,,diffusion_ci_crosses_zero;already_in_primary_qc,optical_brightening_decorrelating_rollout_hard_front_positive,,4.552884615384615,2.554108783516324,3.5961538461538463,1.320031653911962,2.615384615384616,0.625,0.1594674278574455,1.8443187539815653e-06,-1.4897371927501488e-06,0.0,1.0,71.0,0.4544033350703491,0.0,-0.0037447573397244,0.3707865168539326,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle60_rank6_obj26_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle60_rank6_obj26_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank6_obj26.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle60_rank6_obj26_dmd_rollout.png,standard_review,0.5980278677150787,0.25,0.7230978260869566,0.5550878815911193,0.1960106382978723,1,1,0.1498094723026588,0.5161290322580645,13,cross_modal_review_priority,manual_qc_required_no_physics_claim,1.6826509996516332,4,2,1,multi-pillar support;multiple strong pillars;rollout/mode agreement;discordant pillars,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,35,0.3115377197969519,standard_manual_qc,visual_asset_available,,,,,,,,,,4,0.681063829787234,0.5542553191489361,review_but_diffusion_guarded,cross_modal_review_priority;diffusion_claim_guardrail;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,no_diffusion_claim_until_manual_front_qc_and_calibration
10,cycle60_rank2_obj2,event,60.0,60.0,primary_visual_qc;control_balanced_visual_qc;ranked_review_packet,high,14.263136982031998,event_roi;primary_visual_panel;control_balanced_panel;fragmentation_check;large_conditioned_front_sign_residual,pending,,,,,,,,fragmented_q70_mask;already_in_primary_qc,optical_brightening_decorrelating_rollout_hard_front_positive,,5.1730769230769225,3.663859898191151,2.923076923076923,1.3721660201122636,2.307692307692308,0.9134615384615384,0.1594674278574455,4.057906823151882e-06,7.238508764201678e-07,0.0,0.0,59.0,0.3787801127626858,0.0,0.005392450569203,0.3707865168539326,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/roi_front_qc_package/qc_panels/cycle60_rank2_obj2_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/control_balanced_front_qc_package/qc_panels/cycle60_rank2_obj2_qc.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_sequences/previews/cycle60_rank2_obj2.png,,,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/multi_cycle_roi_rollout_baselines/rollout_previews/cycle60_rank2_obj2_dmd_rollout.png,standard_review,0.5909842738205365,0.25,0.7230978260869565,0.3522201665124884,0.5940425531914894,0,1,0.2081825229613866,0.4516129032258064,16,cross_modal_review_priority,manual_qc_required_no_physics_claim,1.4434700911843494,4,2,1,multi-pillar support;multiple strong pillars;rollout/mode agreement;discordant pillars;automatic artifact caution,review-prioritization only; do not claim calibrated diffusion or validated degradation mode,28,0.3297512948306907,standard_manual_qc,visual_asset_available,,,,,,,,,,4,0.6731914893617021,0.49574468085106377,routine_pending_review,cross_modal_review_priority;diffusion_proxy_candidate;visual_assets_available,accept_particle_front;accept_particle_only;reject_artifact;reject_not_particle;uncertain,review_priority_only_no_validated_mode_claim
