task,target,comparison,delta_roc_auc,delta_average_precision,delta_r2,delta_spearman_rho,base_metric,comparison_metric
classification,future_any_drop_within_8cycles,residual_dictionary_plus_handcrafted_minus_pca_video,0.20447530864197538,0.21263585215808312,,0.35419578751122494,0.566358024691358,0.7708333333333334
classification,future_any_drop_within_8cycles,residual_dictionary_minus_pca_video,0.09645061728395077,0.0732327563583215,,0.1670734846751061,0.566358024691358,0.6628086419753088
classification,future_any_drop_within_16cycles,residual_dictionary_plus_handcrafted_minus_pca_video,0.021052631578947323,0.07757589639560669,,0.029620300922050688,0.5064327485380117,0.527485380116959
classification,future_any_drop_within_16cycles,residual_dictionary_minus_pca_video,-0.03391812865497079,0.07977057787494135,,-0.04772159592997055,0.5064327485380117,0.4725146198830409
classification,future_any_drop_within_8cycles,residual_dictionary_plus_handcrafted_minus_handcrafted_scalar,-0.05401234567901225,-0.03249584540836059,,-0.09356115141805943,0.8248456790123456,0.7708333333333334
classification,future_any_drop_within_16cycles,residual_dictionary_plus_handcrafted_minus_handcrafted_scalar,-0.13450292397660835,-0.05291119802102606,,-0.18924081144643493,0.6619883040935673,0.527485380116959
classification,future_any_drop_within_8cycles,residual_dictionary_minus_handcrafted_scalar,-0.16203703703703687,-0.1718989412081222,,-0.28068345425417823,0.8248456790123456,0.6628086419753088
classification,future_any_drop_within_16cycles,residual_dictionary_minus_handcrafted_scalar,-0.18947368421052646,-0.0507165165416914,,-0.26658270829845615,0.6619883040935673,0.4725146198830409
regression,dictionary_recon_error_mse_mean,residual_dictionary_minus_pca_video,,,8.507688278145949,0.8166879517177213,-7.509225467877323,0.9984628102686256
regression,dictionary_recon_error_mse_mean,residual_dictionary_plus_handcrafted_minus_pca_video,,,8.499312579892248,0.8059381165147231,-7.509225467877323,0.9900871120149248
regression,residual_energy_mean,residual_dictionary_minus_pca_video,,,6.714282367645405,0.7838960015943152,-5.7160203536922,0.9982620139532041
regression,residual_energy_mean,residual_dictionary_plus_handcrafted_minus_pca_video,,,6.708059851180841,0.7771083698009346,-5.7160203536922,0.9920394974886408
regression,dictionary_recon_error_mse_mean,residual_dictionary_minus_handcrafted_scalar,,,2.0666834505676692,0.3311435084131966,-1.0682206402990437,0.9984628102686256
regression,dictionary_recon_error_mse_mean,residual_dictionary_plus_handcrafted_minus_handcrafted_scalar,,,2.0583077523139686,0.3203936732101984,-1.0682206402990437,0.9900871120149248
regression,residual_energy_mean,residual_dictionary_minus_handcrafted_scalar,,,0.1687803531836406,0.15893152581387326,0.8294816607695635,0.9982620139532041
regression,residual_energy_mean,residual_dictionary_plus_handcrafted_minus_handcrafted_scalar,,,0.1625578367190773,0.15214389402049266,0.8294816607695635,0.9920394974886408
regression,transferred_masked_residual_signature,residual_dictionary_plus_handcrafted_minus_pca_video,,,-2.335204582660624,0.04421704350300562,-0.48557379171681725,-2.820778374377441
regression,transferred_masked_residual_signature,residual_dictionary_plus_handcrafted_minus_handcrafted_scalar,,,-1.1606355404035256,-0.06951150943703943,-1.6601428339739153,-2.820778374377441
regression,transferred_masked_residual_signature,residual_dictionary_minus_pca_video,,,-0.7567484550090022,-0.1712686357518166,-0.48557379171681725,-1.2423222467258195
regression,transferred_masked_residual_signature,residual_dictionary_minus_handcrafted_scalar,,,0.4178205872480958,-0.28499718869186164,-1.6601428339739153,-1.2423222467258195
