roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,event_relative_bin,cohort_role,cycles_to_next_event,cycles_since_prev_event,future_event_within_32cycles,past_event_within_16cycles,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,n_frames_loaded,train_n,horizon_n,history_mask_area_px,history_mask_fraction,fallback_frame_fraction,fallback_frame_count,median_history_iou,centroid_jitter_q90_px,blur_ratio_q10,one_step_history_mse,one_step_adaptive_mse,one_step_hybrid_mse,one_step_hybrid_minus_adaptive_mse,one_step_hybrid_adaptive_abs_delta_median,one_step_hybrid_adaptive_rel_delta,persistence_rollout_history_mse,persistence_rollout_hybrid_mse,latent_linear_rollout_history_mse,latent_linear_rollout_hybrid_mse,latent_linear_gain_vs_persistence_history,latent_linear_gain_vs_persistence_hybrid,hybrid_vs_history_persistence_rollout_mse_delta,hybrid_vs_history_latent_rollout_mse_delta,late_one_step_hybrid_mse,early_one_step_hybrid_mse,late_minus_early_one_step_hybrid_mse,transport_review_rank,transport_mechanism_score,transport_source_residual_score,front_kinetic_score,observable_tail_score,qc_review_score,abs_radial_flow_mean,abs_radial_flow_mean_source_residual,particle_flow_mag_mean,curl_mean,front_kinetic_concordance_score,strict_qc_priority_score,front_evidence_score,kinetic_evidence_score,qc_evidence_score,front_consensus_score,front_radius2_slope_px2_per_norm_time,has_visual_assets,near_pre_flag,visual_asset_flag,capacity_fraction_of_first,coulombic_inefficiency_pct,echem_regime_pc1,echem_regime_pc2,masked_minus_bg_delta,masked_minus_bg_slope,q55_phase_fraction_delta,q55_phase_fraction_slope,q55_logistic_r2,q65_phase_fraction_delta,q65_phase_fraction_slope,q65_logistic_r2,q75_phase_fraction_delta,q75_phase_fraction_slope,q75_logistic_r2,front_radius_slope_px_per_norm_time_source_echem_context_residual,front_radius2_slope_px2_per_norm_time_source_echem_context_residual,phase_fraction_slope_per_norm_time_source_echem_context_residual,mode,pre_event_clock_closer,is_pre_event,is_near_pre,is_mid_pre,is_far_pre,is_post_event,is_control,one_step_hybrid_mse_source_residual,latent_linear_gain_vs_persistence_history_source_residual,transport_mechanism_score_source_residual,front_kinetic_score_source_residual,fallback_frame_fraction_source_residual,rollout_front_review_score
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.329266672272,source_balanced_pre_event_candidate,574.5365853658536,231.1219512195122,41.0,11764.1923828125,29.37434196472168,479,135,671,327,192,96,96,2720,3626,8546.6884765625,8550.58984375,3.9013671875,0.0886805951595306,0.0889895185828208,0.0003089234232902,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj1_10_c2_x10_030723.npz,,96,58,38,44,0.0047743055555555,0.6354166666666666,61,0.9318181818181818,0.2076754434869108,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,87,0.414858161407767,0.543359375,0.3069326456310679,0.41875,0.33125,3.8922490251779604e-07,-1.3008464115396295e-09,7.803411181372654e-07,8.307538296920742e-08,-0.5116218694890767,,-0.1405387354672772,-1.1981809905054663,,1.2078860095147517,4.90012886597938,False,0,0,0.9454395016823436,0.9038429024363666,1.4069330983471475,-3.228789713180218,-0.0014479513958655,-0.0108309938155808,-0.0220614828209765,-0.043458641710632,0.6658033976684723,-0.0135262206148282,-0.0288320967170633,0.6463420160001849,-0.0020976491862567,-0.0044129490501668,0.221046155528969,0.3377086944751042,4.371042956390246,-0.0168485087591956,1,,0,0,0,0,1,0,-3.325378231871153e-06,,0.0008032463592232975,-0.11354482706310687,0.16796875,
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.56405304864168,source_balanced_pre_event_candidate,1190.9411764705883,652.0,34.0,12524.58203125,30.94007873535156,1095,556,1287,748,192,96,96,2720,3626,8040.17626953125,8034.916015625,-5.26025390625,0.0692231953144073,0.0689038857817649,-0.0003193095326423,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj2_10_c2_x10_030723.npz,,96,58,38,32,0.0034722222222222,0.7395833333333334,71,0.9411764705882352,0.1973001156617478,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,21,0.67037109375,0.9390625,0.4671875,0.4910156249999999,0.2191406249999999,8.458495888855051e-07,4.553238399561694e-07,1.7381641787385494e-06,2.466798752292303e-07,,,,-0.4715678434028401,,,,False,0,0,0.9454395016823436,0.9038429024363666,1.4069330983471475,-3.228789713180218,-0.0003352707338321,-0.0026311491126504,-0.0135936370209688,-0.0113967655850493,0.2081874627502642,-0.0058568329718003,-0.0069008058083799,0.2247482975202074,-0.0078091106290672,-0.0020772767254809,0.255436163318367,,,0.0364024799804579,0,,0,0,0,0,1,0,-3.325378231871153e-06,,0.25631617870145634,0.046710027305825186,0.27213541666666674,
source_balanced_cycle90_rank2_obj1_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.307087736570715,source_balanced_pre_event_candidate,831.709090909091,65.81818181818181,55.0,9689.1435546875,24.847431182861328,736,0,928,192,192,96,96,4534,5439,8959.5205078125,8950.794921875,-8.7255859375,0.0919018611311912,0.091493934392929,-0.0004079267382621,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj1_10_c2_x10_030723.npz,,96,58,38,57,0.0061848958333333,0.0,0,0.7777777777777778,1.204009878468156,0.8956302063442237,9.824344532876664e-06,1.4007694732786824e-05,1.4007694732786824e-05,0.0,0.0,0.0,7.310157414673309e-05,6.522131618156727e-05,8.495246941981057e-05,8.991278664361142e-05,-0.1621154593646612,-0.3785797636052981,-7.880257965165816e-06,4.96031722380085e-06,1.122873083834859e-05,1.6845785518596074e-05,-5.617054680247484e-06,110,0.3205565458131068,0.35390625,0.2877730582524271,0.458984375,0.295703125,2.975090807440913e-07,-9.301666818524436e-08,5.99766968582264e-07,8.61977935995595e-08,-0.568231210533672,,-1.2148867849345588,-0.5135189299771997,,,,False,0,0,0.9462148129615064,1.1368006521100966,0.3984787660234314,-2.953879511134365,-0.0028099942860127,-0.0004116812789921,-0.0205350686912509,-0.0172815987208441,0.3724305753142949,-0.0108459869848155,-0.0106889344842751,0.3392745710181907,-0.0103398409255242,0.0010920063957778,0.2980068539140403,-0.7284946985997508,-6.758811078400764,0.0070791035360223,0,,0,0,0,0,1,0,1.0682316500915671e-05,0.21404084365222514,-0.09349836923543692,-0.1327044144417477,-0.46744791666666663,1.4156596816588785
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.842986199481786,source_balanced_pre_event_candidate,574.2222222222222,232.0,45.0,10566.20703125,27.51865005493164,478,136,670,328,192,96,96,4534,5439,8528.22265625,8518.755859375,-9.466796875,0.087337926030159,0.0866547003388404,-0.0006832256913185,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj2_10_c2_x10_030723.npz,,96,58,38,44,0.0047743055555555,0.6666666666666666,64,0.9777777777777776,0.084619701176263,0.0,7.53929359134374e-10,7.371753733758323e-10,7.371753733758323e-10,0.0,0.0,0.0,0.0,0.0,1.0645569728385995e-11,1.058331502506218e-11,,,0.0,-6.225470332381563e-14,0.0,1.4900353291639167e-09,-1.4900353291639167e-09,115,0.289375,0.1921875,0.4984375,0.47734375,0.224609375,2.1496629310212377e-07,-1.755594558272119e-07,4.0584439784805844e-07,4.654135582632541e-08,,,,-0.1632144084548842,,,,False,0,0,0.9462148129615064,1.1368006521100966,0.3984787660234314,-2.953879511134365,-0.0030234991492105,-0.0008365564540472,-0.0104882459312838,0.001976659644675,0.2926117622493226,-0.007884267631103,0.0064731735053409,0.3143175076375123,-0.0088969258589512,0.0081813351727224,0.3311654768956101,,,0.0072070824495936,1,,0,0,0,0,1,0,-3.3246410564977773e-06,,-0.1246799150485437,0.07796002730582519,0.19921875,
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,25.488656580292165,source_balanced_pre_event_candidate,1191.7333333333331,652.4,30.0,13611.0244140625,34.50833511352539,1096,556,1288,748,192,96,96,6347,7253,7984.6640625,7979.201171875,-5.462890625,0.0658547729253768,0.0655813217163086,-0.0002734512090682,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj1_10_c2_x10_030723.npz,,96,58,38,32,0.0034722222222222,0.6041666666666666,58,0.9375,0.188561808316412,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,32,0.6130859375,0.7843749999999999,0.5375000000000001,0.612890625,0.230078125,5.183379090119089e-07,1.2781216008257325e-07,9.378149357146596e-07,1.3131392357863477e-07,,,,0.3079655228679236,,,,False,0,0,0.9449270784368828,1.0809076659430588,0.7622836531375498,-3.08533334003902,-0.0012423107843125,0.0035474267387985,0.0018806509945749,0.024172228332805,0.3721325546378119,0.0015913200723327,0.0171339087638186,0.3581228231156321,-0.0041229656419529,0.0096635968755242,0.3357588106246045,,,0.0016563682561455,0,,0,0,0,0,1,0,-3.325378231871153e-06,,0.19903102245145626,0.1170225273058253,0.13671875,
source_balanced_cycle92_rank3_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,24.29946436055132,source_balanced_pre_event_candidate,574.1904761904761,232.8571428571429,42.0,11196.3671875,29.26946449279785,478,137,670,329,192,96,96,6347,7253,8501.822265625,8492.5556640625,-9.2666015625,0.0885036066174507,0.0878025293350219,-0.0007010772824287,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj2_10_c2_x10_030723.npz,,96,58,38,43,0.0046657986111111,0.3645833333333333,35,0.9318181818181818,0.2296624386658046,0.2248028162678082,1.7032911157765642e-06,7.324804636561366e-08,7.324804636561366e-08,0.0,0.0,0.0,1.2427590057023454e-05,0.0,1.1207326571643091e-05,1.3718649942865426e-06,0.0981898726769419,,-1.2427590057023454e-05,-9.835461577356548e-06,0.0,1.4805456180283612e-07,-1.4805456180283612e-07,116,0.28111328125,0.17890625,0.5281250000000001,0.434765625,0.22734375,2.226818321423107e-07,-1.6784391678702497e-07,3.971261035813596e-07,4.793884342944153e-08,,,,0.1027326205460664,,,,False,0,0,0.9449270784368828,1.0809076659430588,0.7622836531375498,-3.08533334003902,-0.0020254027772355,0.0014260210907837,-0.0002169981916818,0.0114282451855854,0.3441520155708624,-0.0042676311030741,0.0118504036091796,0.3456044249782407,-0.0045569620253164,0.0116598310993458,0.349675766790898,,,-0.030116436764428,1,,0,0,0,0,1,0,-3.252130185505539e-06,0.47434617569382825,-0.13294163379854368,0.10764752730582527,-0.10286458333333331,2.1021648656542054
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,1,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,25.14983171634987,source_balanced_pre_event_candidate,576.972972972973,232.97297297297297,37.0,12897.384765625,32.438777923583984,481,137,673,329,192,96,96,8161,9067,8492.6435546875,8486.44921875,-6.1943359375,0.0870167538523674,0.086605779826641,-0.0004109740257263,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj1_10_c2_x10_030723.npz,,96,58,38,34,0.0036892361111111,0.7291666666666666,70,0.868421052631579,0.2735473592674781,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,117,0.28109375,0.228125,0.4703125,0.3562499999999999,0.221875,2.394825954944697e-07,-1.5104315343486598e-07,4.486017557665774e-07,5.2673443840868046e-08,,,,-0.4482565687396895,,,,False,0,0,0.947263951405458,1.1241086398821665,0.4992071544498905,-3.040352198052424,-0.0024568347506243,-0.0001677728665417,-0.0146112115732369,-0.0160285975280099,0.2608122785918886,-0.0048462929475587,-0.007960468671352,0.2791590813484563,-0.0066546112115732,0.0045785872746594,0.3425770806984987,,,-0.0013968664401233,1,,0,0,0,0,1,0,-3.325378231871153e-06,,-0.13296116504854372,0.04983502730582523,0.26171875,
source_balanced_cycle94_rank4_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,2,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,23.93425610271029,source_balanced_pre_event_candidate,833.6666666666666,68.83333333333333,48.0,10861.255859375,27.37371826171875,738,0,930,192,192,96,96,8161,9067,8934.533203125,8923.23828125,-11.294921875,0.0925137251615524,0.0917659774422645,-0.0007477477192878,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj2_10_c2_x10_030723.npz,,96,58,38,49,0.0053168402777777,0.0,0,0.7017543859649122,1.2336238271166882,0.965895159344901,5.551814384316565e-06,1.252134590044341e-05,1.252134590044341e-05,0.0,0.0,0.0,3.032897754467587e-05,3.021846655072884e-05,6.261548806395612e-05,6.0633119391924936e-05,-1.0645433223629397,-1.0064922649247576,-1.1051099394703325e-07,-1.9823686720311858e-06,8.223807531717524e-06,1.6910321255737936e-05,-8.686513724020412e-06,75,0.4419855506674757,0.603515625,0.2675515776699029,0.559375,0.28203125,3.961537895364797e-07,5.62804060714402e-09,7.417017131403456e-07,1.0366654187329325e-07,-0.6502527739789922,,-1.363159564796123,-0.6566454457717749,,,,False,0,0,0.947263951405458,1.1241086398821665,0.4992071544498905,-3.040352198052424,-0.0026326960070749,6.7942145251482e-05,-0.0231464737793851,-0.0387040230420758,0.4529348651920827,-0.0223508137432187,-0.0242429764545776,0.4069104737681689,-0.0135985533453887,-0.0093617755075408,0.3555323510908604,-1.050644904341327,-7.572399537676106,-0.0030667293895893,0,,0,0,0,0,1,0,9.195967668572258e-06,-0.6883870193460533,0.027930635618931998,-0.1529258950242719,-0.46744791666666663,1.2311532564252337
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,23.445151520434056,source_balanced_pre_event_candidate,1339.6521739130435,203.96521739130435,115.0,8149.71435546875,19.829694747924805,1244,108,1436,300,192,96,96,902,1803,8879.798828125,8878.8388671875,-0.9599609375,0.0725918188691139,0.0725421607494354,-4.9658119678497314e-05,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj1_11_c2_x10_050723.npz,,96,58,38,115,0.0124782986111111,0.5104166666666666,49,0.893036173960168,0.7778777908315457,0.5007480950134573,5.154466131584024e-05,6.214532514246697e-05,4.954694827281519e-05,-1.2598376869651772e-05,3.183592454856502e-07,-0.2027244501621036,0.0029097985497811,0.0017548488777129,0.0015739918699691,0.0010992722639117,0.459071876268722,0.3735800969115749,-0.0011549496720682,-0.0004747196060573,5.172158370992926e-05,4.732604399661362e-05,4.3955397133156325e-06,12,0.7099226334951457,0.833203125,0.8009405339805825,0.4460937499999999,0.470703125,6.750707105039221e-07,2.073968949173557e-07,1.0435007411431158e-06,1.494619768730113e-07,0.78769549996859,,0.9396954074558008,0.928806473910436,,4.444872338402955,,False,0,0,0.9466646390988418,2.0095274448964062,-3.619924534184801,-1.7633450481008388,-0.0008009382058435,0.0047724296082067,0.0159132007233273,0.0194059581290434,0.4852667238281113,0.0121518987341771,0.0141772617960144,0.4451344662657766,0.004629294755877,0.0091490650808149,0.4231880022534788,,,-0.0132353513223212,0,,0,0,0,0,1,0,2.3240560020348973e-05,7.038972408064568,0.22099893810679622,0.27727700242718445,0.20937499999999998,3.45703125
source_balanced_cycle96_rank5_obj2_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,24.90960755549438,source_balanced_pre_event_candidate,834.3809523809524,95.61904761904762,42.0,13544.525390625,29.58783912658692,738,0,930,192,192,96,96,902,1803,8969.9482421875,8967.5615234375,-2.38671875,0.0822904556989669,0.0821564421057701,-0.0001340135931968,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj2_11_c2_x10_050723.npz,,96,58,38,41,0.0044487847222222,0.4791666666666667,46,0.9302325581395348,0.341221796146781,0.2452521145270093,3.084985744731807e-06,2.77682873379859e-07,6.702644523005269e-07,3.925815789206681e-07,0.0,1.4137767091729574,5.432931021245259e-05,1.986877210386951e-06,5.090305599608749e-05,1.813804873977746e-06,0.0630645631790073,0.0871077163220864,-5.234243300206564e-05,-4.908925112210974e-05,8.903623139191589e-07,4.454836574559669e-07,4.44878656463192e-07,44,0.5552343750000001,0.71875,0.5515625000000001,0.212109375,0.241015625,5.03217338181336e-07,3.5543522594769625e-08,1.122589434839323e-06,1.536776250038902e-07,,,,0.5362481980519861,,,,False,0,0,0.9466646390988418,2.0095274448964062,-3.619924534184801,-1.7633450481008388,-0.0016580882089292,0.0018942375810455,-0.0014466546112115,0.0046826587871217,0.3735278985931973,0.0033273056057865,0.0090050521056654,0.4128313921561299,0.0033273056057865,0.0098533304748234,0.4318942376810564,,,-0.0001301229552722,1,,0,0,0,0,1,0,-2.5636123800165686e-05,6.642965094974853,0.06631067961165055,0.027898968446602,0.17812500000000003,2.40095648364486
