roi_id,cycleNo,source_stem,front_candidate_rank,object_candidate_rank,validation_score,validation_tier,crop_x0,crop_y0,crop_x1,crop_y1,center_x_full_px,center_y_full_px,n_frames,elapsed_s,roi_mean_delta_corrected,active_fraction_first,active_fraction_last,trace_csv,plot_png,crop_preview_png,direction,mean_last_delta,baseline_frames,threshold,noise_mad_sigma,radius2_slope_full_px2_per_s,radius2_slope_r2,radius2_slope_n_fit,apparent_diffusion_proxy_full_px2_per_s,area_equiv_radius2_slope_full_px2_per_s,area_equiv_radius2_slope_r2,p90_radius2_slope_full_px2_per_s,p90_radius2_slope_r2,stage_drift_xy
cycle86_front5_obj8,86.0,10_c2_x10_030723,5,8,5.377963073534964,,1565,95,1757,287,1660.7096774193549,191.1290322580645,32,9098.54734659195,1.4580078125,0.022488064236111112,0.10112847222222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front5_obj8_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front5_obj8_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front5_obj8_crop_preview.png,1.0,37.709564208984375,5,318.756104296875,106.252034765625,-0.10456405312481827,0.16297544807328979,32,-0.026141013281204568,0.13799489292368075,0.11812694303408833,-0.056394694138723014,0.03540403858097896,0.22363409516745456
cycle86_front2_obj6,86.0,10_c2_x10_030723,2,6,5.344092852173012,,1240,76,1432,268,1335.859296482412,171.678391959799,32,9098.54734659195,-1.8193359375,0.021375868055555556,0.10015190972222222,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front2_obj6_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front2_obj6_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front2_obj6_crop_preview.png,1.0,18.36862564086914,5,325.8491291015625,108.6163763671875,-0.17717012247155645,0.15838098040947957,32,-0.04429253061788911,0.11945377052043663,0.16430426332227333,-0.2938143049946933,0.08246353037532128,0.22363409516745456
cycle86_front3_obj5,86.0,10_c2_x10_030723,3,5,4.595016519669338,,1088,990,1280,1182,1184.2469135802469,1085.9753086419753,32,9098.54734659195,6.42578125,0.032307942708333336,0.0957302517361111,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front3_obj5_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front3_obj5_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front3_obj5_crop_preview.png,1.0,42.450103759765625,5,321.5815866210937,107.19386220703124,-0.056108846957936075,0.037884707760390435,32,-0.014027211739484019,0.1235854830958918,0.24619085006414398,-0.056300511987782666,0.052113754258775846,0.22363409516745456
cycle86_front8_obj17,86.0,10_c2_x10_030723,8,17,3.8991914755100505,,20,907,212,1099,116.0,1002.9019607843138,32,9098.54734659195,0.1396484375,0.042182074652777776,0.14048936631944445,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front8_obj17_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front8_obj17_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front8_obj17_crop_preview.png,1.0,42.938419342041016,5,322.1592793945312,107.38642646484374,-0.08199830334775865,0.30401049679109016,32,-0.020499575836939662,0.22295159652104463,0.4436021617233694,-0.0014130500688651364,0.0002671890738653593,0.22363409516745456
cycle86_front6_obj78,86.0,10_c2_x10_030723,6,78,3.5957901654859614,,455,118,647,310,550.9333333333333,214.4,32,9098.54734659195,-1.4853515625,0.023410373263888888,0.1013454861111111,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front6_obj78_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front6_obj78_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front6_obj78_crop_preview.png,1.0,12.824847221374512,5,324.3180260742187,108.10600869140625,-0.15543094814208405,0.14830561114593133,32,-0.03885773703552101,0.11653241474080686,0.22824561292849144,0.12101225845176683,0.02377743363880369,0.22363409516745456
cycle86_front4_obj9,86.0,10_c2_x10_030723,4,9,3.518927813373632,,715,288,907,480,810.7391304347827,383.6956521739131,32,9098.54734659195,-15.6640625,0.05506727430555555,0.11189778645833333,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle86_front4_obj9_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle86_front4_obj9_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle86_front4_obj9_crop_preview.png,1.0,57.81104278564453,5,320.42620107421874,106.80873369140625,-0.1868965376690237,0.2577204821010488,32,-0.046724134417255925,0.16891566389572002,0.30136177841310574,-0.09114780159059359,0.05703245048045025,0.22363409516745456
cycle116_front3_obj9,116.0,13_c2_x6_100723,3,9,4.261017170280639,,725,284,917,476,820.927536231884,380.1159420289855,32,9126.74534368515,-12.10546875,0.042887369791666664,0.05943467881944445,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front3_obj9_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front3_obj9_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front3_obj9_crop_preview.png,1.0,53.66439437866211,5,306.68319404296875,102.22773134765625,-0.2627405067053337,0.2985903304518088,32,-0.06568512667633343,0.1086153276690416,0.2884187443908446,-0.24763646988544588,0.1954230003004629,0.22363409516745456
cycle116_front2_obj2,116.0,13_c2_x6_100723,2,2,4.159234021974196,,1253,81,1445,273,1348.6176470588234,177.44117647058823,32,9126.74534368515,-2.8876953125,0.03455946180555555,0.048258463541666664,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front2_obj2_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front2_obj2_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front2_obj2_crop_preview.png,1.0,27.341211318969727,5,311.4372146484375,103.8124048828125,-0.2536737743074581,0.22237455396022432,32,-0.06341844357686452,0.045806436110852077,0.3261740162049035,-0.6172182206171004,0.2685355628326389,0.22363409516745456
cycle116_front1_obj6,116.0,13_c2_x6_100723,1,6,4.033089505345082,,1103,992,1295,1184,1199.1515151515152,1088.4242424242425,32,9126.74534368515,-17.044921875,0.042290581597222224,0.046440972222222224,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front1_obj6_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front1_obj6_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front1_obj6_crop_preview.png,1.0,36.0057487487793,5,307.9189353515625,102.6396451171875,-0.14520214276452337,0.21502720005689913,32,-0.03630053569113084,0.09121732859212413,0.2137744232217602,-0.019419583903407676,0.011895050817566255,0.22363409516745456
cycle116_front8_obj20,116.0,13_c2_x6_100723,8,20,3.987079460919189,,0,990,192,1182,88.47058823529412,1086.1176470588234,32,9126.74534368515,8.9560546875,0.034369574652777776,0.060953776041666664,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/roi_traces/cycle116_front8_obj20_front_tracking.csv,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/plots/cycle116_front8_obj20_front_tracking.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/selected_front_roi_tracking/crop_previews/cycle116_front8_obj20_crop_preview.png,1.0,39.21062088012695,5,313.02261210937496,104.34087070312499,0.03718946381091408,0.09123674207057575,32,0.00929736595272852,0.09921091891813602,0.31249184647902006,-0.020017320179496437,0.03845823578198726,0.22363409516745456
