target,axis,transform,n_bootstrap,n_per_source,balanced_auc_mean,balanced_auc_p05,balanced_auc_p95
future_any_drop_within_8cycles,signed_optical_loss_axis,raw,1000,3,0.6444376339215775,0.47131393298059965,0.8092105263157895
future_any_drop_within_8cycles,signed_optical_loss_axis,within_source_rank,1000,3,0.42580472302297245,0.22125,0.6499999999999999
future_any_drop_within_8cycles,signed_optical_loss_axis,within_source_centered_z,1000,3,0.49598558308375246,0.2784586466165413,0.7222222222222221
future_any_drop_within_8cycles,signed_optical_loss_axis,source_residual,1000,3,0.5265848421467224,0.27631578947368424,0.7714373897707232
future_any_drop_within_8cycles,signed_optical_loss_axis,source_mean_only,1000,3,0.697605314174765,0.6578947368421053,0.7454545454545454
future_any_drop_within_8cycles,front_contraction_axis,raw,1000,3,0.654629278014976,0.5317460317460319,0.75
future_any_drop_within_8cycles,front_contraction_axis,within_source_rank,1000,3,0.5842351897438663,0.36111111111111116,0.7857142857142857
future_any_drop_within_8cycles,front_contraction_axis,within_source_centered_z,1000,3,0.5086086483684691,0.30952380952380953,0.7
future_any_drop_within_8cycles,front_contraction_axis,source_residual,1000,3,0.5055026547484214,0.3142857142857143,0.6930827067669171
future_any_drop_within_8cycles,front_contraction_axis,source_mean_only,1000,3,0.5761545016196618,0.5238095238095238,0.6111111111111112
future_any_drop_within_8cycles,rollout_difficulty_axis,raw,1000,3,0.6077031555429343,0.45714285714285713,0.757142857142857
future_any_drop_within_8cycles,rollout_difficulty_axis,within_source_rank,1000,3,0.6841126603334936,0.4761463844797178,0.8893937969924811
future_any_drop_within_8cycles,rollout_difficulty_axis,within_source_centered_z,1000,3,0.6143537400539116,0.3650793650793651,0.8428571428571429
future_any_drop_within_8cycles,rollout_difficulty_axis,source_residual,1000,3,0.624499657741191,0.36507936507936506,0.8618421052631579
future_any_drop_within_8cycles,rollout_difficulty_axis,source_mean_only,1000,3,0.6362201633035156,0.5238095238095238,0.7571428571428571
future_any_drop_within_8cycles,echem_degraded_state_axis,raw,1000,3,0.7001411009499301,0.5325655624568668,0.8500925925925926
future_any_drop_within_8cycles,echem_degraded_state_axis,within_source_rank,1000,3,0.5895780035930112,0.3531084656084656,0.8262111801242235
future_any_drop_within_8cycles,echem_degraded_state_axis,within_source_centered_z,1000,3,0.49047333924586023,0.2642857142857143,0.7107142857142855
future_any_drop_within_8cycles,echem_degraded_state_axis,source_residual,1000,3,0.5404219750628217,0.30714285714285716,0.765432098765432
future_any_drop_within_8cycles,echem_degraded_state_axis,source_mean_only,1000,3,0.3262904598452653,0.2380952380952381,0.39285714285714285
future_any_drop_within_8cycles,combined_loss_mechanism_axis,raw,1000,3,0.7108260440021882,0.5928439153439153,0.8181818181818182
future_any_drop_within_8cycles,combined_loss_mechanism_axis,within_source_rank,1000,3,0.6114213771188695,0.3968055555555556,0.8027777777777777
future_any_drop_within_8cycles,combined_loss_mechanism_axis,within_source_centered_z,1000,3,0.568727973828584,0.36407975958414557,0.7642857142857142
future_any_drop_within_8cycles,combined_loss_mechanism_axis,source_residual,1000,3,0.6312679353375387,0.42857142857142855,0.8223684210526316
future_any_drop_within_8cycles,combined_loss_mechanism_axis,source_mean_only,1000,3,0.7737598157944267,0.7142857142857142,0.8214285714285714
future_any_drop_within_16cycles,signed_optical_loss_axis,raw,1000,3,0.8659252849819027,0.7833333333333333,0.9471490641711229
future_any_drop_within_16cycles,signed_optical_loss_axis,within_source_rank,1000,3,0.4983724307373817,0.3235294117647059,0.6824682486631015
future_any_drop_within_16cycles,signed_optical_loss_axis,within_source_centered_z,1000,3,0.5683607442303521,0.3881417112299465,0.7443181818181818
