embedding_row_id,roi_id,cycleNo,source_stem,future_any_drop_within_8cycles,future_any_drop_within_16cycles,signed_optical_loss_axis,front_contraction_axis,rollout_difficulty_axis,echem_degraded_state_axis,combined_loss_mechanism_axis,signed_optical_loss_axis__raw,signed_optical_loss_axis__within_source_rank,signed_optical_loss_axis__within_source_centered_z,signed_optical_loss_axis__source_residual,signed_optical_loss_axis__source_mean_only,front_contraction_axis__raw,front_contraction_axis__within_source_rank,front_contraction_axis__within_source_centered_z,front_contraction_axis__source_residual,front_contraction_axis__source_mean_only,rollout_difficulty_axis__raw,rollout_difficulty_axis__within_source_rank,rollout_difficulty_axis__within_source_centered_z,rollout_difficulty_axis__source_residual,rollout_difficulty_axis__source_mean_only,echem_degraded_state_axis__raw,echem_degraded_state_axis__within_source_rank,echem_degraded_state_axis__within_source_centered_z,echem_degraded_state_axis__source_residual,echem_degraded_state_axis__source_mean_only,combined_loss_mechanism_axis__raw,combined_loss_mechanism_axis__within_source_rank,combined_loss_mechanism_axis__within_source_centered_z,combined_loss_mechanism_axis__source_residual,combined_loss_mechanism_axis__source_mean_only
selected_event_control::cycle58_rank6_obj29,cycle58_rank6_obj29,58.0,7_c2_x10_290623,,,-1.0345119667209368,,,-0.1479949647309776,-0.5912534657259573,-1.0345119667209368,0.14285714285714285,-1.0532773353492113,-0.8324763569014237,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1479949647309776,0.4642857142857143,0.2981530744645939,-0.3067864596319688,-0.1508493391920353,-0.5912534657259573,0.14285714285714285,-1.0623890666593918,-0.3505790535937118,-0.3351753186533205
selected_event_control::cycle58_rank4_obj2,cycle58_rank4_obj2,58.0,7_c2_x10_290623,,,-0.6338330839286099,,,-0.1479949647309776,-0.3909140243297938,-0.6338330839286099,0.5,-0.2338263769054878,-0.4317974741090968,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1479949647309776,0.4642857142857143,0.2981530744645939,-0.3067864596319688,-0.1508493391920353,-0.3909140243297938,0.5,-0.23124265845157907,-0.1502396121975483,-0.3351753186533205
selected_event_control::cycle58_rank1_obj1,cycle58_rank1_obj1,58.0,7_c2_x10_290623,,,-0.8384390715242527,,,-0.1479949647309776,-0.4932170181276152,-0.8384390715242527,0.35714285714285715,-0.6522776101477327,-0.6364034617047396,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1479949647309776,0.4642857142857143,0.2981530744645939,-0.3067864596319688,-0.1508493391920353,-0.4932170181276152,0.35714285714285715,-0.6556661531533753,-0.2525426059953697,-0.3351753186533205
selected_event_control::cycle58_rank3_obj9,cycle58_rank3_obj9,58.0,7_c2_x10_290623,,,-1.0380883363293218,,,-0.1479949647309776,-0.5930416505301498,-1.0380883363293218,0.07142857142857142,-1.0605915703368811,-0.8360527265098088,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1479949647309776,0.4642857142857143,0.2981530744645939,-0.3067864596319688,-0.1508493391920353,-0.5930416505301498,0.07142857142857142,-1.0698076926017364,-0.3523672383979043,-0.3351753186533205
selected_event_control::cycle60_rank3_obj9,cycle60_rank3_obj9,60.0,7_c2_x10_290623,,,-0.8075066115780206,,,-0.1429081148368242,-0.4752073632074224,-0.8075066115780206,0.42857142857142855,-0.5890158934999409,-0.6054710017585074,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1429081148368242,0.8214285714285714,0.8294988933028543,-0.30169960973781546,-0.1508493391920353,-0.4752073632074224,0.42857142857142855,-0.5809496625029873,-0.23453295107517694,-0.3351753186533205
selected_event_control::cycle60_rank1_obj1,cycle60_rank1_obj1,60.0,7_c2_x10_290623,,,-0.5793091332323139,,,-0.1429081148368242,-0.3611086240345691,-0.5793091332323139,0.5714285714285714,-0.12231637332145635,-0.3772735234128008,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1429081148368242,0.8214285714285714,0.8294988933028543,-0.30169960973781546,-0.1508493391920353,-0.3611086240345691,0.5714285714285714,-0.10758926684814989,-0.12043421190232365,-0.3351753186533205
selected_event_control::cycle60_rank2_obj2,cycle60_rank2_obj2,60.0,7_c2_x10_290623,,,-0.3976044597956419,,,-0.1429081148368242,-0.2702562873162331,-0.3976044597956419,0.7142857142857143,0.24929809201725978,-0.19556884997612878,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1429081148368242,0.8214285714285714,0.8294988933028543,-0.30169960973781546,-0.1508493391920353,-0.2702562873162331,0.7142857142857143,0.26932899155614765,-0.02958187518398761,-0.3351753186533205
selected_event_control::cycle60_rank4_obj5,cycle60_rank4_obj5,60.0,7_c2_x10_290623,,,-1.006779416424319,,,-0.1429081148368242,-0.5748437656305715,-1.006779416424319,0.21428571428571427,-0.9965599342167164,-0.8047438066048058,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1429081148368242,0.8214285714285714,0.8294988933028543,-0.30169960973781546,-0.1508493391920353,-0.5748437656305715,0.21428571428571427,-0.9943102939574305,-0.334169353498326,-0.3351753186533205
selected_event_control::cycle60_rank6_obj26,cycle60_rank6_obj26,60.0,7_c2_x10_290623,,,-0.935063794277178,,,-0.1429081148368242,-0.5389859545570012,-0.935063794277178,0.2857142857142857,-0.8498902747270201,-0.7330281844576649,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1429081148368242,0.8214285714285714,0.8294988933028543,-0.30169960973781546,-0.1508493391920353,-0.5389859545570012,0.2857142857142857,-0.845547321113467,-0.29831154242475566,-0.3351753186533205
selected_event_control::cycle60_rank5_obj18,cycle60_rank5_obj18,60.0,7_c2_x10_290623,,,-0.3403198027349813,,,-0.1429081148368242,-0.2416139587859028,-0.3403198027349813,0.7857142857142857,0.3664541717321184,-0.13828419291546817,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1429081148368242,0.8214285714285714,0.8294988933028543,-0.30169960973781546,-0.1508493391920353,-0.2416139587859028,0.7857142857142857,0.3881571579660598,-0.000939546653657336,-0.3351753186533205
selected_event_control::cycle62_rank2_obj2,cycle62_rank2_obj2,62.0,7_c2_x10_290623,,,-0.1754303407903762,,,-0.1656155501859096,-0.1705229454881429,-0.1754303407903762,0.8571428571428571,0.7036789006375571,0.026605269029136902,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1656155501859096,0.17857142857142858,-1.5424014144188667,-0.3244070450869009,-0.1508493391920353,-0.1705229454881429,0.8571428571428571,0.6830917946332584,0.07015146664410257,-0.3351753186533205
selected_event_control::cycle62_rank1_obj4,cycle62_rank1_obj4,62.0,7_c2_x10_290623,,,0.5084719176556595,,,-0.1656155501859096,0.1714281837348749,0.5084719176556595,1.0,2.1023659421403176,0.7105075274751727,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1656155501859096,0.17857142857142858,-1.5424014144188667,-0.3244070450869009,-0.1508493391920353,0.1714281837348749,1.0,2.1017413169422463,0.4121025958671204,-0.3351753186533205
selected_event_control::cycle62_rank3_obj9,cycle62_rank3_obj9,62.0,7_c2_x10_290623,,,0.4685671620252286,,,-0.1656155501859096,0.1514758059196594,0.4685671620252286,0.9285714285714286,2.0207544780673095,0.6706027718447418,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1656155501859096,0.17857142857142858,-1.5424014144188667,-0.3244070450869009,-0.1508493391920353,0.1514758059196594,0.9285714285714286,2.018965069585498,0.39215021805190486,-0.3351753186533205
selected_event_control::cycle62_rank4_obj1,cycle62_rank4_obj1,62.0,7_c2_x10_290623,,,-0.463171235949414,,,-0.1656155501859096,-0.3143933930676619,-0.463171235949414,0.6428571428571429,0.11520378390988342,-0.2611356261299009,-0.5195012981146055,,,0.0,,,,,0.0,,,-0.1656155501859096,0.17857142857142858,-1.5424014144188667,-0.3244070450869009,-0.1508493391920353,-0.3143933930676619,0.6428571428571429,0.08621778460490893,-0.07371898093541643,-0.3351753186533205
selected_event_control::cycle86_rank2_obj6,cycle86_rank2_obj6,86.0,10_c2_x10_030723,,,-0.3812911949152803,,,-0.1052573651958306,-0.2432742800555554,-0.3812911949152803,0.21428571428571427,-0.8819118989816237,-0.7161591929714877,0.01740230976111489,,,0.0,,,,,0.0,,,-0.1052573651958306,0.8214285714285714,1.1252446615251193,-0.16971645514354164,-0.24518174414531552,-0.2432742800555554,0.42857142857142855,-0.6382497383193243,-0.22388546938453016,-0.1138897171921003
selected_event_control::cycle86_rank5_obj8,cycle86_rank5_obj8,86.0,10_c2_x10_030723,,,-0.0998873757289992,,,-0.1052573651958306,-0.1025723704624149,-0.0998873757289992,0.5,-0.25944533344103926,-0.4347553737852065,0.01740230976111489,,,0.0,,,,,0.0,,,-0.1052573651958306,0.8214285714285714,1.1252446615251193,-0.16971645514354164,-0.24518174414531552,-0.1025723704624149,0.5714285714285714,0.0558280943941807,-0.08318355979138964,-0.1138897171921003
selected_event_control::cycle86_rank3_obj5,cycle86_rank3_obj5,86.0,10_c2_x10_030723,,,-0.0683902258446025,,,-0.1052573651958306,-0.0868237955202165,-0.0683902258446025,0.5714285714285714,-0.1897734904306966,-0.4032582239008098,0.01740230976111489,,,0.0,,,,,0.0,,,-0.1052573651958306,0.8214285714285714,1.1252446615251193,-0.16971645514354164,-0.24518174414531552,-0.0868237955202165,0.6428571428571429,0.13351528993982073,-0.06743498484919125,-0.1138897171921003
selected_event_control::cycle86_rank4_obj9,cycle86_rank4_obj9,86.0,10_c2_x10_030723,,,0.0390263490599483,,,-0.1052573651958306,-0.0331155080679411,0.0390263490599483,0.6428571428571429,0.04783247617030093,-0.29584164899625903,0.01740230976111489,,,0.0,,,,,0.0,,,-0.1052573651958306,0.8214285714285714,1.1252446615251193,-0.16971645514354164,-0.24518174414531552,-0.0331155080679411,0.7857142857142857,0.3984564827169699,-0.013726697396915843,-0.1138897171921003
selected_event_control::cycle86_rank6_obj78,cycle86_rank6_obj78,86.0,10_c2_x10_030723,,,-0.403251359177308,,,-0.1052573651958306,-0.2542543621865693,-0.403251359177308,0.14285714285714285,-0.930487885144209,-0.7381193572335153,0.01740230976111489,,,0.0,,,,,0.0,,,-0.1052573651958306,0.8214285714285714,1.1252446615251193,-0.16971645514354164,-0.24518174414531552,-0.2542543621865693,0.35714285714285715,-0.69241411768381,-0.23486555151554409,-0.1138897171921003
selected_event_control::cycle86_rank8_obj17,cycle86_rank8_obj17,86.0,10_c2_x10_030723,,,-0.4798609607885563,,,-0.1052573651958306,-0.2925591629921935,-0.4798609607885563,0.07142857142857142,-1.0999486825856921,-0.8147289588447636,0.01740230976111489,,,0.0,,,,,0.0,,,-0.1052573651958306,0.8214285714285714,1.1252446615251193,-0.16971645514354164,-0.24518174414531552,-0.2925591629921935,0.14285714285714285,-0.8813704239810649,-0.27317035232116826,-0.1138897171921003
selected_event_control::cycle88_rank2_obj4,cycle88_rank2_obj4,88.0,10_c2_x10_030723,,,-0.2165272196236018,,,-0.3870435468498356,-0.3017853832367188,-0.2165272196236018,0.2857142857142857,-0.517453214230323,-0.5513952176798091,0.01740230976111489,,,0.0,,,,,0.0,,,-0.3870435468498356,0.17857142857142858,-1.1408250468291867,-0.45150263679754665,-0.24518174414531552,-0.3017853832367188,0.07142857142857142,-0.9268830610872338,-0.2823965725656935,-0.1138897171921003
selected_event_control::cycle88_rank5_obj9,cycle88_rank5_obj9,88.0,10_c2_x10_030723,,,1.4129797119453895,,,-0.3870435468498356,0.512968082547777,1.4129797119453895,1.0,3.0870237475655653,1.0781117138891823,0.01740230976111489,,,0.0,,,,,0.0,,,-0.3870435468498356,0.17857142857142858,-1.1408250468291867,-0.45150263679754665,-0.24518174414531552,0.512968082547777,1.0,3.0922686431273694,0.5323568932188023,-0.1138897171921003
selected_event_control::cycle88_rank3_obj6,cycle88_rank3_obj6,88.0,10_c2_x10_030723,,,-0.1798223736427832,,,-0.3870435468498356,-0.2834329602463094,-0.1798223736427832,0.42857142857142855,-0.436261923072857,-0.5146903716989906,0.01740230976111489,,,0.0,,,,,0.0,,,-0.3870435468498356,0.17857142857142858,-1.1408250468291867,-0.45150263679754665,-0.24518174414531552,-0.2834329602463094,0.21428571428571427,-0.8363511698637343,-0.2640441495752841,-0.1138897171921003
