target,axis,dropped_source,full_oriented_auc,drop_source_oriented_auc,delta_auc_minus_full,n_after_drop,n_positive_after_drop
future_any_drop_within_16cycles,combined_loss_mechanism_axis,17_c2_x10_HighHighCOV_150723,0.9894736842105264,0.9777777777777779,-0.011695906432748537,42,27
future_any_drop_within_16cycles,combined_loss_mechanism_axis,5_c2_x10_260623,0.9894736842105264,0.986111111111111,-0.0033625730994153447,66,54
future_any_drop_within_16cycles,combined_loss_mechanism_axis,15_c2_x5_HighCOV_120723,0.9894736842105264,0.9868421052631577,-0.0026315789473686513,69,57
future_any_drop_within_16cycles,combined_loss_mechanism_axis,18_c2_xN_HighHighCOV_170723,0.9894736842105264,0.9868421052631577,-0.0026315789473686513,69,57
future_any_drop_within_16cycles,combined_loss_mechanism_axis,12_c2_x10_070723,0.9894736842105264,0.9882352941176471,-0.0012383900928792935,66,51
future_any_drop_within_16cycles,combined_loss_mechanism_axis,11_c2_x10_050723,0.9894736842105264,0.9888888888888889,-0.0005847953216374657,69,54
future_any_drop_within_16cycles,combined_loss_mechanism_axis,10_c2_x10_030723,0.9894736842105264,0.9894736842105264,0.0,72,57
future_any_drop_within_16cycles,combined_loss_mechanism_axis,13_c2_x6_100723,0.9894736842105264,0.9894736842105264,0.0,72,57
future_any_drop_within_16cycles,combined_loss_mechanism_axis,7_c2_x10_290623,0.9894736842105264,0.9894736842105264,0.0,72,57
future_any_drop_within_16cycles,combined_loss_mechanism_axis,16_c2_x10_HighHighCOV_130723,0.9894736842105264,0.9918300653594772,0.002356381148950759,63,51
future_any_drop_within_16cycles,combined_loss_mechanism_axis,14_c2_x10_HighCOV_110723,0.9894736842105264,0.9941520467836258,0.004678362573099393,69,57
future_any_drop_within_16cycles,combined_loss_mechanism_axis,9_c2_x10_010723,0.9894736842105264,1.0,0.010526315789473606,63,48
future_any_drop_within_16cycles,echem_degraded_state_axis,5_c2_x10_260623,0.8210526315789474,0.7777777777777777,-0.04327485380116969,66,54
future_any_drop_within_16cycles,echem_degraded_state_axis,14_c2_x10_HighCOV_110723,0.8210526315789474,0.7894736842105263,-0.03157894736842104,69,57
future_any_drop_within_16cycles,echem_degraded_state_axis,15_c2_x5_HighCOV_120723,0.8210526315789474,0.7894736842105263,-0.03157894736842104,69,57
future_any_drop_within_16cycles,echem_degraded_state_axis,16_c2_x10_HighHighCOV_130723,0.8210526315789474,0.7941176470588235,-0.026934984520123884,63,51
future_any_drop_within_16cycles,echem_degraded_state_axis,12_c2_x10_070723,0.8210526315789474,0.8117647058823529,-0.009287925696594423,66,51
future_any_drop_within_16cycles,echem_degraded_state_axis,10_c2_x10_030723,0.8210526315789474,0.8210526315789474,0.0,72,57
future_any_drop_within_16cycles,echem_degraded_state_axis,13_c2_x6_100723,0.8210526315789474,0.8210526315789474,0.0,72,57
future_any_drop_within_16cycles,echem_degraded_state_axis,7_c2_x10_290623,0.8210526315789474,0.8210526315789474,0.0,72,57
future_any_drop_within_16cycles,echem_degraded_state_axis,11_c2_x10_050723,0.8210526315789474,0.8222222222222222,0.0011695906432748204,69,54
future_any_drop_within_16cycles,echem_degraded_state_axis,9_c2_x10_010723,0.8210526315789474,0.825,0.003947368421052588,63,48
future_any_drop_within_16cycles,echem_degraded_state_axis,17_c2_x10_HighHighCOV_150723,0.8210526315789474,0.8444444444444444,0.023391812865497075,42,27
future_any_drop_within_16cycles,echem_degraded_state_axis,18_c2_xN_HighHighCOV_170723,0.8210526315789474,0.9473684210526315,0.12631578947368416,69,57
future_any_drop_within_16cycles,front_contraction_axis,18_c2_xN_HighHighCOV_170723,0.5578947368421052,0.4605263157894736,-0.0973684210526316,69,57
future_any_drop_within_16cycles,front_contraction_axis,11_c2_x10_050723,0.5578947368421052,0.5333333333333333,-0.024561403508771895,69,54
future_any_drop_within_16cycles,front_contraction_axis,14_c2_x10_HighCOV_110723,0.5578947368421052,0.5526315789473684,-0.0052631578947368585,69,57
future_any_drop_within_16cycles,front_contraction_axis,12_c2_x10_070723,0.5578947368421052,0.5529411764705883,-0.004953560371516952,66,51
future_any_drop_within_16cycles,front_contraction_axis,5_c2_x10_260623,0.5578947368421052,0.5555555555555556,-0.002339181286549641,66,54
future_any_drop_within_16cycles,front_contraction_axis,10_c2_x10_030723,0.5578947368421052,0.5578947368421052,0.0,72,57
future_any_drop_within_16cycles,front_contraction_axis,13_c2_x6_100723,0.5578947368421052,0.5578947368421052,0.0,72,57
future_any_drop_within_16cycles,front_contraction_axis,7_c2_x10_290623,0.5578947368421052,0.5578947368421052,0.0,72,57
future_any_drop_within_16cycles,front_contraction_axis,9_c2_x10_010723,0.5578947368421052,0.5625,0.004605263157894779,63,48
