source_stem,n_rows,n_cycles,future_any_drop_within_8cycles_rate,future_any_drop_within_8cycles_n_positive,future_any_drop_within_16cycles_rate,future_any_drop_within_16cycles_n_positive,median_signed_optical_loss_axis,median_front_contraction_axis,median_rollout_difficulty_axis,median_echem_degraded_state_axis,median_combined_loss_mechanism_axis
17_c2_x10_HighHighCOV_150723,66,10,0.8,24,1.0,30,0.0222994190004243,-0.3299371550226122,0.5582842224759216,0.5785426465389021,0.2735263664793698
18_c2_xN_HighHighCOV_170723,21,3,0.0,0,0.0,0,-3.1434354652843166,-0.2387480052832846,-0.2433662179127133,0.5130296391423969,-0.7507485744670657
10_c2_x10_030723,14,3,,0,,0,-0.08413880078680085,,,-0.3132065098650228,-0.12511438612146175
13_c2_x6_100723,14,2,,0,,0,0.5068719628308549,,,-1.425606545549544,-0.41003535092785837
7_c2_x10_290623,14,3,,0,,0,-0.6065711085804619,,,-0.1479949647309776,-0.3760113241821814
5_c2_x10_260623,10,2,0.0,0,0.5,3,0.1062976522492966,-0.8431770159507443,-0.1918817429232252,-0.5976580465788877,-0.3466907414295338
16_c2_x10_HighHighCOV_130723,9,3,0.0,0,0.6666666666666666,6,-0.1078834897587894,0.4470618693446156,-0.1126944133760183,-0.2677518243842349,0.0623869828978746
9_c2_x10_010723,9,3,0.6666666666666666,6,1.0,9,-0.0565970001892397,0.1370307281275525,-0.5129076413270349,0.1533967583978104,-0.0885649902128474
12_c2_x10_070723,6,2,1.0,6,1.0,6,0.2555062695442963,0.1605945761691469,-0.15297534968294124,0.30696493382936174,0.1425226074649659
11_c2_x10_050723,3,1,0.0,0,1.0,3,0.4352258547332961,1.2760420958088798,-0.8813033618658166,0.5090754859515649,0.3347600186569811
14_c2_x10_HighCOV_110723,3,1,0.0,0,0.0,0,-0.1334276503016394,0.0985148263303983,-0.3057313185769733,-0.6365876856295997,-0.2443079570444535
15_c2_x5_HighCOV_120723,3,1,0.0,0,0.0,0,-1.4560372896503264,0.6900595041445794,0.1024563257102068,-1.0178709322980464,-0.4203480980233967
