embedding_row_id,roi_id,cycleNo,source_stem,future_any_drop_within_8cycles,future_any_drop_within_16cycles,signed_optical_loss_axis,front_contraction_axis,rollout_difficulty_axis,echem_degraded_state_axis,combined_loss_mechanism_axis
selected_event_control::cycle58_rank6_obj29,cycle58_rank6_obj29,58.0,7_c2_x10_290623,,,-1.0345119667209368,,,-0.14799496473097767,-0.5912534657259573
selected_event_control::cycle58_rank4_obj2,cycle58_rank4_obj2,58.0,7_c2_x10_290623,,,-0.6338330839286099,,,-0.14799496473097767,-0.39091402432979383
selected_event_control::cycle58_rank1_obj1,cycle58_rank1_obj1,58.0,7_c2_x10_290623,,,-0.8384390715242527,,,-0.14799496473097767,-0.4932170181276152
selected_event_control::cycle58_rank3_obj9,cycle58_rank3_obj9,58.0,7_c2_x10_290623,,,-1.0380883363293218,,,-0.14799496473097767,-0.5930416505301498
selected_event_control::cycle60_rank3_obj9,cycle60_rank3_obj9,60.0,7_c2_x10_290623,,,-0.8075066115780206,,,-0.14290811483682428,-0.47520736320742246
selected_event_control::cycle60_rank1_obj1,cycle60_rank1_obj1,60.0,7_c2_x10_290623,,,-0.5793091332323139,,,-0.14290811483682428,-0.3611086240345691
selected_event_control::cycle60_rank2_obj2,cycle60_rank2_obj2,60.0,7_c2_x10_290623,,,-0.39760445979564196,,,-0.14290811483682428,-0.27025628731623313
selected_event_control::cycle60_rank4_obj5,cycle60_rank4_obj5,60.0,7_c2_x10_290623,,,-1.0067794164243187,,,-0.14290811483682428,-0.5748437656305715
selected_event_control::cycle60_rank6_obj26,cycle60_rank6_obj26,60.0,7_c2_x10_290623,,,-0.935063794277178,,,-0.14290811483682428,-0.5389859545570012
selected_event_control::cycle60_rank5_obj18,cycle60_rank5_obj18,60.0,7_c2_x10_290623,,,-0.3403198027349813,,,-0.14290811483682428,-0.2416139587859028
selected_event_control::cycle62_rank2_obj2,cycle62_rank2_obj2,62.0,7_c2_x10_290623,,,-0.17543034079037628,,,-0.16561555018590968,-0.17052294548814298
selected_event_control::cycle62_rank1_obj4,cycle62_rank1_obj4,62.0,7_c2_x10_290623,,,0.5084719176556595,,,-0.16561555018590968,0.1714281837348749
selected_event_control::cycle62_rank3_obj9,cycle62_rank3_obj9,62.0,7_c2_x10_290623,,,0.46856716202522863,,,-0.16561555018590968,0.15147580591965948
selected_event_control::cycle62_rank4_obj1,cycle62_rank4_obj1,62.0,7_c2_x10_290623,,,-0.46317123594941406,,,-0.16561555018590968,-0.3143933930676619
selected_event_control::cycle86_rank2_obj6,cycle86_rank2_obj6,86.0,10_c2_x10_030723,,,-0.3812911949152803,,,-0.10525736519583062,-0.24327428005555546
