embedding_row_id,roi_id,cycleNo,source_stem,future_any_drop_within_8cycles,future_any_drop_within_16cycles,signed_optical_loss_axis,front_contraction_axis,rollout_difficulty_axis,echem_degraded_state_axis,combined_loss_mechanism_axis
balanced_future::cycle150_rank13_obj3,cycle150_rank13_obj3,150.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.16603991117624245,-0.3299371550226122,12.298066413343188,-7.439824262856696,1.1735862266600305
balanced_future::cycle150_rank13_obj2,cycle150_rank13_obj2,150.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.01665850808906144,-0.3299371550226122,12.298066413343188,-7.439824262856696,1.1362408758882352
balanced_future::cycle150_rank13_obj1,cycle150_rank13_obj1,150.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,-0.1200696574947581,-0.3299371550226122,12.298066413343188,-7.439824262856696,1.1020588344922801
balanced_future::cycle154_rank16_obj2,cycle154_rank16_obj2,154.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,1.3284344398309453,-0.5425997719961069,0.5303844548583945,0.7933299729399494,0.5273872739082957
balanced_future::cycle104_rank6_obj2,cycle104_rank6_obj2,104.0,11_c2_x10_050723,0.0,1.0,0.9428716519238591,1.2760420958088798,-0.8813033618658166,0.5090754859515649,0.46167146795462183
balanced_future::cycle146_rank1_obj3,cycle146_rank1_obj3,146.0,17_c2_x10_HighHighCOV_150723,0.0,1.0,0.022299419000424352,1.0237643480122007,0.6265470808260392,0.15719534041731814,0.4574515470639956
balanced_future::cycle146_rank1_obj2,cycle146_rank1_obj2,146.0,17_c2_x10_HighHighCOV_150723,0.0,1.0,-0.04311049883718895,1.0237643480122007,0.6265470808260392,0.15719534041731814,0.4410990676045923
balanced_future::cycle154_rank16_obj3,cycle154_rank16_obj3,154.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.9784312503785165,-0.5425997719961069,0.5303844548583945,0.7933299729399494,0.4398864765451884
balanced_future::cycle148_rank18_obj1,cycle148_rank18_obj1,148.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.4592081149366258,1.013539065159923,0.23899164607544474,-0.03992769984105933,0.4179527815827335
balanced_future::cycle44_rank4_obj3,cycle44_rank4_obj3,44.0,5_c2_x10_260623,0.0,1.0,0.5533936711540518,0.35729648996650615,-0.1509173788039025,0.7216347400222091,0.37035188058471613
balanced_future::cycle154_rank16_obj1,cycle154_rank16_obj1,154.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.6701000869185583,-0.5425997719961069,0.5303844548583945,0.7933299729399494,0.36280368568019883
balanced_future::cycle146_rank1_obj1,cycle146_rank1_obj1,146.0,17_c2_x10_HighHighCOV_150723,0.0,1.0,-0.3893490887018414,1.0237643480122007,0.6265470808260392,0.15719534041731814,0.35453942013842915
balanced_future::cycle155_rank19_obj3,cycle155_rank19_obj3,155.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.3563267667597456,-0.37299159142125454,0.5059501613294347,0.8624372884793599,0.3379306562868214
balanced_future::cycle104_rank6_obj3,cycle104_rank6_obj3,104.0,11_c2_x10_050723,0.0,1.0,0.43522585473329617,1.2760420958088798,-0.8813033618658166,0.5090754859515649,0.3347600186569811
balanced_future::cycle151_rank14_obj3,cycle151_rank14_obj3,151.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.050008494694033685,-0.4046944556859572,0.736732704107692,0.9153344069461693,0.3243452875154844
balanced_future::cycle110_rank24_obj1,cycle110_rank24_obj1,110.0,12_c2_x10_070723,1.0,1.0,1.292290539803685,0.2105880846254095,-0.09178801633859074,-0.14614089443003425,0.3162374284151174
balanced_future::cycle110_rank24_obj3,cycle110_rank24_obj3,110.0,12_c2_x10_070723,1.0,1.0,1.2619123125745448,0.2105880846254095,-0.09178801633859074,-0.14614089443003425,0.3086428716078324
balanced_future::cycle152_rank15_obj3,cycle152_rank15_obj3,152.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.33565577050355655,-0.3034650012590924,0.5979236562970551,0.5785426465389021,0.3021642680201053
balanced_future::cycle104_rank6_obj1,cycle104_rank6_obj1,104.0,11_c2_x10_050723,0.0,1.0,0.27543951667434646,1.2760420958088798,-0.8813033618658166,0.5090754859515649,0.29481343414224365
balanced_future::cycle148_rank18_obj2,cycle148_rank18_obj2,148.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,-0.05732632016951844,1.013539065159923,0.23899164607544474,-0.03992769984105933,0.28881917280619746
balanced_future::cycle152_rank15_obj1,cycle152_rank15_obj1,152.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.11908672199564636,-0.3034650012590924,0.5979236562970551,0.5785426465389021,0.24802200589312778
balanced_future::cycle151_rank14_obj1,cycle151_rank14_obj1,151.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,-0.2765182334401768,-0.4046944556859572,0.736732704107692,0.9153344069461693,0.24271360548193183
balanced_future::cycle44_rank4_obj1,cycle44_rank4_obj1,44.0,5_c2_x10_260623,0.0,1.0,0.031892056036256,0.35729648996650615,-0.1509173788039025,0.7216347400222091,0.23997647680526718
balanced_future::cycle152_rank15_obj2,cycle152_rank15_obj2,152.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,0.05116707109951374,-0.3034650012590924,0.5979236562970551,0.5785426465389021,0.23104209316909463
balanced_future::cycle143_rank10_obj1,cycle143_rank10_obj1,143.0,16_c2_x10_HighHighCOV_130723,0.0,1.0,0.45404359698945457,0.9774439637280208,-0.44458290702582504,-0.11022011513555513,0.21917113463902377
balanced_future::cycle44_rank4_obj2,cycle44_rank4_obj2,44.0,5_c2_x10_260623,0.0,1.0,-0.10708441207915496,0.35729648996650615,-0.1509173788039025,0.7216347400222091,0.20523235977641444
balanced_future::cycle151_rank14_obj2,cycle151_rank14_obj2,151.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,-0.44278804856696663,-0.4046944556859572,0.736732704107692,0.9153344069461693,0.20114615170023437
balanced_future::cycle148_rank18_obj3,cycle148_rank18_obj3,148.0,17_c2_x10_HighHighCOV_150723,1.0,1.0,-0.46939311671486833,1.013539065159923,0.23899164607544474,-0.03992769984105933,0.18580247366986
balanced_future::cycle108_rank21_obj3,cycle108_rank21_obj3,108.0,12_c2_x10_070723,1.0,1.0,0.057391129672858136,0.11060106771288436,-0.2141626830272918,0.7600707620887577,0.1784750691118021
balanced_future::cycle147_rank3_obj1,cycle147_rank3_obj1,147.0,17_c2_x10_HighHighCOV_150723,0.0,1.0,-0.03771100424468965,1.286147612422723,-0.20532762886236725,-0.3523379854244084,0.17269274847281435
