source_stem,cycle_from,cycle_to,mode_from,mode_to,changed
10_c2_x10_030723,92.0,92.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
10_c2_x10_030723,92.0,94.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
10_c2_x10_030723,94.0,94.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
11_c2_x10_050723,98.0,98.0,source_residual_front_geometry_state,source_residual_temporal_dictionary_state,True
11_c2_x10_050723,98.0,100.0,source_residual_temporal_dictionary_state,source_residual_front_geometry_state,True
11_c2_x10_050723,100.0,100.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
11_c2_x10_050723,100.0,102.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
11_c2_x10_050723,102.0,102.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
12_c2_x10_070723,108.0,108.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
12_c2_x10_070723,108.0,110.0,source_residual_front_geometry_state,source_residual_temporal_dictionary_state,True
12_c2_x10_070723,110.0,110.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
12_c2_x10_070723,110.0,112.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
12_c2_x10_070723,112.0,112.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
12_c2_x10_070723,112.0,114.0,source_residual_temporal_dictionary_state,source_residual_front_geometry_state,True
12_c2_x10_070723,114.0,114.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
14_c2_x10_HighCOV_110723,123.0,123.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
14_c2_x10_HighCOV_110723,123.0,125.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
14_c2_x10_HighCOV_110723,125.0,125.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
14_c2_x10_HighCOV_110723,125.0,126.0,source_residual_front_geometry_state,source_residual_temporal_dictionary_state,True
14_c2_x10_HighCOV_110723,126.0,126.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
14_c2_x10_HighCOV_110723,126.0,127.0,source_residual_temporal_dictionary_state,source_residual_front_geometry_state,True
14_c2_x10_HighCOV_110723,127.0,127.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
15_c2_x5_HighCOV_120723,132.0,132.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
15_c2_x5_HighCOV_120723,132.0,133.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
15_c2_x5_HighCOV_120723,133.0,133.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
15_c2_x5_HighCOV_120723,133.0,134.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
15_c2_x5_HighCOV_120723,134.0,134.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
16_c2_x10_HighHighCOV_130723,136.0,136.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
16_c2_x10_HighHighCOV_130723,136.0,142.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
16_c2_x10_HighHighCOV_130723,142.0,142.0,source_residual_temporal_dictionary_state,source_residual_temporal_dictionary_state,False
16_c2_x10_HighHighCOV_130723,142.0,144.0,source_residual_temporal_dictionary_state,source_residual_front_geometry_state,True
16_c2_x10_HighHighCOV_130723,144.0,144.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
16_c2_x10_HighHighCOV_130723,144.0,145.0,source_residual_front_geometry_state,source_residual_front_geometry_state,False
