source_stem,n_roi,n_cycles,future8_positive_rows,future16_positive_rows,max_expansion_transport_front_score,median_expansion_transport_front_score,median_apparent_transport_instability_score,median_front_radius2_q70_slope
12_c2_x10_070723,8,4,8.0,8.0,0.8916666666666666,0.48567708333333326,0.0018664161709396824,-8.817369987577683
17_c2_x10_HighHighCOV_150723,6,3,6.0,6.0,0.8557291666666667,0.3268229166666667,0.0044354530428516205,50.61413173746576
2_c2_x14_200623,8,4,0.0,0.0,0.85,0.49609375,0.0016812683826597336,-64.9744810214847
9_c2_x10_010723,8,4,8.0,8.0,0.8380208333333333,0.5432291666666667,0.0018172681308649755,-10.286838765718745
16_c2_x10_HighHighCOV_130723,8,4,0.0,6.0,0.8026041666666666,0.5684895833333333,0.001817925432457372,-13.032786646376607
14_c2_x10_HighCOV_110723,8,4,0.0,0.0,0.7755208333333334,0.49244791666666665,0.0016722381988356532,-3.811823934423
15_c2_x5_HighCOV_120723,6,3,0.0,0.0,0.775,0.4721354166666667,0.0016762804687610192,-18.281124190102076
8_c2_x10_300623,8,4,0.0,6.0,0.7671875000000001,0.6083333333333334,0.0019691674115840463,28.234728113802912
4_c2_x10_240623,8,4,0.0,0.0,0.7177083333333332,0.6283854166666667,0.001467652644863578,28.33513663528348
11_c2_x10_050723,6,3,0.0,4.0,0.6708333333333334,0.51171875,0.001358143030531496,-14.703991517764347
5_c2_x10_260623,6,3,0.0,0.0,0.6651041666666667,0.5026041666666667,0.0023749828362409765,0.4879634367996026
6_c2_x10_270623_2,8,4,4.0,8.0,0.6520833333333333,0.4955729166666667,0.0016498842673200332,-18.412648603540283
10_c2_x10_030723,4,2,0.0,0.0,0.6369791666666668,0.5135416666666666,0.0020572220131825844,26.454158307152536
7_c2_x10_290623,4,2,2.0,2.0,0.6036458333333334,0.5208333333333334,0.0015736431365837294,82.31127263365968
