feature_set,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p,base_roc_auc,base_average_precision,delta_roc_auc,delta_average_precision
mask_contrast_source_residual_plus_context,full_future_any_event_within_16cycles,cycleNo,96,48,48,0.8203125,0.8257191834391423,0.5548276264412202,4.4700013782297e-09,0.7552083333333334,0.8275195534994858,0.06510416666666663,-0.0018003700603435036
primary_source_residual_plus_context,full_future_any_event_within_16cycles,cycleNo,96,48,48,0.8103298611111112,0.8172585489492727,0.5375362505494207,1.632105624013951e-08,0.7552083333333334,0.8275195534994858,0.05512152777777779,-0.01026100455021306
primary_rank_plus_context,full_future_any_event_within_16cycles,cycleNo,96,48,48,0.7769097222222222,0.8209874178145156,0.4796509844649299,7.631490174241216e-07,0.7552083333333334,0.8275195534994858,0.02170138888888884,-0.006532135684970242
q80_front_source_residual_plus_context,full_future_any_event_within_16cycles,cycleNo,96,48,48,0.7543402777777778,0.7947037875248185,0.440717123394499,6.995786667954307e-06,0.7552083333333334,0.8275195534994858,-0.0008680555555555802,-0.03281576597466729
mask_contrast_source_residual_plus_context,full_future_any_event_within_16cycles,source_stem,96,48,14,0.7374131944444444,0.7819771242347927,0.4112340266441023,3.152352614002003e-05,0.7204861111111112,0.8135112043436292,0.01692708333333326,-0.031534080108836515
primary_source_residual_plus_context,full_future_any_event_within_16cycles,source_stem,96,48,14,0.724392361111111,0.7770252913980319,0.38868005808958106,9.099733015033475e-05,0.7204861111111112,0.8135112043436292,0.003906249999999889,-0.03648591294559733
primary_rank_plus_context,full_future_any_event_within_16cycles,source_stem,96,48,14,0.7230902777777778,0.7958861072369833,0.3864351452381255,0.00010070788444490934,0.7204861111111112,0.8135112043436292,0.0026041666666666297,-0.01762509710664595
q80_front_source_residual_plus_context,full_future_any_event_within_16cycles,source_stem,96,48,14,0.7139756944444444,0.7792332005663324,0.37079535516883555,0.00020006534004322026,0.7204861111111112,0.8135112043436292,-0.006510416666666741,-0.03427800377729684
primary_source_residual_plus_context,full_future_any_event_within_8cycles,cycleNo,96,28,48,0.8203781512605042,0.6825317410630904,0.5044746134532062,1.6002341663052982e-07,0.8319327731092436,0.705187074829932,-0.011554621848739455,-0.02265533376684159
primary_rank_plus_context,full_future_any_event_within_8cycles,cycleNo,96,28,48,0.8182773109243697,0.6801010723626659,0.5011682827708199,1.984579654604332e-07,0.8319327731092436,0.705187074829932,-0.013655462184873901,-0.02508600246726611
q80_front_source_residual_plus_context,full_future_any_event_within_8cycles,cycleNo,96,28,48,0.8061974789915967,0.663099704412763,0.48290094242126164,6.263280983388721e-07,0.8319327731092436,0.705187074829932,-0.025735294117646967,-0.042087370417169034
mask_contrast_source_residual_plus_context,full_future_any_event_within_8cycles,cycleNo,96,28,48,0.7956932773109243,0.6433948888119446,0.46560525799041813,1.7517276631390658e-06,0.8319327731092436,0.705187074829932,-0.03623949579831931,-0.061792186017987416
q80_front_source_residual_plus_context,full_future_any_event_within_8cycles,source_stem,96,28,14,0.8185399159663865,0.6509720596453077,0.5017945458355669,1.9056224497376474e-07,0.8151260504201681,0.6741071566756938,0.0034138655462184753,-0.023135097030386076
primary_rank_plus_context,full_future_any_event_within_8cycles,source_stem,96,28,14,0.8172268907563025,0.667989468443887,0.4995244261612738,2.2068974807403154e-07,0.8151260504201681,0.6741071566756938,0.0021008403361344463,-0.006117688231806806
mask_contrast_source_residual_plus_context,full_future_any_event_within_8cycles,source_stem,96,28,14,0.8146008403361344,0.6314220218202802,0.4953775302597877,2.877688612553075e-07,0.8151260504201681,0.6741071566756938,-0.0005252100840336116,-0.04268513485541359
primary_source_residual_plus_context,full_future_any_event_within_8cycles,source_stem,96,28,14,0.8125,0.6505751011061365,0.49206950000763566,3.5473569199046596e-07,0.8151260504201681,0.6741071566756938,-0.002626050420168058,-0.023532055569557286
