feature_set,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p
mask_contrast_source_residual_plus_context,full_future_any_event_within_16cycles,cycleNo,96,48,48,0.8203125,0.8257191834391423,0.5548276264412202,4.4700013782297e-09
primary_source_residual_plus_context,full_future_any_event_within_16cycles,cycleNo,96,48,48,0.8103298611111112,0.8172585489492727,0.5375362505494207,1.632105624013951e-08
primary_rank_plus_context,full_future_any_event_within_16cycles,cycleNo,96,48,48,0.7769097222222222,0.8209874178145156,0.4796509844649299,7.631490174241216e-07
past_event_context_only,full_future_any_event_within_16cycles,cycleNo,96,48,48,0.7552083333333334,0.8275195534994858,0.4450868569515652,5.52895360016229e-06
q80_front_source_residual_plus_context,full_future_any_event_within_16cycles,cycleNo,96,48,48,0.7543402777777778,0.7947037875248185,0.440717123394499,6.995786667954307e-06
mask_contrast_source_residual_plus_context,full_future_any_event_within_16cycles,source_stem,96,48,14,0.7374131944444444,0.7819771242347927,0.4112340266441023,3.152352614002003e-05
primary_source_residual_plus_context,full_future_any_event_within_16cycles,source_stem,96,48,14,0.724392361111111,0.7770252913980319,0.38868005808958106,9.099733015033475e-05
primary_rank_plus_context,full_future_any_event_within_16cycles,source_stem,96,48,14,0.7230902777777778,0.7958861072369833,0.3864351452381255,0.00010070788444490934
past_event_context_only,full_future_any_event_within_16cycles,source_stem,96,48,14,0.7204861111111112,0.8135112043436292,0.3829960144781081,0.0001174655939530215
q80_front_source_residual_plus_context,full_future_any_event_within_16cycles,source_stem,96,48,14,0.7139756944444444,0.7792332005663324,0.37079535516883555,0.00020006534004322026
past_event_context_only,full_future_any_event_within_8cycles,cycleNo,96,28,48,0.8319327731092436,0.705187074829932,0.5280833904522794,3.2142868849398965e-08
primary_source_residual_plus_context,full_future_any_event_within_8cycles,cycleNo,96,28,48,0.8203781512605042,0.6825317410630904,0.5044746134532062,1.6002341663052982e-07
primary_rank_plus_context,full_future_any_event_within_8cycles,cycleNo,96,28,48,0.8182773109243697,0.6801010723626659,0.5011682827708199,1.984579654604332e-07
q80_front_source_residual_plus_context,full_future_any_event_within_8cycles,cycleNo,96,28,48,0.8061974789915967,0.663099704412763,0.48290094242126164,6.263280983388721e-07
mask_contrast_source_residual_plus_context,full_future_any_event_within_8cycles,cycleNo,96,28,48,0.7956932773109243,0.6433948888119446,0.46560525799041813,1.7517276631390658e-06
q80_front_source_residual_plus_context,full_future_any_event_within_8cycles,source_stem,96,28,14,0.8185399159663865,0.6509720596453077,0.5017945458355669,1.9056224497376474e-07
primary_rank_plus_context,full_future_any_event_within_8cycles,source_stem,96,28,14,0.8172268907563025,0.667989468443887,0.4995244261612738,2.2068974807403154e-07
past_event_context_only,full_future_any_event_within_8cycles,source_stem,96,28,14,0.8151260504201681,0.6741071566756938,0.49761052559982527,2.49555755566226e-07
mask_contrast_source_residual_plus_context,full_future_any_event_within_8cycles,source_stem,96,28,14,0.8146008403361344,0.6314220218202802,0.4953775302597877,2.877688612553075e-07
primary_source_residual_plus_context,full_future_any_event_within_8cycles,source_stem,96,28,14,0.8125,0.6505751011061365,0.49206950000763566,3.5473569199046596e-07
