cycleNo,source_stem,n_roi,future_any_drop_within_8cycles,future_any_drop_within_16cycles,mask_base_area_fraction,mask_area_fraction_median,mask_area_fraction_iqr,mask_area_fraction_slope,mask_centroid_path_px,mask_centroid_max_step_px,mask_centroid_drift_px,masked_minus_background_mean_median,masked_minus_background_mean_slope,front_radius_q60_median_px,front_radius_q60_delta_px,front_radius_q60_slope_px_per_norm_time,front_radius_q70_median_px,front_radius_q70_delta_px,front_radius_q70_slope_px_per_norm_time,front_radius_q80_median_px,front_radius_q80_delta_px,front_radius_q80_slope_px_per_norm_time,front_radius_q70_positive_step_fraction,front_gradient_peak_radius_median_px,front_gradient_peak_radius_slope_px_per_norm_time,apparent_diffusion_q70_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,roi_norm_mean_delta_last_minus_first,object_area_ds_px,object_mean_residual,object_mean_abs_z
2.0,2_c2_x14_200623,2,0.0,0.0,0.2757703993055556,0.2540961371527778,0.008517795138888867,-0.00223306173038373,8.72553582655491,0.4452643933014145,0.6128029874566685,0.1604543849825859,0.011081346861547657,8.0,0.0,,8.0,0.0,,7.5,0.5,0.6394974226804129,0.0,8.0,0.9793814432989695,,,-0.0016346275806426499,91.0,7388.587646484375,20.068544387817383
6.0,2_c2_x14_200623,2,0.0,0.0,0.27294921875,0.2518446180555555,0.010321723090277762,-0.004346325361988116,10.960505653563946,0.9431578863581173,0.4286879227137438,0.1670797672122717,-0.021502112858141426,8.0,-0.5,-0.1875000000000001,8.0,0.0,-0.39626288659793824,7.0,0.0,,0.010526315789473684,7.0,-0.4175257731958764,-4.358891752577319,-0.16068618556701061,0.0009562484920024501,85.5,8370.017333984375,22.246485710144043
10.0,2_c2_x14_200623,2,0.0,0.0,0.2582465277777778,0.236572265625,0.009277343750000014,-0.013230646052584486,6.858940605764073,0.18321664602085816,0.47867127895671213,0.15313895791769028,-0.009395441213219443,8.0,0.0,-0.36146907216494867,7.5,0.0,1.105025773195877,7.5,0.0,,0.005263157894736842,3.5,-0.1465850515463918,12.155283505154646,0.4480923711340212,0.0010970272123813,111.5,6906.7490234375,20.5120792388916
12.0,2_c2_x14_200623,2,0.0,0.0,0.26247829861111116,0.2416720920138889,0.007161458333333329,-0.0035732133828214486,7.184150614830561,0.20322705243743225,0.3812429461082887,0.15128333307802677,-0.01943297476925379,11.0,-0.5,-1.251932989690722,8.0,0.0,,8.0,0.5,0.2989690721649486,0.0,3.0,2.910438144329899,,,0.00105599313974375,120.5,6544.674072265625,19.375277519226078
26.0,4_c2_x10_240623,2,0.0,0.0,0.2691514756944444,0.2516004774305556,0.0035807291666666435,0.003517771368037658,7.69101804180258,0.19791703388984655,0.10167289299192475,0.14764832239598036,0.00417073249826496,6.5,0.0,0.0,5.5,0.0,0.0728092783505155,5.0,0.0,,0.021052631578947368,4.5,0.2528994845360826,0.8009020618556699,0.029524453608247455,-0.00010419636964793865,86.0,9709.138916015625,25.383216857910156
28.0,4_c2_x10_240623,2,0.0,0.0,0.2517361111111111,0.23787434895833334,0.003757052951388895,0.0007422797868341894,8.566052804416366,0.2157390793880133,0.10678652170749801,0.13920810725539923,0.0038364131421273237,23.5,0.0,,22.5,0.0,0.003865979381443308,21.5,0.0,,0.010526315789473684,5.5,-12.685567010309283,0.2976804123711343,0.010973690721649543,9.024515748019617e-05,82.0,10714.01416015625,27.346495628356934
30.0,4_c2_x10_240623,2,0.0,0.0,0.2518446180555556,0.235595703125,0.007459852430555539,0.010512204514336347,8.821822326179568,0.21331366176054428,0.4079173681920779,0.13941035233438015,-1.0886911264400978e-05,25.0,0.0,,24.0,0.5,-0.3614690721649486,23.0,1.0,0.9967783505154643,0.047368421052631574,5.5,1.3472938144329902,-38.83891752577322,-1.4317578556701052,-0.0006928630173206,100.0,8730.18115234375,23.25758457183838
34.0,4_c2_x10_240623,2,0.0,0.0,0.2689344618055556,0.25295681423611105,0.0037841796874999722,-0.005528785382212914,7.200270980539113,0.18261849786555961,0.3002173520960645,0.14512784872204065,0.0040746813822422475,5.5,1.0,0.802835051546392,5.5,0.0,0.11146907216494854,5.0,0.0,,0.010526315789473684,4.0,-0.2338917525773197,1.226159793814434,0.04520115463917533,-8.79950821399572e-05,83.5,10603.6884765625,27.22706985473633
36.0,5_c2_x10_260623,2,0.0,0.0,0.2909613715277778,0.2679307725694444,0.009128146701388895,-0.0069061314254009205,10.764519356600509,0.45070104355117535,0.3661902612463828,0.1532715642824769,0.01110091969519662,6.0,0.0,-0.03157216494845369,6.0,-1.0,-0.7857603092783508,5.5,-0.5,-0.9626288659793819,0.0,6.5,-0.4223582474226805,-8.64336340206186,-0.3186289484536086,0.0005397722125053113,51.5,10516.2119140625,25.163411140441895
38.0,5_c2_x10_260623,2,0.0,0.0,0.2748480902777778,0.2505967881944444,0.008219401041666644,-0.011804150278762176,9.989804068060673,0.3940044642375143,0.64806162399237,0.14880016539245844,0.011723809372681701,7.5,1.0,1.650773195876289,7.0,1.0,2.9130154639175276,5.5,0.5,1.4710051546391758,0.010526315789473684,4.5,1.6066365979381452,40.79188144329899,1.5037519175257734,0.00083708018064495,120.5,6533.857421875,18.250073432922363
