target,feature,transform,n,n_positive,direction,oriented_auc,average_precision,spearman_rho,spearman_p,mwu_p,median_positive,median_negative,median_positive_minus_negative,source_eta2_after_transform,raw_source_eta2
future_any_drop_within_16cycles,masked_minus_background_mean_slope,raw,96,48,higher_in_positive,0.6901041666666666,0.6956991002779074,0.32928794089600877,0.001053054863994876,0.0013466977043372196,0.0038948716108504504,0.00017503044836835534,0.003719841162482095,0.6335286140459528,0.6335286140459528
future_any_drop_within_16cycles,object_y_full_approx,source_mean_only,96,48,higher_in_positive,0.7977430555555556,0.8318099942909394,0.5171954053779176,6.84146051581318e-08,4.7208762749627365e-07,480.6474909521851,245.217778000238,235.42971295194707,0.9999999999999998,0.188195518106978
future_any_drop_within_16cycles,front_radius_q80_slope_px_per_norm_time,source_residual,49,28,lower_in_positive,0.6309523809523809,0.6336506707229124,0.22453655975512463,0.1208872455739973,0.12221729813109583,0.056647336769759804,0.18449312714776647,-0.12784579037800667,4.7022243294748224e-33,0.10433684331820878
future_any_drop_within_16cycles,front_radius_q80_slope_px_per_norm_time,within_source_rank,49,28,lower_in_positive,0.6556122448979593,0.6773003062653529,0.2709354502495094,0.05970365203771667,0.06192414327593897,0.0,0.33333333333333337,-0.33333333333333337,0.07810243778136412,0.10433684331820878
future_any_drop_within_16cycles,front_radius_q80_slope_px_per_norm_time,within_source_z,48,28,lower_in_positive,0.6366071428571429,0.6915021939681802,0.23338342780476,0.11039067921928183,0.11193882877603219,0.1189701752661054,0.37766815230872824,-0.2586979770426229,5.257588130474615e-33,0.10433684331820878
future_any_drop_within_8cycles,masked_minus_background_mean_slope,raw,96,28,higher_in_positive,0.8209033613445378,0.7031442379056523,0.5053016210162442,1.5158129013190908e-07,8.608524835185122e-07,0.00682433405963065,0.0005854491802105,0.00623888487942015,0.6335286140459528,0.6335286140459528
future_any_drop_within_8cycles,masked_minus_background_mean_slope,source_mean_only,96,28,higher_in_positive,0.9296218487394958,0.8613945578231292,0.6784090165677618,3.097789947329652e-14,3.888333465764547e-11,0.007094311628571056,0.0007682984003847372,0.006326013228186319,0.9999999999999999,0.6335286140459528
future_any_drop_within_8cycles,front_radius_q80_median_px,source_residual,96,28,higher_in_positive,0.6121323529411765,0.34939923120503885,0.17684279795358382,0.08477761678600748,0.08550267854391752,-0.125,-0.5,0.375,3.723182396582997e-34,0.15278402559104312
future_any_drop_within_8cycles,front_radius_q80_median_px,within_source_rank,96,28,higher_in_positive,0.5690651260504203,0.3863334492983161,0.1092057348879842,0.28953217807138903,0.2889814578546668,0.0,-0.03125,0.03125,0.0051925573344872335,0.15278402559104312
future_any_drop_within_8cycles,front_radius_q80_median_px,within_source_z,96,28,higher_in_positive,0.5745798319327731,0.4039929751595266,0.11752717724781069,0.2541199727159645,0.2536703427500657,-0.35355339059327373,-0.43851989526455215,0.08496650467127842,2.851746389808019e-32,0.15278402559104312
