feature,transform,pre_clock_n,pre_clock_rho,pre_clock_p,pre_clock_perm_p_abs,post_clock_n,post_clock_rho,post_clock_p,post_clock_perm_p_abs,abs_pre_minus_abs_post_rho,source_eta2_after_transform,raw_source_eta2
mask_centroid_drift_px,raw,76,-0.10595610462381382,0.3623148776476124,0.00796812749003984,40,-0.09480003067430223,0.5606551104794696,0.4063745019920319,0.011156073949511583,0.1618456126623724,0.1618456126623724
mask_centroid_drift_px,within_source_rank,76,-0.14459854715303255,0.21267239716673886,0.01195219123505976,40,-0.15441072951510326,0.34143487480256624,0.3545816733067729,-0.00981218236207071,0.0022205773501110288,0.1618456126623724
mask_centroid_drift_px,source_residual,76,-0.11982771883847093,0.30252135754119497,0.01593625498007968,40,-0.20984677448662908,0.19372823728356697,0.18725099601593626,-0.09001905564815815,9.127648809003947e-33,0.1618456126623724
apparent_diffusion_q70_um2_per_norm_time,source_residual,47,0.200771467197284,0.1759977927613248,0.02390438247011952,20,-0.11953741057267445,0.6156872166471148,0.44621513944223107,0.08123405662460956,3.277621428091369e-33,0.20786015276907463
front_radius_q70_slope_px_per_norm_time,within_source_rank,47,0.11909696049959131,0.4252504663408506,0.027888446215139442,20,-0.14757948307879695,0.5346563811439432,0.6055776892430279,-0.028482522579205638,0.02356582140451868,0.3379626708409469
apparent_diffusion_q70_px2_per_norm_time,source_residual,47,0.200771467197284,0.1759977927613248,0.03187250996015936,20,-0.11953741057267445,0.6156872166471148,0.50199203187251,0.08123405662460956,1.662251873572738e-33,0.20786015276907482
front_radius_q70_slope_px_per_norm_time,source_residual,47,0.1490716552053737,0.31727846612207117,0.0398406374501992,20,-0.15379972570496966,0.5173763641674408,0.42231075697211157,-0.004728070499595977,2.8872900991430222e-33,0.3379626708409469
roi_norm_mean_last,within_source_rank,76,-0.10198515160331571,0.3806823823587571,0.0398406374501992,40,-0.03437185837122263,0.8332341507954,0.6812749003984063,0.06761329323209309,0.00222057735011103,0.19923670283826445
front_radius_q60_slope_px_per_norm_time,source_residual,44,0.20571240908418426,0.1803630981395446,0.055776892430278883,15,-0.2777140001755693,0.31626341497721533,0.17928286852589642,-0.07200159109138504,1.8383473298731184e-33,0.2812613722951844
front_radius_q60_slope_px_per_norm_time,raw,44,0.13190503286306138,0.39337732202451087,0.07569721115537849,15,0.07260496736616188,0.7970697171592416,0.8565737051792829,0.05930006549689949,0.2812613722951844,0.2812613722951844
apparent_diffusion_q70_um2_per_norm_time,within_source_rank,47,0.0940010304468591,0.5296899296952846,0.07569721115537849,20,-0.24442851884925743,0.2989940301161302,0.5537848605577689,-0.15042748840239833,0.02356582140451868,0.20786015276907463
apparent_diffusion_q70_px2_per_norm_time,within_source_rank,47,0.0940010304468591,0.5296899296952846,0.08764940239043825,20,-0.24442851884925743,0.2989940301161302,0.549800796812749,-0.15042748840239833,0.02356582140451868,0.20786015276907482
roi_norm_mean_last,raw,76,-0.1253653988213973,0.28056052445843427,0.09163346613545817,40,-0.231228817333328,0.15112052311004806,0.6972111553784861,-0.10586341851193071,0.19923670283826445,0.19923670283826445
