feature,transform,target,n,n_positive,oriented_auc,average_precision,direction,median_positive,median_negative,median_positive_minus_negative,mwu_p,within_source_perm_p,source_eta2_after_transform,raw_source_eta2,pre_clock_n,pre_clock_rho,pre_clock_p,pre_clock_perm_p_abs,post_clock_n,post_clock_rho,post_clock_p,post_clock_perm_p_abs,abs_pre_minus_abs_post_rho
masked_minus_background_mean_slope,raw,clean_pre8_vs_post_control,84,32,0.796875,0.7485611143193457,higher_in_positive,0.00722449220184075,0.0015871043427433998,0.0056373878590973495,5.477778402004225e-06,,0.5781004525786195,0.5781004525786195,76,0.3785634796249016,0.0007463169258157047,,40,0.21325276361265197,0.18642857570824276,,0.16531071601224964
spatial_std_slope,raw,clean_pre8_vs_post_control,84,32,0.796875,0.6918368905515528,higher_in_positive,0.0056877962875266,0.00296213907026445,0.00272565721726215,5.477778402004225e-06,,0.5721075421394747,0.5721075421394747,76,0.436407562614875,8.11546775131973e-05,,40,0.2891306324757162,0.07037280137894285,,0.14727693013915882
front_radius_q60_slope_px_per_norm_time,raw,clean_pre8_vs_post_control,41,32,0.7,0.6725288586293996,higher_in_positive,0.121778350515464,-0.1285438144329897,0.2503221649484537,0.029417264343790574,,0.2812613722951844,0.2812613722951844,44,0.13190503286306138,0.39337732202451087,,15,0.07260496736616188,0.7970697171592416,,0.05930006549689949
frame_diff_mse_slope,raw,clean_pre8_vs_post_control,84,32,0.6598557692307692,0.6542276944477803,higher_in_positive,2.137561628650915e-06,-1.5343032014496986e-08,2.152904660665412e-06,0.014464838239665339,,0.40709605393744575,0.40709605393744575,76,0.29067337058895154,0.010856269947875096,,40,-0.06320002044953482,0.6984416896225587,,0.22747335013941672
mask_centroid_max_step_px,raw,clean_pre8_vs_post_control,84,32,0.649639423076923,0.6637792042924955,higher_in_positive,0.27820832869378354,0.22211414587314815,0.056094182820635385,0.022083915738140975,,0.7553858029701687,0.7553858029701687,76,0.16684317017866257,0.14972100520730233,,40,-0.0868527227135823,0.594106143176588,,0.07999044746508027
temporal_energy_p95,raw,clean_pre8_vs_post_control,84,32,0.6484375,0.6769071342168835,higher_in_positive,0.0116775167174637,0.0097652894444763,0.0019122272729874008,0.023177289731306183,,0.8374275676480234,0.8374275676480234,76,0.2096642401456476,0.0690978499022495,,40,-0.4183689976464716,0.0072191727464956,,-0.208704757500824
frame_diff_mse_p95,raw,clean_pre8_vs_post_control,84,32,0.6484375,0.6769071342168835,higher_in_positive,0.0001365089512546,9.53622209635796e-05,4.1146730291020394e-05,0.023177289731306183,,0.6648823276962966,0.6648823276962966,76,0.21092529598334372,0.06740487668213603,,40,-0.4183689976464716,0.0072191727464956,,-0.2074437016631279
temporal_energy_late_minus_early,raw,clean_pre8_vs_post_control,84,32,0.6430288461538461,0.661495167839652,higher_in_positive,8.462928235528595e-05,-5.201436579227446e-07,8.51494260132087e-05,0.028698678971474677,,0.28233130688118036,0.28233130688118036,76,0.1441167508427915,0.21421657795802726,,40,-0.10937009526895547,0.5017093759124119,,0.03474665557383602
mask_area_fraction_iqr,raw,clean_pre8_vs_post_control,84,32,0.6400240384615385,0.5288377568905553,higher_in_positive,0.0079481336805555,0.0053304036458333,0.0026177300347222003,0.03222215485474584,,0.3839107963796472,0.3839107963796472,76,0.19001990752791864,0.10015186283137677,,40,-0.09888221044989558,0.5438205601031246,,0.09113769707802306
roi_norm_mean_positive_step_fraction,raw,clean_pre8_vs_post_control,84,32,0.6373197115384615,0.5051178281318548,higher_in_positive,0.5157894736842106,0.5052631578947369,0.010526315789473717,0.031703148713208174,,0.12356133059905985,0.12356133059905985,76,0.09186953124168658,0.4299380292184354,,40,0.1829596268188935,0.25846952339549817,,-0.09109009557720692
