comparison,match_scheme,treated_index,control_index,treated_roi_id,control_roi_id,treated_source,control_source,treated_source_class,control_source_class,same_source,same_source_class,treated_cycleNo,control_cycleNo,treated_event_bin,control_event_bin,match_distance
near_vs_far_pre,source_penalized_echem_context,20,87,source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,standard,standard,False,True,108.0,42.0,near_pre_event_1_8,far_pre_event_17_32,1.8975888965797236
near_vs_far_pre,source_penalized_echem_context,21,87,source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,source_balanced_cycle42_rank44_obj2_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,standard,standard,False,True,108.0,42.0,near_pre_event_1_8,far_pre_event_17_32,1.9599609087425114
near_vs_far_pre,source_penalized_echem_context,22,83,source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,source_balanced_cycle38_rank42_obj2_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,standard,standard,False,True,110.0,38.0,near_pre_event_1_8,far_pre_event_17_32,1.899985009153429
near_vs_far_pre,source_penalized_echem_context,23,83,source_balanced_cycle110_rank12_obj2_12_c2_x10_070723,source_balanced_cycle38_rank42_obj2_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,standard,standard,False,True,110.0,38.0,near_pre_event_1_8,far_pre_event_17_32,2.0567326096146297
near_vs_far_pre,source_penalized_echem_context,24,40,source_balanced_cycle112_rank13_obj1_12_c2_x10_070723,source_balanced_cycle138_rank21_obj1_16_c2_x10_HighHighCOV_130723,12_c2_x10_070723,16_c2_x10_HighHighCOV_130723,standard,HighHighCOV,False,False,112.0,138.0,near_pre_event_1_8,far_pre_event_17_32,2.9739609131245563
near_vs_far_pre,source_penalized_echem_context,25,41,source_balanced_cycle112_rank13_obj2_12_c2_x10_070723,source_balanced_cycle138_rank21_obj2_16_c2_x10_HighHighCOV_130723,12_c2_x10_070723,16_c2_x10_HighHighCOV_130723,standard,HighHighCOV,False,False,112.0,138.0,near_pre_event_1_8,far_pre_event_17_32,3.045853264776644
near_vs_far_pre,source_penalized_echem_context,26,38,source_balanced_cycle114_rank14_obj1_12_c2_x10_070723,source_balanced_cycle134_rank20_obj1_15_c2_x5_HighCOV_120723,12_c2_x10_070723,15_c2_x5_HighCOV_120723,standard,HighCOV,False,False,114.0,134.0,near_pre_event_1_8,far_pre_event_17_32,1.6792526623016375
near_vs_far_pre,source_penalized_echem_context,27,38,source_balanced_cycle114_rank14_obj2_12_c2_x10_070723,source_balanced_cycle134_rank20_obj1_15_c2_x5_HighCOV_120723,12_c2_x10_070723,15_c2_x5_HighCOV_120723,standard,HighCOV,False,False,114.0,134.0,near_pre_event_1_8,far_pre_event_17_32,1.771795859207044
near_vs_far_pre,source_penalized_echem_context,52,82,source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle38_rank42_obj1_5_c2_x10_260623,17_c2_x10_HighHighCOV_150723,5_c2_x10_260623,HighHighCOV,standard,False,False,150.0,38.0,near_pre_event_1_8,far_pre_event_17_32,6.271286325538974
near_vs_far_pre,source_penalized_echem_context,53,84,source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle40_rank43_obj1_5_c2_x10_260623,17_c2_x10_HighHighCOV_150723,5_c2_x10_260623,HighHighCOV,standard,False,False,150.0,40.0,near_pre_event_1_8,far_pre_event_17_32,6.1366161919661195
