roi_id,cycleNo,source_stem,event_relative_bin,cycles_to_next_event,object_candidate_rank,object_x_full_approx,object_y_full_approx,front_consensus_score,front_residual_outward_z_mean,front_raw_outward_z_mean,front_quantile_positive_fraction,front_q_slope_cv,front_q_slope_range_px_per_norm_time,front_q_slope_mean_px_per_norm_time,front_q_slope_mean_source_echem_residual,front_quality_score,front_radius_slope_px_per_norm_time,front_radius2_slope_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,front_radius_slope_r2,front_radius2_slope_r2,front_gradient_coherence,kymograph_temporal_energy,radial_profile_last_minus_first_l1
source_balanced_cycle38_rank42_obj2_5_c2_x10_260623,38.0,5_c2_x10_260623,far_pre_event_17_32,22.0,2,1322.8,107.92941176470588,9.479686726852592,4.01320581315308,4.710684310342736,1.0,0.46859029151924336,2.6552835051546397,2.836769759450173,2.1972486590964544,0.3372453797382976,,,1.5037519175257734,,,1.0,1.4238200644183102e-05,0.0281767628419217
source_balanced_cycle2_rank31_obj2_2_c2_x14_200623,2.0,2_c2_x14_200623,no_near_event_control,58.0,2,1655.926605504587,127.70642201834862,9.231800389123686,4.665245357015684,4.615664831437358,0.3333333333333333,,0.0,1.1572164948453618,1.0038887807214936,2.662754620261699,8.948453608247423,129.95103092783506,,0.5993447113365602,0.6143261760116796,1.0,4.84835980166656e-06,0.0153341844087599
source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2,46.0,6_c2_x10_270623_2,mid_pre_event_9_16,14.0,2,1181.2923076923078,1026.7076923076922,8.257800677692405,4.224522419689385,4.2288450791081305,0.3333333333333333,,0.0,0.4432989690721651,0.3056790053383394,1.98302082438096,6.831829896907218,75.05734536082475,,0.697319303136024,0.6883822586930273,0.2708333333333333,5.608006668458408e-06,0.0164607376350785
source_balanced_cycle8_rank33_obj1_2_c2_x14_200623,8.0,2_c2_x14_200623,no_near_event_control,52.0,1,1654.0434782608695,127.6086956521739,8.233759318335064,5.431411232083287,5.5769872403649625,0.0,,,,,0.027708932138592823,2.479381443298971,39.6701030927835,,0.0498154751139015,0.0564578885237346,1.0,1.694369554245352e-06,0.0081592592754909
source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723,154.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,2.0,1,845.2631578947369,82.87719298245614,7.7938599396609565,2.737448846536789,2.85499729406342,1.0,0.17191869572645613,0.6726804123711339,1.9624140893470798,1.6201834100732497,1.1138308035251525,0.908505154639176,13.056701030927863,1.080077195876289,0.2109642107526911,0.2122815403879174,1.0,0.0002190963255963,0.0063800249119497
source_balanced_cycle14_rank35_obj1_2_c2_x14_200623,14.0,2_c2_x14_200623,no_near_event_control,46.0,1,1329.1538461538462,105.02564102564102,7.759440670393953,3.6634726742663304,6.0,0.3333333333333333,,0.0,4.096649484536084,2.871549155057443,0.3372453797382976,,,,,,1.0,5.40189178182077e-06,0.0048376851908471
source_balanced_cycle32_rank39_obj1_4_c2_x10_240623,32.0,4_c2_x10_240623,far_pre_event_17_32,28.0,1,825.7142857142857,25.428571428571427,7.734683424532491,4.4624403018397105,4.352550253130315,0.3333333333333333,,0.0,1.4768041237113405,1.4422828487486894,0.3372453797382976,,,4.191949855670109,,,1.0,8.366914812881021e-07,0.0024910954958871
source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,151.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,5.0,1,844.0588235294117,81.82352941176471,6.18055737557084,1.8082311266342945,1.9613968276192564,1.0,0.44993380303658326,0.855670103092784,0.9579037800687296,0.6515725660390707,0.8819384529646916,1.2184278350515485,16.473582474226824,0.6061657731958766,0.1858773880550919,0.1580994634141782,1.0,0.0001566289176159,0.0058190664684995
source_balanced_cycle66_rank55_obj2_8_c2_x10_300623,66.0,8_c2_x10_300623,post_event_1_16,20.0,2,1310.8402366863904,124.2603550295858,5.973070194336745,2.8294493211406975,2.8083553201862785,0.6666666666666666,0.7185968782018757,2.9819587628865993,2.9342783505154655,2.441879767574987,-0.33322661142704346,-0.0335051546391734,-0.5695876288659757,2.973870185567012,0.0004836834353922,0.0004836834353925,1.0,4.357922811984738e-06,0.0066459016934798
source_balanced_cycle80_rank62_obj1_9_c2_x10_010723,80.0,9_c2_x10_010723,near_pre_event_1_8,6.0,1,1334.1192052980132,112.71523178807946,5.672647934743159,1.94345891618846,3.201062609437747,0.6666666666666666,0.5949193326901959,2.058634020618557,2.4468427835051556,1.3338596903962443,0.3372453797382976,,,0.5748123711340213,,,1.0,4.744228083195314e-06,0.0320789361257885
source_balanced_cycle133_rank19_obj1_15_c2_x5_HighCOV_120723,133.0,15_c2_x5_HighCOV_120723,far_pre_event_17_32,23.0,1,841.8983050847457,78.23728813559322,5.434353861550163,1.5266371643809666,1.5085819560656353,1.0,0.14720743879684417,0.2931701030927836,1.0335051546391756,0.8811697170699392,0.14128711705500818,0.0612113402061868,1.2854381443298806,1.109245360824741,0.0309278350515465,0.0309278350515457,1.0,2.336187185072671e-05,0.0104178222366573
source_balanced_cycle80_rank62_obj2_9_c2_x10_010723,80.0,9_c2_x10_010723,near_pre_event_1_8,6.0,2,1185.3538461538462,1036.123076923077,5.422185747758676,1.9320407046177381,1.9569767838957788,0.3333333333333333,,0.0,0.003221649484536,-0.1367219760731627,3.168622689869149,1.6514175257731942,15.449097938144329,,0.6718719172271166,0.6517137347273179,1.0,3.184150395857616e-06,0.0173982215139903
source_balanced_cycle82_rank63_obj1_9_c2_x10_010723,82.0,9_c2_x10_010723,near_pre_event_1_8,4.0,1,1330.4888888888888,107.42222222222222,5.236566295959021,1.4933901527491589,1.9807620836853062,1.0,0.6607323976326192,2.1462628865979387,1.7701890034364265,1.1304415012169649,-0.21172282887993663,-0.1797680412371061,-3.0560567010309407,1.2409058969072164,0.0125764848282483,0.0125764848282485,1.0,1.0326343224014266e-05,0.0119370561713744
