x,y,n,spearman_rho,spearman_p,abs_rho
front_evidence_score,front_radius2_slope_px2_per_norm_time_source_echem_context_residual,87,0.849227807390702,2.696282912886105e-25,0.849227807390702
front_evidence_score,front_raw_outward_z_mean,64,0.9075091575091574,4.87782634073067e-25,0.9075091575091574
front_evidence_score,front_residual_outward_z_mean,64,0.8912545787545787,5.757597855391678e-23,0.8912545787545787
front_evidence_score,front_consensus_score,64,0.8172161172161171,1.7783655503189877e-16,0.8172161172161171
front_kinetic_concordance_score,front_radius2_slope_px2_per_norm_time_source_echem_context_residual,87,0.6585925967521774,4.1122550473401705e-12,0.6585925967521774
front_evidence_score,front_radius2_slope_px2_per_norm_time,48,0.7695397307859314,1.6460240718218087e-10,0.7695397307859314
qc_evidence_score,strict_qc_priority_score,24,0.8652173913043478,4.861519796759555e-08,0.8652173913043478
q75_phase_fraction_slope,capacity_fraction_of_first,122,-0.4222736690315631,1.2678451143050057e-06,0.4222736690315631
q65_phase_fraction_slope,capacity_fraction_of_first,122,-0.4113810599881744,2.5112967529326524e-06,0.4113810599881744
q55_phase_fraction_slope,capacity_fraction_of_first,122,-0.40781187984046213,3.125492591854599e-06,0.40781187984046213
kinetic_evidence_score,capacity_fraction_of_first,122,-0.4009246840739506,4.733764097041593e-06,0.4009246840739506
front_kinetic_concordance_score,front_raw_outward_z_mean,64,0.5320970695970695,6.038394691307921e-06,0.5320970695970695
masked_minus_bg_slope,cycles_to_next_event,128,-0.3719235556578292,1.5415356978550033e-05,0.3719235556578292
masked_minus_bg_slope,capacity_fraction_of_first,122,-0.3639374023950653,3.7778360559510894e-05,0.3639374023950653
front_kinetic_concordance_score,front_radius2_slope_px2_per_norm_time,48,0.5403821102909249,7.350594292747136e-05,0.5403821102909249
front_kinetic_concordance_score,front_residual_outward_z_mean,64,0.4739010989010988,7.637629041494389e-05,0.4739010989010988
front_kinetic_concordance_score,capacity_fraction_of_first,97,-0.3821654398116847,0.00011209601940896401,0.3821654398116847
masked_minus_bg_slope,visual_review_score,24,0.7043478260869565,0.00012214433051770487,0.7043478260869565
q75_phase_fraction_slope,cycles_to_next_event,128,-0.3007691261400891,0.0005612791412551692,0.3007691261400891
kinetic_evidence_score,cycles_to_next_event,128,-0.29869505387296447,0.0006154199538448891,0.29869505387296447
front_kinetic_concordance_score,front_consensus_score,64,0.4116758241758241,0.000725662006157827,0.4116758241758241
kinetic_evidence_score,shape_V_mean,122,-0.29281818315546443,0.0010639874756306826,0.29281818315546443
q75_phase_fraction_slope,shape_V_mean,122,-0.2897248936941137,0.0012084030013900604,0.2897248936941137
qc_evidence_score,visual_sanity_score,24,0.6121739130434782,0.001475793389844065,0.6121739130434782
q75_avrami_n,cycles_to_next_event,128,-0.26748083920087745,0.0022707139000184124,0.26748083920087745
front_kinetic_concordance_score,cycles_to_next_event,103,-0.29638610127792464,0.0023666302018828657,0.29638610127792464
qc_evidence_score,visual_review_score,24,0.588695652173913,0.0024757615189034588,0.588695652173913
masked_minus_bg_slope,shape_V_mean,122,-0.2706892662396481,0.002564799673383019,0.2706892662396481
q65_phase_fraction_slope,shape_V_mean,122,-0.26400035825912055,0.0033004428108017124,0.26400035825912055
front_kinetic_product,front_radius2_slope_px2_per_norm_time_source_echem_context_residual,87,-0.3098527374790406,0.0034941095195824,0.3098527374790406
q75_logistic_amp,visual_review_score,24,0.5669565217391304,0.0038657806979389177,0.5669565217391304
front_kinetic_concordance_score,strict_qc_priority_score,24,0.5643478260869564,0.004069953445429257,0.5643478260869564
q55_phase_fraction_slope,shape_V_mean,122,-0.25548720264754005,0.004508631776608707,0.25548720264754005
front_kinetic_concordance_score,visual_review_score,24,0.5547826086956522,0.004898108173454645,0.5547826086956522
q55_phase_fraction_delta,visual_review_score,24,0.5530434782608695,0.005062933315680417,0.5530434782608695
q65_phase_fraction_slope,cycles_to_next_event,128,-0.24146899364080493,0.006035141796457911,0.24146899364080493
