source_stem,n_roi,near_pre,median_concordance,median_kinetic,median_front,n_manual_front_gate
17_c2_x10_HighHighCOV_150723,10,8,0.8779190193645261,1.122954913959647,0.297220921698836,0
9_c2_x10_010723,10,8,0.3613458229085256,0.7036930721112014,0.32881481220511466,1
6_c2_x10_270623_2,10,4,0.21159284252193863,0.031957137413121006,0.3506197157107102,0
7_c2_x10_290623,8,4,0.03369314625352457,0.46971014912916853,-0.04247272692276746,0
14_c2_x10_HighCOV_110723,8,0,-0.04324599272725189,-0.026137974455848152,-0.0457879701794571,0
5_c2_x10_260623,10,0,-0.044856169550256474,-0.08965542127193807,0.12121923201995527,0
8_c2_x10_300623,10,0,-0.08021633577920442,-0.2724921042090327,-0.22692185316753855,0
4_c2_x10_240623,10,0,-0.09776122904807119,0.013618763780136045,-0.14889306229243646,0
11_c2_x10_050723,10,0,-0.10389548865001301,-0.2734920658684169,0.04907261141945019,0
2_c2_x14_200623,10,0,-0.32312775177110814,-1.5464655532806875,-0.7400683253839409,0
12_c2_x10_070723,10,8,-0.4401693703432012,-0.1318621565598638,-0.7114624278182567,0
10_c2_x10_030723,8,0,-0.568231210533672,-0.4599122060712648,-1.2148867849345588,0
16_c2_x10_HighHighCOV_130723,10,0,-0.738463738715561,-1.6590215120065552,-0.40906311209653134,0
15_c2_x5_HighCOV_120723,4,0,-0.7790774520303811,-2.332460235013782,0.24081835218582695,0
