source_stem,n_roi,near_pre,median_concordance,median_kinetic,median_front
17_c2_x10_HighHighCOV_150723,10,8,0.8779190193645261,1.122954913959647,0.29722092169883596
9_c2_x10_010723,10,8,0.3613458229085256,0.7036930721112014,0.3288148122051146
12_c2_x10_070723,10,8,-0.4401693703432012,-0.1318621565598638,-0.7114624278182567
6_c2_x10_270623_2,10,4,0.2115928425219386,0.03195713741312099,0.3506197157107102
7_c2_x10_290623,8,4,0.033693146253524556,0.46971014912916853,-0.042472726922767504
14_c2_x10_HighCOV_110723,8,0,-0.0432459927272519,-0.0261379744558481,-0.04578797017945705
5_c2_x10_260623,10,0,-0.0448561695502565,-0.08965542127193805,0.12121923201995524
8_c2_x10_300623,10,0,-0.08021633577920445,-0.27249210420903264,-0.2269218531675385
4_c2_x10_240623,10,0,-0.0977612290480711,0.013618763780136049,-0.1488930622924364
11_c2_x10_050723,10,0,-0.103895488650013,-0.27349206586841684,0.0490726114194501
2_c2_x14_200623,10,0,-0.3231277517711081,-1.5464655532806875,-0.7400683253839409
10_c2_x10_030723,8,0,-0.568231210533672,-0.4599122060712648,-1.2148867849345588
16_c2_x10_HighHighCOV_130723,10,0,-0.738463738715561,-1.6590215120065552,-0.4090631120965313
15_c2_x5_HighCOV_120723,4,0,-0.7790774520303811,-2.332460235013782,0.24081835218582695
