blind_review_id,blind_order,frame_strip_png_relative,mask_overlay_png_relative,kymograph_png_relative,frame_strip_png_remote,mask_overlay_png_remote,kymograph_png_remote,frame_strip_png_local_equivalent,mask_overlay_png_local_equivalent,kymograph_png_local_equivalent,reviewer_id,review_date,particle_identity_ok,particle_identity_confidence_0_3,front_like_motion_present,front_motion_confidence_0_3,front_direction,phase_boundary_interpretable,kinetic_signal_particle_local,artifact_or_drift_issue,diffusion_interpretation_allowed,overall_manual_decision,review_notes
SBPRE-BLIND-001,1,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank037_routine_or_low_concordance_source_balanced_cycle48_rank47_obj1_6_c2_x10_270623_2_strip.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank037_routine_or_low_concordance_source_balanced_cycle48_rank47_obj1_6_c2_x10_270623_2_mask_overlay.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank037_routine_or_low_concordance_source_balanced_cycle48_rank47_obj1_6_c2_x10_270623_2_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank037_routine_or_low_concordance_source_balanced_cycle48_rank47_obj1_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank037_routine_or_low_concordance_source_balanced_cycle48_rank47_obj1_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank037_routine_or_low_concordance_source_balanced_cycle48_rank47_obj1_6_c2_x10_270623_2_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank037_routine_or_low_concordance_source_balanced_cycle48_rank47_obj1_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank037_routine_or_low_concordance_source_balanced_cycle48_rank47_obj1_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank037_routine_or_low_concordance_source_balanced_cycle48_rank47_obj1_6_c2_x10_270623_2_kymograph.png,,,,,,,,,,,,,
SBPRE-BLIND-002,2,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank021_review_kinetic_only_guardrail_source_balanced_cycle108_rank11_obj2_12_c2_x10_070723_strip.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank021_review_kinetic_only_guardrail_source_balanced_cycle108_rank11_obj2_12_c2_x10_070723_mask_overlay.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank021_review_kinetic_only_guardrail_source_balanced_cycle108_rank11_obj2_12_c2_x10_070723_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank021_review_kinetic_only_guardrail_source_balanced_cycle108_rank11_obj2_12_c2_x10_070723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank021_review_kinetic_only_guardrail_source_balanced_cycle108_rank11_obj2_12_c2_x10_070723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank021_review_kinetic_only_guardrail_source_balanced_cycle108_rank11_obj2_12_c2_x10_070723_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank021_review_kinetic_only_guardrail_source_balanced_cycle108_rank11_obj2_12_c2_x10_070723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank021_review_kinetic_only_guardrail_source_balanced_cycle108_rank11_obj2_12_c2_x10_070723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank021_review_kinetic_only_guardrail_source_balanced_cycle108_rank11_obj2_12_c2_x10_070723_kymograph.png,,,,,,,,,,,,,
SBPRE-BLIND-003,3,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank020_routine_or_low_concordance_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_strip.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank020_routine_or_low_concordance_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_mask_overlay.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank020_routine_or_low_concordance_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank020_routine_or_low_concordance_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank020_routine_or_low_concordance_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank020_routine_or_low_concordance_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank020_routine_or_low_concordance_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank020_routine_or_low_concordance_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank020_routine_or_low_concordance_source_balanced_cycle54_rank50_obj2_6_c2_x10_270623_2_kymograph.png,,,,,,,,,,,,,
SBPRE-BLIND-004,4,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank034_review_front_only_guardrail_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_strip.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank034_review_front_only_guardrail_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_mask_overlay.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank034_review_front_only_guardrail_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank034_review_front_only_guardrail_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank034_review_front_only_guardrail_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank034_review_front_only_guardrail_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank034_review_front_only_guardrail_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank034_review_front_only_guardrail_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank034_review_front_only_guardrail_source_balanced_cycle133_rank19_obj2_15_c2_x5_HighCOV_120723_kymograph.png,,,,,,,,,,,,,
SBPRE-BLIND-005,5,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank012_review_front_only_guardrail_source_balanced_cycle2_rank31_obj2_2_c2_x14_200623_strip.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank012_review_front_only_guardrail_source_balanced_cycle2_rank31_obj2_2_c2_x14_200623_mask_overlay.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank012_review_front_only_guardrail_source_balanced_cycle2_rank31_obj2_2_c2_x14_200623_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank012_review_front_only_guardrail_source_balanced_cycle2_rank31_obj2_2_c2_x14_200623_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank012_review_front_only_guardrail_source_balanced_cycle2_rank31_obj2_2_c2_x14_200623_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank012_review_front_only_guardrail_source_balanced_cycle2_rank31_obj2_2_c2_x14_200623_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank012_review_front_only_guardrail_source_balanced_cycle2_rank31_obj2_2_c2_x14_200623_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank012_review_front_only_guardrail_source_balanced_cycle2_rank31_obj2_2_c2_x14_200623_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank012_review_front_only_guardrail_source_balanced_cycle2_rank31_obj2_2_c2_x14_200623_kymograph.png,,,,,,,,,,,,,
SBPRE-BLIND-006,6,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank017_routine_or_low_concordance_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_strip.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank017_routine_or_low_concordance_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_mask_overlay.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank017_routine_or_low_concordance_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank017_routine_or_low_concordance_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank017_routine_or_low_concordance_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank017_routine_or_low_concordance_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank017_routine_or_low_concordance_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank017_routine_or_low_concordance_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank017_routine_or_low_concordance_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_kymograph.png,,,,,,,,,,,,,
SBPRE-BLIND-007,7,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank007_review_front_only_guardrail_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_strip.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank007_review_front_only_guardrail_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_mask_overlay.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank007_review_front_only_guardrail_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank007_review_front_only_guardrail_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank007_review_front_only_guardrail_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank007_review_front_only_guardrail_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank007_review_front_only_guardrail_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank007_review_front_only_guardrail_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank007_review_front_only_guardrail_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_kymograph.png,,,,,,,,,,,,,
SBPRE-BLIND-008,8,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank006_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_strip.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank006_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_mask_overlay.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank006_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank006_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank006_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank006_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank006_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank006_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank006_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_kymograph.png,,,,,,,,,,,,,
SBPRE-BLIND-009,9,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank014_review_front_only_guardrail_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_strip.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank014_review_front_only_guardrail_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank014_review_front_only_guardrail_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank014_review_front_only_guardrail_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank014_review_front_only_guardrail_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank014_review_front_only_guardrail_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank014_review_front_only_guardrail_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank014_review_front_only_guardrail_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank014_review_front_only_guardrail_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,,,,,,,,,,,,,
SBPRE-BLIND-010,10,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank003_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_strip.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank003_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,../source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank003_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank003_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank003_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank003_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank003_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank003_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_manual_qc_visual_packet/visual_assets/rank003_review_front_and_kinetics_first_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,,,,,,,,,,,,,
