manual_qc_rank,roi_id,manual_qc_action_tier,event_relative_bin,source_stem,frame_strip_png,mask_overlay_png,kymograph_png,review_question
1,source_balanced_cycle80_rank62_obj2_9_c2_x10_010723,review_strict_front_gate,near_pre_event_1_8,9_c2_x10_010723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank008_source_balanced_cycle80_rank62_obj2_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank008_source_balanced_cycle80_rank62_obj2_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank008_source_balanced_cycle80_rank62_obj2_9_c2_x10_010723_kymograph.png,"Can a human confirm a coherent outward/front-like trace in the strip, overlay, and radial kymograph?"
2,source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,review_front_and_kinetics_first,near_pre_event_1_8,17_c2_x10_HighHighCOV_150723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank001_source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank001_source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank001_source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,Do masked optical kinetics and the radial/front view describe the same localized pre-event change?
3,source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723,review_front_and_kinetics_first,near_pre_event_1_8,17_c2_x10_HighHighCOV_150723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank002_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank002_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank002_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,Do masked optical kinetics and the radial/front view describe the same localized pre-event change?
4,source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,review_front_and_kinetics_first,near_pre_event_1_8,9_c2_x10_010723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank010_source_balanced_cycle78_rank61_obj2_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank010_source_balanced_cycle78_rank61_obj2_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank010_source_balanced_cycle78_rank61_obj2_9_c2_x10_010723_kymograph.png,Do masked optical kinetics and the radial/front view describe the same localized pre-event change?
5,source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723,review_front_and_kinetics_first,near_pre_event_1_8,17_c2_x10_HighHighCOV_150723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank006_source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank006_source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank006_source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723_kymograph.png,Do masked optical kinetics and the radial/front view describe the same localized pre-event change?
6,source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723,review_front_and_kinetics_first,near_pre_event_1_8,17_c2_x10_HighHighCOV_150723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank003_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank003_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank003_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723_kymograph.png,Do masked optical kinetics and the radial/front view describe the same localized pre-event change?
7,source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2,review_front_only_guardrail,mid_pre_event_9_16,6_c2_x10_270623_2,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank022_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank022_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank022_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_kymograph.png,"Is the front-like morphology real, or driven by mask/crop/illumination artifacts without kinetic support?"
8,source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,review_kinetic_only_guardrail,near_pre_event_1_8,17_c2_x10_HighHighCOV_150723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank004_source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank004_source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank004_source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723_kymograph.png,Is the kinetic signal particle-local and non-artifactual despite weak front evidence?
9,source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723,review_kinetic_only_guardrail,near_pre_event_1_8,17_c2_x10_HighHighCOV_150723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank005_source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank005_source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank005_source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723_kymograph.png,Is the kinetic signal particle-local and non-artifactual despite weak front evidence?
10,source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,review_kinetic_only_guardrail,near_pre_event_1_8,17_c2_x10_HighHighCOV_150723,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank009_source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank009_source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank009_source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,Is the kinetic signal particle-local and non-artifactual despite weak front evidence?
