cycleNo,source_stem,n_roi,future_any_drop_within_8cycles,future_any_drop_within_16cycles,mask_base_area_fraction,mask_area_fraction_median,mask_area_fraction_iqr,mask_area_fraction_slope,mask_centroid_path_px,mask_centroid_max_step_px,mask_centroid_drift_px,masked_minus_background_mean_median,masked_minus_background_mean_slope,front_radius_q60_median_px,front_radius_q60_delta_px,front_radius_q60_slope_px_per_norm_time,front_radius_q70_median_px,front_radius_q70_delta_px,front_radius_q70_slope_px_per_norm_time,front_radius_q80_median_px,front_radius_q80_delta_px,front_radius_q80_slope_px_per_norm_time,front_radius_q70_positive_step_fraction,front_gradient_peak_radius_median_px,front_gradient_peak_radius_slope_px_per_norm_time,apparent_diffusion_q70_px2_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,roi_norm_mean_delta_last_minus_first,object_area_ds_px,object_mean_residual,object_mean_abs_z
2.0,2_c2_x14_200623,2,0.0,0.0,0.2757703993055556,0.2540961371527778,0.008517795138888867,-0.00223306173038373,8.72553582655491,0.4452643933014145,0.6128029874566685,0.1604543849825859,0.011081346861547657,8.0,0.0,,8.0,0.0,,7.5,0.5,0.6394974226804129,0.0,8.0,0.9793814432989695,,,-0.0016346275806426499,91.0,7388.587646484375,20.068544387817383
4.0,2_c2_x14_200623,2,0.0,0.0,0.2801106770833333,0.2573784722222222,0.007080078125,4.516461733962765e-05,7.864491670255286,0.22679524943199084,0.5564763235226431,0.1553709851577878,-0.023179971546981218,8.5,0.0,-0.27835051546391765,5.5,0.5,-0.6188788659793818,5.5,0.5,1.0766752577319592,0.021052631578947368,3.5,-0.38659793814432997,-7.480347938144334,-0.2757555463917528,0.00191317871212955,112.5,7340.863037109375,20.02047348022461
8.0,2_c2_x14_200623,2,0.0,0.0,0.27620442708333337,0.253173828125,0.010023328993055525,-0.004953950268023335,7.400914474816759,0.1925188679323135,0.40345158478952403,0.16026622522622347,-0.00015681324593876412,8.0,0.0,0.07216494845360834,8.0,0.0,,7.5,0.0,,0.0,8.0,-0.10309278350515472,,,0.00146480649709695,76.5,8502.360595703125,22.73444366455078
10.0,2_c2_x14_200623,2,0.0,0.0,0.2582465277777778,0.236572265625,0.009277343750000014,-0.013230646052584486,6.858940605764073,0.18321664602085816,0.47867127895671213,0.15313895791769028,-0.009395441213219443,8.0,0.0,-0.36146907216494867,7.5,0.0,1.105025773195877,7.5,0.0,,0.005263157894736842,3.5,-0.1465850515463918,12.155283505154646,0.4480923711340212,0.0010970272123813,111.5,6906.7490234375,20.5120792388916
14.0,2_c2_x14_200623,2,0.0,0.0,0.28011067708333337,0.2609320746527778,0.005411783854166657,-0.0001507002053801552,8.349558148675545,0.2716802719075493,0.24376363471131143,0.14887529145926237,-0.02173200217147656,8.5,1.5,4.096649484536084,6.0,0.0,,5.0,0.0,,0.0,5.0,-0.5212628865979382,,,0.00155412778258315,111.0,7092.436767578125,19.286392211914062
26.0,4_c2_x10_240623,2,0.0,0.0,0.2691514756944444,0.2516004774305556,0.0035807291666666435,0.003517771368037658,7.69101804180258,0.19791703388984655,0.10167289299192475,0.14764832239598036,0.00417073249826496,6.5,0.0,0.0,5.5,0.0,0.0728092783505155,5.0,0.0,,0.021052631578947368,4.5,0.2528994845360826,0.8009020618556699,0.029524453608247455,-0.00010419636964793865,86.0,9709.138916015625,25.383216857910156
28.0,4_c2_x10_240623,2,0.0,0.0,0.2517361111111111,0.23787434895833334,0.003757052951388895,0.0007422797868341894,8.566052804416366,0.2157390793880133,0.10678652170749801,0.13920810725539923,0.0038364131421273237,23.5,0.0,,22.5,0.0,0.003865979381443308,21.5,0.0,,0.010526315789473684,5.5,-12.685567010309283,0.2976804123711343,0.010973690721649543,9.024515748019617e-05,82.0,10714.01416015625,27.346495628356934
30.0,4_c2_x10_240623,2,0.0,0.0,0.2518446180555556,0.235595703125,0.007459852430555539,0.010512204514336347,8.821822326179568,0.21331366176054428,0.4079173681920779,0.13941035233438015,-1.0886911264400978e-05,25.0,0.0,,24.0,0.5,-0.3614690721649486,23.0,1.0,0.9967783505154643,0.047368421052631574,5.5,1.3472938144329902,-38.83891752577322,-1.4317578556701052,-0.0006928630173206,100.0,8730.18115234375,23.25758457183838
32.0,4_c2_x10_240623,2,0.0,0.0,0.27132161458333337,0.2539605034722222,0.0045030381944444475,-0.005832667749498855,9.679566685752796,0.2636702381634486,0.27066704905083716,0.1402077777311206,0.00333626808349005,22.0,0.0,,21.5,0.5,1.4768041237113405,21.5,0.0,,0.010526315789473684,7.0,-19.758376288659804,113.71391752577323,4.191949855670109,0.00022278726100915,40.0,12795.333984375,30.605703353881836
34.0,4_c2_x10_240623,2,0.0,0.0,0.2689344618055556,0.25295681423611105,0.0037841796874999722,-0.005528785382212914,7.200270980539113,0.18261849786555961,0.3002173520960645,0.14512784872204065,0.0040746813822422475,5.5,1.0,0.802835051546392,5.5,0.0,0.11146907216494854,5.0,0.0,,0.010526315789473684,4.0,-0.2338917525773197,1.226159793814434,0.04520115463917533,-8.79950821399572e-05,83.5,10603.6884765625,27.22706985473633
