source_stem,n_roi,n_cycles,future_any_drop_within_8cycles,future_any_drop_within_16cycles,mask_area_fraction_median,mask_centroid_path_px,front_radius_q70_slope_px_per_norm_time,apparent_diffusion_q70_um2_per_norm_time,roi_norm_mean_delta_last_minus_first
10_c2_x10_030723,8,4,0.0,0.0,0.2355075412326389,9.618258446346474,-0.8398840206185569,-1.0345553814432997,-0.00040434859693046254
11_c2_x10_050723,10,5,0.0,6.0,0.22811414930555554,8.976010759718697,0.28608247422680433,0.21796315051546414,6.113126873970663e-05
12_c2_x10_070723,10,5,8.0,10.0,0.2374186197916667,8.968446723753704,-0.9293998527245952,-0.6260806126656852,-0.0003065846860408505
14_c2_x10_HighCOV_110723,8,4,0.0,0.0,0.21843126085069445,11.032108447217778,-0.09655743740795288,-0.09787079823269502,0.0002331202849745763
15_c2_x5_HighCOV_120723,4,2,0.0,0.0,0.22334798177083331,11.304783224690887,0.47315292096219946,0.4254482474226801,0.001843366771936375
16_c2_x10_HighHighCOV_130723,10,5,0.0,8.0,0.22935112847222222,16.116030949363203,0.0008859536082473606,-0.04124338144329897,-0.00161353424191473
17_c2_x10_HighHighCOV_150723,10,5,8.0,10.0,0.219921875,33.67270551948469,0.33827319587628885,0.22036849484536092,-0.00032337307929992
2_c2_x14_200623,10,5,0.0,0.0,0.25243055555555555,7.839888145213314,-0.04424398625429552,-0.03447290721649482,0.00087890252470966
4_c2_x10_240623,10,5,0.0,0.0,0.2463975694444444,8.391746167738084,0.15700171821305842,0.23568890721649516,-0.00011440441012382993
5_c2_x10_260623,10,5,0.0,2.0,0.252001953125,8.719474644087661,0.3090635738831618,0.18883298969072157,0.00028313174843788225
6_c2_x10_270623_2,10,5,4.0,10.0,0.2592230902777778,7.877575550754882,-0.7723367697594505,-0.3696376082474228,-0.00010092258453370113
7_c2_x10_290623,8,4,4.0,4.0,0.2550591362847222,7.910283369314147,-0.23663015463917525,-0.1298018969072166,0.00023305602371691487
8_c2_x10_300623,10,5,0.0,6.0,0.25,8.315246321079394,1.638692010309279,1.0248583917525778,-0.00016100481152533548
9_c2_x10_010723,10,5,8.0,10.0,0.25382486979166663,8.787674306673088,1.0207796391752582,0.501244701030928,0.0003100790083408361
