comparison,match_scheme,treated_index,control_index,treated_roi_id,control_roi_id,treated_source,control_source,same_source,treated_cycleNo,control_cycleNo,treated_event_bin,control_event_bin,match_distance
near_vs_far_pre,source_penalized_global,20,38,source_balanced_cycle108_rank11_obj1_12_c2_x10_070723,source_balanced_cycle134_rank20_obj1_15_c2_x5_HighCOV_120723,12_c2_x10_070723,15_c2_x5_HighCOV_120723,False,108.0,134.0,near_pre_event_1_8,far_pre_event_17_32,1.0933243578516607
near_vs_far_pre,source_penalized_global,21,73,source_balanced_cycle108_rank11_obj2_12_c2_x10_070723,source_balanced_cycle28_rank37_obj2_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,False,108.0,28.0,near_pre_event_1_8,far_pre_event_17_32,1.852527517842213
near_vs_far_pre,source_penalized_global,22,38,source_balanced_cycle110_rank12_obj1_12_c2_x10_070723,source_balanced_cycle134_rank20_obj1_15_c2_x5_HighCOV_120723,12_c2_x10_070723,15_c2_x5_HighCOV_120723,False,110.0,134.0,near_pre_event_1_8,far_pre_event_17_32,1.1230231215270137
near_vs_far_pre,source_penalized_global,23,39,source_balanced_cycle110_rank12_obj2_12_c2_x10_070723,source_balanced_cycle134_rank20_obj2_15_c2_x5_HighCOV_120723,12_c2_x10_070723,15_c2_x5_HighCOV_120723,False,110.0,134.0,near_pre_event_1_8,far_pre_event_17_32,1.131889196574813
near_vs_far_pre,source_penalized_global,24,39,source_balanced_cycle112_rank13_obj1_12_c2_x10_070723,source_balanced_cycle134_rank20_obj2_15_c2_x5_HighCOV_120723,12_c2_x10_070723,15_c2_x5_HighCOV_120723,False,112.0,134.0,near_pre_event_1_8,far_pre_event_17_32,1.245413744046263
near_vs_far_pre,source_penalized_global,25,82,source_balanced_cycle112_rank13_obj2_12_c2_x10_070723,source_balanced_cycle38_rank42_obj1_5_c2_x10_260623,12_c2_x10_070723,5_c2_x10_260623,False,112.0,38.0,near_pre_event_1_8,far_pre_event_17_32,1.3856317044479072
near_vs_far_pre,source_penalized_global,26,79,source_balanced_cycle114_rank14_obj1_12_c2_x10_070723,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,False,114.0,34.0,near_pre_event_1_8,far_pre_event_17_32,1.3824537224713662
near_vs_far_pre,source_penalized_global,27,79,source_balanced_cycle114_rank14_obj2_12_c2_x10_070723,source_balanced_cycle34_rank40_obj2_4_c2_x10_240623,12_c2_x10_070723,4_c2_x10_240623,False,114.0,34.0,near_pre_event_1_8,far_pre_event_17_32,1.9234491034370127
near_vs_far_pre,source_penalized_global,52,82,source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,source_balanced_cycle38_rank42_obj1_5_c2_x10_260623,17_c2_x10_HighHighCOV_150723,5_c2_x10_260623,False,150.0,38.0,near_pre_event_1_8,far_pre_event_17_32,1.3903222568276898
near_vs_far_pre,source_penalized_global,53,39,source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,source_balanced_cycle134_rank20_obj2_15_c2_x5_HighCOV_120723,17_c2_x10_HighHighCOV_150723,15_c2_x5_HighCOV_120723,False,150.0,134.0,near_pre_event_1_8,far_pre_event_17_32,1.0640312302214265
