comparison,match_scheme,treated_source,control_source,same_source,n_pairs,median_match_distance
near_vs_far_pre,source_penalized_global,9_c2_x10_010723,4_c2_x10_240623,False,4,1.0504589034982155
near_vs_far_pre,source_penalized_global,17_c2_x10_HighHighCOV_150723,15_c2_x5_HighCOV_120723,False,4,1.1226125598525885
near_vs_far_pre,source_penalized_global,12_c2_x10_070723,15_c2_x5_HighCOV_120723,False,4,1.1274561590509133
near_vs_far_pre,source_penalized_global,9_c2_x10_010723,5_c2_x10_260623,False,4,1.2162445743317063
near_vs_far_pre,source_penalized_global,17_c2_x10_HighHighCOV_150723,5_c2_x10_260623,False,4,1.6103063084981724
near_vs_far_pre,source_penalized_global,7_c2_x10_290623,5_c2_x10_260623,False,3,1.087471079219709
near_vs_far_pre,source_penalized_global,12_c2_x10_070723,4_c2_x10_240623,False,3,1.852527517842213
near_vs_far_pre,source_penalized_global,6_c2_x10_270623_2,4_c2_x10_240623,False,2,1.0716677823414016
near_vs_far_pre,source_penalized_global,6_c2_x10_270623_2,5_c2_x10_260623,False,2,1.1704215607723012
near_vs_far_pre,source_penalized_global,7_c2_x10_290623,4_c2_x10_240623,False,1,1.0914103083762143
near_vs_far_pre,source_penalized_global,12_c2_x10_070723,5_c2_x10_260623,False,1,1.3856317044479072
near_vs_post_control,same_source,9_c2_x10_010723,9_c2_x10_010723,True,8,0.5848009783330561
near_vs_post_control,same_source,7_c2_x10_290623,7_c2_x10_290623,True,4,0.6546293871767468
near_vs_post_control,source_penalized_global,9_c2_x10_010723,9_c2_x10_010723,True,8,0.5848009783330561
near_vs_post_control,source_penalized_global,17_c2_x10_HighHighCOV_150723,14_c2_x10_HighCOV_110723,False,8,1.2084213150241978
near_vs_post_control,source_penalized_global,12_c2_x10_070723,11_c2_x10_050723,False,6,1.100310475676527
near_vs_post_control,source_penalized_global,7_c2_x10_290623,7_c2_x10_290623,True,4,0.6546293871767468
near_vs_post_control,source_penalized_global,6_c2_x10_270623_2,8_c2_x10_300623,False,2,0.9628956080107798
near_vs_post_control,source_penalized_global,6_c2_x10_270623_2,7_c2_x10_290623,False,2,1.1131463433444075
near_vs_post_control,source_penalized_global,12_c2_x10_070723,10_c2_x10_030723,False,1,1.0921964871869696
near_vs_post_control,source_penalized_global,12_c2_x10_070723,14_c2_x10_HighCOV_110723,False,1,1.1133082837267376
