roi_id,cycleNo,source_stem,event_relative_bin,frame_index,particle_flow_mag,context_flow_mag,radial_flow,divergence,gradient_aligned_flow
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,88.0,10_c2_x10_030723,post_event_1_16,58,3.4514937397034373e-07,1.2165791041240936e-08,3.9728888883867586e-08,-3.1229800967480514e-09,2.645720442728816e-08
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,88.0,10_c2_x10_030723,post_event_1_16,76,9.037426593749842e-07,2.1779607450866934e-08,1.7342985627176263e-07,-4.3196899390807175e-09,6.052925982658053e-08
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,88.0,10_c2_x10_030723,post_event_1_16,94,6.851880698377499e-06,4.5314158114706515e-07,1.5072650930276625e-06,-3.8222358611506024e-09,2.5047569351954735e-07
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,post_event_1_16,58,6.633186444560124e-07,2.854290137577209e-08,-2.1920969480926588e-07,-3.495296141409199e-08,1.7416027731087524e-07
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,post_event_1_16,76,1.4889947124174796e-06,6.884744152557687e-08,-5.172150033436621e-07,-4.0432592385286625e-08,1.1156955537217073e-07
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,post_event_1_16,94,1.8889146303990856e-05,6.604242912544578e-07,1.2955450682233208e-06,-3.2591097465228813e-07,1.9740550669666845e-06
source_balanced_cycle90_rank2_obj1_10_c2_x10_030723,90.0,10_c2_x10_030723,post_event_1_16,58,5.15040028403746e-07,5.504817046642074e-09,-1.1026517367249814e-07,-1.1235694152844644e-08,9.783410348518373e-08
source_balanced_cycle90_rank2_obj1_10_c2_x10_030723,90.0,10_c2_x10_030723,post_event_1_16,76,2.6728463353720144e-07,4.296588862473527e-09,-2.4377787238583244e-07,-1.2512751723647852e-08,3.0797369987567436e-08
source_balanced_cycle90_rank2_obj1_10_c2_x10_030723,90.0,10_c2_x10_030723,post_event_1_16,94,1.0924086382146925e-06,8.452346378362563e-09,5.338592034867461e-08,-2.469498205925902e-08,1.5295431410322635e-07
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,90.0,10_c2_x10_030723,post_event_1_16,58,3.5879983784070646e-07,7.835005533252115e-09,-9.337958133695571e-08,-5.54066881264248e-09,-3.079691612839497e-09
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,90.0,10_c2_x10_030723,post_event_1_16,76,6.197301871679883e-08,2.4480790727920976e-09,-1.7238925910063937e-08,-4.1904305025930455e-10,-3.6911951273310706e-09
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,90.0,10_c2_x10_030723,post_event_1_16,94,8.345947435373091e-07,1.3374823915057732e-08,2.1241399024068227e-07,1.2874940003015922e-09,8.318719579847311e-08
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,post_event_1_16,58,4.668892756853893e-07,4.187655378018462e-08,-1.3939130927657782e-07,1.104759839165581e-09,2.6764507055077047e-08
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,post_event_1_16,76,1.0836746469067293e-06,5.228349309049918e-08,-6.345763471279164e-07,-3.554849214992828e-08,1.9683443497342523e-07
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,post_event_1_16,94,7.043510663606867e-07,3.5495009598207616e-08,-5.487369981038072e-07,-4.623145954951724e-08,3.5806135656457627e-07
source_balanced_cycle92_rank3_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,post_event_1_16,58,2.5562692940184206e-07,5.545059966749477e-09,1.1203565584265897e-07,2.9203135465394325e-09,-1.8222472419893165e-08
source_balanced_cycle92_rank3_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,post_event_1_16,76,5.487192993314238e-07,9.468151596081498e-09,1.1891225400094154e-07,4.630020811191571e-09,2.7806102309568814e-08
source_balanced_cycle92_rank3_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,post_event_1_16,94,2.816264270677493e-07,3.5474243542665818e-09,-2.6735918721799995e-08,-5.112246181937508e-10,5.16013187734643e-08
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,post_event_1_16,58,3.3767949503271666e-07,7.866243656451388e-09,-5.640869848995015e-08,-3.1537055189545526e-09,2.4279918520164756e-08
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,post_event_1_16,76,8.7623010358584e-07,1.5375480444390632e-08,-3.694717681437041e-07,-1.2710130725679392e-09,-6.590764911607039e-08
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,post_event_1_16,94,7.831637844901707e-07,1.0008431416963504e-08,-4.5895452951674265e-07,-7.1024786052475974e-09,-2.5791161206711877e-08
source_balanced_cycle94_rank4_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,post_event_1_16,58,5.762286718891119e-07,5.27256238669338e-09,-3.4234498386961395e-07,-4.996356661735035e-09,3.925164193674391e-08
source_balanced_cycle94_rank4_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,post_event_1_16,76,1.525083234810154e-06,9.981946824666466e-09,-4.0411124173530336e-07,2.885647276684722e-09,5.417348702962954e-08
source_balanced_cycle94_rank4_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,post_event_1_16,94,8.389445724787947e-07,5.603773445272964e-09,-1.1542900630982278e-07,9.97230653609904e-09,6.684960141001284e-08
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,post_event_1_16,58,1.0670191841199994e-06,4.547367815632697e-09,-1.586720452952595e-07,-6.752255643505123e-09,1.1975475899816956e-07
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,post_event_1_16,76,8.987049113784451e-07,4.833913269663981e-09,-2.4483192318661302e-08,1.7924289830162365e-09,-4.459199587358853e-08
