source_stem,n_roi,n_cycles,median_particle_flow_mag,median_transport_instability
10_c2_x10_030723,8,4,6.707343408613049e-07,1.5566250846878388e-06
11_c2_x10_050723,10,5,7.891265665660752e-07,1.5953891442970701e-06
12_c2_x10_070723,10,5,7.056823305886709e-07,1.4858539545540083e-06
14_c2_x10_HighCOV_110723,8,4,8.551193385098511e-07,1.881768419776359e-06
15_c2_x5_HighCOV_120723,4,2,8.192143331745832e-07,1.796245767967399e-06
16_c2_x10_HighHighCOV_130723,10,5,8.707781487342996e-07,1.9597318135453073e-06
17_c2_x10_HighHighCOV_150723,10,5,1.6316734401569291e-06,4.419598848625832e-06
2_c2_x14_200623,10,5,6.120653193644668e-07,1.4364830037661222e-06
4_c2_x10_240623,10,5,5.242460998884609e-07,1.1865922833929787e-06
5_c2_x10_260623,10,5,7.777915325615705e-07,1.7507679340057435e-06
6_c2_x10_270623_2,10,5,4.893200874399504e-07,1.195857963284945e-06
7_c2_x10_290623,8,4,7.065370157521544e-07,1.5269621612634997e-06
8_c2_x10_300623,10,5,7.063940703008828e-07,1.430262475467846e-06
9_c2_x10_010723,10,5,9.829724795330598e-07,2.3495224237457954e-06
