feature,target,n,spearman_rho,spearman_p
q55_phase_fraction_total_variation,shape_V_mean,122,0.5228055765254599,6.523626819195845e-10
q65_phase_fraction_total_variation,shape_V_mean,122,0.4843245268588283,1.5837684906424748e-08
q55_max_abs_rate,shape_V_mean,122,0.4828950323573982,1.7697922642440714e-08
q65_max_abs_rate,shape_V_mean,122,0.47490787874636703,3.261244362907507e-08
q75_max_abs_rate,shape_V_mean,122,0.45238996395165026,1.683916029952861e-07
particle_centroid_max_step_px,shape_V_mean,122,0.448130396323879,2.2673061433565522e-07
q75_phase_fraction_total_variation,shape_V_mean,122,0.4372377872804903,4.7641724362728463e-07
q65_max_abs_rate,echem_regime_pc1,128,-0.4222321751133113,6.894382449953488e-07
q75_phase_fraction_slope,capacity_fraction_of_first,122,-0.4222736690315631,1.2678451143050057e-06
q75_max_abs_rate,echem_regime_pc1,128,-0.4064726600950018,1.9282693501380615e-06
q65_phase_fraction_slope,capacity_fraction_of_first,122,-0.4113810599881744,2.5112967529326524e-06
q55_phase_fraction_slope,capacity_fraction_of_first,122,-0.40781187984046213,3.125492591854599e-06
q55_max_abs_rate,echem_regime_pc1,128,-0.39716827666515303,3.4545313098258784e-06
q55_phase_fraction_total_variation,capacity_fraction_of_first,122,0.38358111239321524,1.2935201813836468e-05
masked_minus_bg_slope,cycles_to_next_event,128,-0.3719235556578292,1.5415356978550033e-05
particle_centroid_path_px,visual_sanity_score,24,-0.7530434782608695,2.1706524916784435e-05
particle_centroid_max_step_px,echem_regime_pc1,128,-0.359971615830117,3.000198497634431e-05
masked_minus_bg_slope,capacity_fraction_of_first,122,-0.3639374023950653,3.7778360559510894e-05
q75_phase_fraction_total_variation,echem_regime_pc1,128,-0.3551300262117978,3.9000096508903245e-05
q65_phase_fraction_total_variation,capacity_fraction_of_first,122,0.36272123730769656,4.027928674306492e-05
q75_phase_fraction_total_variation,capacity_fraction_of_first,122,0.358940550188268,4.9080586854082444e-05
masked_mean_total_variation,visual_review_score,24,0.7139130434782608,8.942588394502414e-05
masked_mean_total_variation,capacity_fraction_of_first,122,0.34369882903896326,0.00010620554724623099
masked_minus_bg_slope,visual_review_score,24,0.7043478260869565,0.00012214433051770487
q65_phase_fraction_total_variation,echem_regime_pc1,128,-0.32842688536182435,0.0001538215397325088
particle_centroid_max_step_px,visual_sanity_score,24,-0.6956521739130433,0.00016052349355551548
q75_phase_fraction_slope_r2,shape_V_mean,122,0.33305738452448763,0.00017791423230914625
