source_stem,n_roi,n_cycles,near_pre,median_q65_delta,median_masked_bg_slope,median_visual_sanity
12_c2_x10_070723,10,5,8,-0.010126582278480983,0.003990717512223815,0.590322939806
17_c2_x10_HighHighCOV_150723,10,5,8,0.008173598553345346,0.012656886066254435,0.541347460387692
9_c2_x10_010723,10,5,8,-0.0006148282097649116,0.004330329327228881,0.6976462087112713
6_c2_x10_270623_2,10,5,4,-0.004159132007233279,0.0027438144350132995,0.631703387221993
11_c2_x10_050723,10,5,0,-0.010379746835443016,0.0020195750211074765,
16_c2_x10_HighHighCOV_130723,10,5,0,-0.008209764918625712,-0.005404665005975566,
2_c2_x14_200623,10,5,0,0.0043761301989150014,-0.01233174904781445,0.5864394254675425
4_c2_x10_240623,10,5,0,-0.0032188065099457153,0.0017775456760920911,
5_c2_x10_260623,10,5,0,-0.008462929475587688,0.002440383641651651,
8_c2_x10_300623,10,5,0,-0.004231464737793844,0.0009519031349128151,
7_c2_x10_290623,8,4,4,-0.002206148282097614,0.003784672609774635,0.595953623511229
10_c2_x10_030723,8,4,0,-0.006870550301451728,-0.00028972707276695266,
14_c2_x10_HighCOV_110723,8,4,0,-0.008643761301989183,0.004003183394661127,0.5250218891013549
15_c2_x5_HighCOV_120723,4,2,0,0.00028933092224234236,-0.010598420387344269,0.5720210634461006
