target,feature,transform,n,n_positive,direction,oriented_auc,average_precision,spearman_rho,spearman_p,mwu_p,median_positive,median_negative,median_positive_minus_negative,source_eta2_after_transform,raw_source_eta2
clean_pre_1_16_vs_post_control,mask_area_fraction_iqr,raw,106,54,higher_in_positive,0.683048433048433,0.6611004270978614,0.3170172356667871,0.000929534124392883,0.0011732693762708396,0.0086805555555555,0.0053304036458333,0.0033501519097222003,0.3839107963796472,0.3839107963796472
clean_pre_1_16_vs_post_control,front_radius_q80_median_px,source_residual,106,54,higher_in_positive,0.6447649572649572,0.5699404401048049,0.25094901686986604,0.009467233902238043,0.010219887620032099,-0.20000000000000018,-1.3499999999999996,1.1499999999999995,4.3206642759263126e-33,0.18760524310145266
clean_pre_1_16_vs_post_control,front_radius_q70_delta_px,within_source_rank,106,54,higher_in_positive,0.593482905982906,0.6106469304687059,0.16378366654402812,0.09342306856822188,0.0939172735649269,0.09999999999999998,0.0,0.09999999999999998,0.004390072582533365,0.11678601772059717
clean_pre_1_32_vs_post_control,mask_area_fraction_iqr,raw,128,76,higher_in_positive,0.6537196356275303,0.700132450814629,0.26154437898322114,0.0028628024948061733,0.003229237969373131,0.00809733072916665,0.0053304036458333,0.0027669270833333504,0.3839107963796472,0.3839107963796472
clean_pre_1_32_vs_post_control,front_radius_q80_median_px,source_residual,128,76,higher_in_positive,0.6200657894736841,0.6602161907948003,0.2044852484796866,0.020595808545488703,0.021334977981842588,-0.20000000000000018,-1.3499999999999996,1.1499999999999995,4.3206642759263126e-33,0.18760524310145266
clean_pre_1_32_vs_post_control,temporal_energy_late_minus_early,within_source_rank,128,76,higher_in_positive,0.5661690283400809,0.6386427990131849,0.11294566969148949,0.20431087186479924,0.20394241825504877,0.09999999999999998,0.0,0.09999999999999998,0.002220577350111029,0.28233130688118036
clean_pre_1_8_vs_post_control,masked_minus_background_mean_slope,raw,84,32,higher_in_positive,0.796875,0.7485611143193457,0.4994504421392406,1.3224420864296609e-06,5.477778402004225e-06,0.00722449220184075,0.0015871043427433998,0.0056373878590973495,0.5781004525786195,0.5781004525786195
clean_pre_1_8_vs_post_control,front_radius_q60_slope_px_per_norm_time,source_residual,41,21,higher_in_positive,0.6595238095238095,0.6654141862012081,0.2763033431121781,0.08034047121950535,0.0828374251588063,0.41939432989690717,-0.1193084192439861,0.5387027491408932,3.0448525348348638e-33,0.2812613722951844
clean_pre_1_8_vs_post_control,front_radius_q70_slope_px_per_norm_time,within_source_rank,43,19,higher_in_positive,0.5921052631578948,0.47884734564371806,0.15970824875458778,0.3063069708577665,0.30644687902289425,0.2142857142857143,0.0357142857142857,0.1785714285714286,0.02356582140451868,0.3379626708409469
near_pre_vs_far_pre,masked_minus_background_mean_slope,raw,54,32,higher_in_positive,0.734375,0.8154888837005645,0.39899638244919855,0.002802583954589965,0.0037803036159129795,0.00722449220184075,0.00363188186905235,0.0035926103327883997,0.5781004525786195,0.5781004525786195
near_pre_vs_far_pre,apparent_diffusion_q70_px2_per_norm_time,source_residual,34,19,higher_in_positive,0.6807017543859649,0.6481870150459463,0.31094561015818534,0.07346046889697189,0.07690984017457218,1.9956507731958766,-6.095790378006872,8.091441151202748,1.662251873572738e-33,0.20786015276907482
near_pre_vs_far_pre,front_radius_q70_slope_px_per_norm_time,within_source_rank,34,19,higher_in_positive,0.6105263157894737,0.6165924143767947,0.19146683564419995,0.2780327649157268,0.2790594567317215,0.2142857142857143,0.16666666666666663,0.04761904761904767,0.02356582140451868,0.3379626708409469
post_event_vs_control,masked_minus_background_mean_median,raw,52,40,lower_in_positive,0.7979166666666666,0.9319796523040544,0.4348936024259297,0.001273834556598638,0.0019687778353101536,0.1445897379890084,0.1549264369532466,-0.010336698964238195,0.43670484472087534,0.43670484472087534
post_event_vs_control,front_radius_q60_delta_px,source_residual,52,40,higher_in_positive,0.7104166666666667,0.8884521595053733,0.3099200536344939,0.025357944110248658,0.02764305899444292,0.1,-0.3,0.4,1.6097856765574955e-33,0.19692374664441703
post_event_vs_control,front_radius_q60_delta_px,within_source_rank,52,40,higher_in_positive,0.7114583333333334,0.8883026248961123,0.3121196531741545,0.024283462347526118,0.026554834705802808,0.09999999999999998,0.0,0.09999999999999998,0.004737540269092287,0.19692374664441703
