pre_event_review_rank,roi_id,event_relative_bin,cycleNo,source_stem,pre_event_review_score,review_reason,frame_strip_png
1,source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,152.0,17_c2_x10_HighHighCOV_150723,4.788927425539625,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/01_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723.png
2,source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,151.0,17_c2_x10_HighHighCOV_150723,4.70715668452391,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/02_source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723.png
3,source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,150.0,17_c2_x10_HighHighCOV_150723,4.6365682358316,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/03_source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723.png
4,source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,150.0,17_c2_x10_HighHighCOV_150723,4.455705473739069,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/04_source_balanced_cycle150_rank27_obj1_17_c2_x10_HighHighCOV_150723.png
5,source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,152.0,17_c2_x10_HighHighCOV_150723,4.384080994350195,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/05_source_balanced_cycle152_rank29_obj2_17_c2_x10_HighHighCOV_150723.png
6,source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,151.0,17_c2_x10_HighHighCOV_150723,4.094232054188878,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/06_source_balanced_cycle151_rank28_obj2_17_c2_x10_HighHighCOV_150723.png
7,source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,near_pre_event_1_8,78.0,9_c2_x10_010723,3.882787615599379,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/07_source_balanced_cycle78_rank61_obj2_9_c2_x10_010723.png
8,source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,154.0,17_c2_x10_HighHighCOV_150723,3.879551446143447,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/08_source_balanced_cycle154_rank30_obj2_17_c2_x10_HighHighCOV_150723.png
9,source_balanced_cycle80_rank62_obj1_9_c2_x10_010723,near_pre_event_1_8,80.0,9_c2_x10_010723,3.8202226479436385,near_pre_front_diffusion_review,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/09_source_balanced_cycle80_rank62_obj1_9_c2_x10_010723.png
10,source_balanced_cycle84_rank64_obj1_9_c2_x10_010723,near_pre_event_1_8,84.0,9_c2_x10_010723,3.7142144636364454,near_pre_front_diffusion_review,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/10_source_balanced_cycle84_rank64_obj1_9_c2_x10_010723.png
11,source_balanced_cycle80_rank62_obj2_9_c2_x10_010723,near_pre_event_1_8,80.0,9_c2_x10_010723,3.714178190844442,near_pre_high_source_invariant_front_score,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/11_source_balanced_cycle80_rank62_obj2_9_c2_x10_010723.png
12,source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,154.0,17_c2_x10_HighHighCOV_150723,3.696467972188975,near_pre_front_diffusion_review,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/12_source_balanced_cycle154_rank30_obj1_17_c2_x10_HighHighCOV_150723.png
13,source_balanced_cycle82_rank63_obj2_9_c2_x10_010723,near_pre_event_1_8,82.0,9_c2_x10_010723,3.691417233872273,near_pre_front_diffusion_review,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/13_source_balanced_cycle82_rank63_obj2_9_c2_x10_010723.png
14,source_balanced_cycle38_rank42_obj2_5_c2_x10_260623,far_pre_event_17_32,38.0,5_c2_x10_260623,3.6518834007518475,context_or_guardrail_row,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_review_packet/candidate_frame_strips/14_source_balanced_cycle38_rank42_obj2_5_c2_x10_260623.png
