candidate_id,x_ds,y_ds,x_full_approx,y_full_approx,area_ds_px,area_full_approx_px,bbox_x0_ds,bbox_y0_ds,bbox_x1_ds,bbox_y1_ds,mean_residual,mean_abs_z,mean_temporal_std,polarity,rank_score,candidate_rank,cycleNo,pre_event_sampling_rank,event_relative_bin,selection_reason,sampling_priority,cycles_to_next_event,cycles_since_prev_event,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,future_event_within_32cycles,past_event_within_16cycles,any_abrupt_drop,source_stem,local_cycle_index,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,sampled_first_frame,sampled_last_frame,n_sampled_frames,downsample,n_candidates,overlay_png
38,143.6341463414634,57.78048780487805,574.5365853658536,231.1219512195122,41,656,140,54,148,62,11764.1923828125,29.37434196472168,2119.58740234375,bright,14168181.809651842,1,88,1,post_event_1_16,source_fill,0.13585909866847906,28.0,2.0,True,0,0,1,1,0,10_c2_x10_030723,3,10,9068,2720,3627,2720,3626,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
103,297.7352941176471,163.0,1190.9411764705883,652.0,34,544,295,160,301,167,12524.58203125,30.940078735351562,2036.6929931640625,bright,13175392.84192431,2,88,1,post_event_1_16,source_fill,0.13585909866847906,28.0,2.0,True,0,0,1,1,0,10_c2_x10_030723,3,10,9068,2720,3627,2720,3626,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
11,207.01538461538462,16.646153846153847,828.0615384615385,66.58461538461539,65,1040,200,13,213,21,8227.67578125,21.69163703918457,1574.0537109375,bright,11600664.186992683,3,88,1,post_event_1_16,source_fill,0.13585909866847906,28.0,2.0,True,0,0,1,1,0,10_c2_x10_030723,3,10,9068,2720,3627,2720,3626,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
21,333.79487179487177,42.68205128205128,1335.179487179487,170.72820512820513,195,3120,325,31,342,52,4017.266357421875,14.523200988769531,996.9164428710938,bright,11376995.51318069,4,88,1,post_event_1_16,source_fill,0.13585909866847906,28.0,2.0,True,0,0,1,1,0,10_c2_x10_030723,3,10,9068,2720,3627,2720,3626,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
18,407.18918918918916,27.91891891891892,1628.7567567567567,111.67567567567568,37,592,404,25,412,32,10794.6162109375,26.733081817626953,1972.7841796875,bright,10677214.259204354,5,88,1,post_event_1_16,source_fill,0.13585909866847906,28.0,2.0,True,0,0,1,1,0,10_c2_x10_030723,3,10,9068,2720,3627,2720,3626,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
159,295.7391304347826,270.7173913043478,1182.9565217391305,1082.8695652173913,92,1472,289,263,301,278,6522.85888671875,16.307842254638672,1365.4063720703125,bright,9786385.34719672,6,88,1,post_event_1_16,source_fill,0.13585909866847906,28.0,2.0,True,0,0,1,1,0,10_c2_x10_030723,3,10,9068,2720,3627,2720,3626,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
27,248.77272727272728,42.38636363636363,995.0909090909091,169.54545454545453,44,704,245,39,253,47,9105.89453125,22.716028213500977,2273.906005859375,bright,9101389.311565727,7,88,1,post_event_1_16,source_fill,0.13585909866847906,28.0,2.0,True,0,0,1,1,0,10_c2_x10_030723,3,10,9068,2720,3627,2720,3626,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
28,415.16541353383457,47.421052631578945,1660.6616541353383,189.68421052631578,133,2128,407,39,423,55,4466.87158203125,14.234048843383789,1024.3248291015625,bright,8456361.880675524,8,88,1,post_event_1_16,source_fill,0.13585909866847906,28.0,2.0,True,0,0,1,1,0,10_c2_x10_030723,3,10,9068,2720,3627,2720,3626,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
63,202.45555555555555,95.78888888888889,809.8222222222222,383.15555555555557,90,1440,197,90,209,103,5628.39892578125,14.110212326049805,1477.02001953125,bright,7147611.350863567,9,88,1,post_event_1_16,source_fill,0.13585909866847906,28.0,2.0,True,0,0,1,1,0,10_c2_x10_030723,3,10,9068,2720,3627,2720,3626,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
96,473.6774193548387,138.80645161290323,1894.7096774193549,555.2258064516129,31,496,470,136,478,142,9476.373046875,23.52889060974121,1870.5250244140625,bright,6912024.888707679,10,88,1,post_event_1_16,source_fill,0.13585909866847906,28.0,2.0,True,0,0,1,1,0,10_c2_x10_030723,3,10,9068,2720,3627,2720,3626,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
