cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,pre_event_sampling_rank,object_candidate_rank,validation_score,validation_label,cohort_role,event_relative_bin,selection_reason,cycles_to_next_event,cycles_since_prev_event,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,future_event_within_32cycles,past_event_within_16cycles,any_abrupt_drop,object_x_full_approx,object_y_full_approx,object_x_ds,object_y_ds,object_area_ds_px,object_mean_residual,object_mean_abs_z,segment_start_frame,segment_end_frame,downsample,source_reconstructed_overlay_png
88,10_c2_x10_030723,3,1,1,2,24.564053048641682,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,28.0,2.0,True,0,0,1,1,0,1190.9411764705883,652.0,297.7352941176471,163.0,34,12524.58203125,30.940078735351562,2720,3627,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
88,10_c2_x10_030723,3,1,1,1,24.329266672272,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,28.0,2.0,True,0,0,1,1,0,574.5365853658536,231.1219512195122,143.6341463414634,57.78048780487805,41,11764.1923828125,29.37434196472168,2720,3627,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
90,10_c2_x10_030723,5,2,2,2,23.842986199481782,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,26.0,4.0,True,0,0,1,1,0,574.2222222222222,232.0,143.55555555555554,58.0,45,10566.20703125,27.51865005493164,4534,5440,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_90_pre2_10_c2_x10_030723_local5.png
90,10_c2_x10_030723,5,2,2,1,23.307087736570715,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,26.0,4.0,True,0,0,1,1,0,831.709090909091,65.81818181818181,207.92727272727274,16.454545454545453,55,9689.1435546875,24.847431182861328,4534,5440,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_90_pre2_10_c2_x10_030723_local5.png
92,10_c2_x10_030723,7,3,3,1,25.488656580292165,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,24.0,6.0,True,0,0,1,1,0,1191.7333333333333,652.4,297.93333333333334,163.1,30,13611.0244140625,34.50833511352539,6347,7254,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_92_pre3_10_c2_x10_030723_local7.png
92,10_c2_x10_030723,7,3,3,2,24.29946436055132,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,24.0,6.0,True,0,0,1,1,0,574.1904761904761,232.85714285714286,143.54761904761904,58.214285714285715,42,11196.3671875,29.26946449279785,6347,7254,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_92_pre3_10_c2_x10_030723_local7.png
94,10_c2_x10_030723,9,4,4,1,25.14983171634987,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,post_event_1_16,22.0,8.0,True,0,0,1,1,0,576.972972972973,232.97297297297297,144.24324324324326,58.24324324324324,37,12897.384765625,32.438777923583984,8161,9068,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_94_pre4_10_c2_x10_030723_local9.png
94,10_c2_x10_030723,9,4,4,2,23.93425610271029,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,post_event_1_16,22.0,8.0,True,0,0,1,1,0,833.6666666666666,68.83333333333333,208.41666666666666,17.208333333333332,48,10861.255859375,27.37371826171875,8161,9068,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_94_pre4_10_c2_x10_030723_local9.png
96,11_c2_x10_050723,1,5,5,2,24.90960755549438,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,20.0,10.0,False,0,0,1,1,0,834.3809523809524,95.61904761904762,208.5952380952381,23.904761904761905,42,13544.525390625,29.587839126586914,902,1804,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_96_pre5_11_c2_x10_050723_local1.png
96,11_c2_x10_050723,1,5,5,1,23.445151520434056,source_balanced_pre_event_candidate,source_balanced_pre_event_sampling,post_event_1_16,source_fill,20.0,10.0,False,0,0,1,1,0,1339.6521739130435,203.96521739130435,334.9130434782609,50.99130434782609,115,8149.71435546875,19.829694747924805,902,1804,4,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_96_pre5_11_c2_x10_050723_local1.png
