cycleNo,pre_event_sampling_rank,event_relative_bin,selection_reason,sampling_priority,cycles_to_next_event,cycles_since_prev_event,already_in_existing_video_cohort,future_any_drop_within_8cycles,future_any_drop_within_16cycles,future_event_within_32cycles,past_event_within_16cycles,any_abrupt_drop,source_stem,local_cycle_index,n_segments_inferred,h5_total_frames,segment_start_frame,segment_end_frame,sampled_first_frame,sampled_last_frame,n_sampled_frames,downsample,n_candidates,overlay_png
88,1,post_event_1_16,source_fill,0.13585909866847906,28.0,2.0,True,0,0,1,1,0,10_c2_x10_030723,3,10,9068,2720,3627,2720,3626,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_88_pre1_10_c2_x10_030723_local3.png
90,2,post_event_1_16,source_fill,0.18190494647870747,26.0,4.0,True,0,0,1,1,0,10_c2_x10_030723,5,10,9068,4534,5440,4534,5439,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_90_pre2_10_c2_x10_030723_local5.png
92,3,post_event_1_16,source_fill,0.20269547449141773,24.0,6.0,True,0,0,1,1,0,10_c2_x10_030723,7,10,9068,6347,7254,6347,7253,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_92_pre3_10_c2_x10_030723_local7.png
94,4,post_event_1_16,post_event_1_16,0.2054243156069886,22.0,8.0,True,0,0,1,1,0,10_c2_x10_030723,9,10,9068,8161,9068,8161,9067,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_94_pre4_10_c2_x10_030723_local9.png
96,5,post_event_1_16,source_fill,0.5993847255244096,20.0,10.0,False,0,0,1,1,0,11_c2_x10_050723,1,10,9020,902,1804,902,1803,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_96_pre5_11_c2_x10_050723_local1.png
98,6,post_event_1_16,source_fill,0.2193130273059711,18.0,12.0,True,0,0,1,1,0,11_c2_x10_050723,3,10,9020,2706,3608,2706,3607,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_98_pre6_11_c2_x10_050723_local3.png
100,7,post_event_1_16,post_event_1_16,1.1370652075218899,16.0,14.0,True,0,1,1,1,0,11_c2_x10_050723,5,10,9020,4510,5412,4510,5411,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_100_pre7_11_c2_x10_050723_local5.png
102,8,post_event_1_16,source_fill,1.1249174109485875,14.0,16.0,True,0,1,1,1,0,11_c2_x10_050723,7,10,9020,6314,7216,6314,7215,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_102_pre8_11_c2_x10_050723_local7.png
104,9,mid_pre_event_9_16,mid_pre_event_9_16,1.5692319552089682,12.0,18.0,True,0,1,1,0,0,11_c2_x10_050723,9,10,9020,8118,9020,8118,9019,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_104_pre9_11_c2_x10_050723_local9.png
106,10,mid_pre_event_9_16,mid_pre_event_9_16,1.9632411707604325,10.0,20.0,False,0,1,1,0,0,12_c2_x10_070723,1,10,9042,904,1808,904,1807,12,4,60,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_sampling_manifest/overlays/cycle_106_pre10_12_c2_x10_070723_local1.png
