source_stem,selected_cycles,new_cycles,near_pre,mid_pre,far_pre,post_event,controls,mean_sampling_priority,sampled_cycles,total_candidates
10_c2_x10_030723,4,0,0,0,0,4,0,0.18147095881139821,4,240
11_c2_x10_050723,5,1,0,1,0,4,0,0.9299824653019652,5,300
12_c2_x10_070723,5,1,4,1,0,0,0,1.659634546526394,5,300
14_c2_x10_HighCOV_110723,4,3,0,0,0,4,0,0.5070568694897253,4,240
15_c2_x5_HighCOV_120723,2,0,0,0,2,0,0,0.4801930926696778,2,120
16_c2_x10_HighHighCOV_130723,5,2,0,4,1,0,0,1.457778652614993,5,300
17_c2_x10_HighHighCOV_150723,5,0,4,1,0,0,0,1.958119115905482,5,300
2_c2_x14_200623,5,3,0,0,0,0,5,0.3271455842550462,5,300
4_c2_x10_240623,5,1,0,0,4,0,1,0.5723592198280493,5,300
5_c2_x10_260623,5,0,0,1,4,0,0,0.8262783829618684,5,300
6_c2_x10_270623_2,5,1,2,3,0,0,0,1.6188014081131707,5,300
7_c2_x10_290623,4,0,2,0,0,2,0,0.8332875191626727,4,240
8_c2_x10_300623,5,1,0,0,0,5,0,0.7717147959764199,5,300
9_c2_x10_010723,5,0,4,0,0,1,0,1.4940697569964247,5,300
