roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,event_relative_bin,cohort_role,cycles_to_next_event,cycles_since_prev_event,future_event_within_32cycles,past_event_within_16cycles,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,roi_norm_mean_delta,roi_norm_mean_slope,roi_norm_mean_abs_step_mean,roi_norm_mean_abs_step_p95,frame_diff_mse_mean,frame_diff_mse_p95,frame_diff_mse_slope,frame_diff_abs_mean,temporal_gradient_signed_mean,spatial_std_mean,spatial_std_slope,bright_fraction_060_delta,bright_fraction_075_delta,dark_fraction_025_delta,target_near_pre_vs_rest,target_pre16_clean_vs_post_control,target_any_pre_vs_post_control
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.329266672272,source_balanced_pre_event_candidate,574.5365853658536,231.1219512195122,41.0,11764.1923828125,29.37434196472168,479,135,671,327,192,96,96,2720,3626,8546.6884765625,8550.58984375,3.9013671875,0.08868059515953064,0.08898951858282089,0.0003089234232902,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj1_10_c2_x10_030723.npz,,0.0003089234232902527,0.004254394993378008,0.00044635353904021413,0.0008500874042510987,0.00015148795500863343,0.00015771366452099755,4.507361338351314e-05,0.009146025404334068,3.2517682484467514e-06,0.12386619299650192,-0.0034819198628292048,-0.00010850694444444406,-0.00010850694444444406,-0.0004340277777777901,0,0.0,0.0
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.56405304864168,source_balanced_pre_event_candidate,1190.9411764705883,652.0,34.0,12524.58203125,30.94007873535156,1095,556,1287,748,192,96,96,2720,3626,8040.17626953125,8034.916015625,-5.26025390625,0.06922319531440735,0.06890388578176498,-0.0003193095326423,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj2_10_c2_x10_030723.npz,,-0.0003193095326423645,0.003921288900922286,0.0004380109278779281,0.0007711373269557952,0.00010494812158867717,0.00011183076712768525,3.755441007103254e-05,0.007459794171154499,-3.361118615430314e-06,0.12438484281301498,0.003192182668705614,0.00043402777777777797,0.0003255208333333339,-0.0008680555555555802,0,0.0,0.0
source_balanced_cycle90_rank2_obj1_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.307087736570715,source_balanced_pre_event_candidate,831.709090909091,65.81818181818181,55.0,9689.1435546875,24.847431182861328,736,0,928,192,192,96,96,4534,5439,8959.5205078125,8950.794921875,-8.7255859375,0.09190186113119125,0.09149393439292908,-0.0004079267382621,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj1_10_c2_x10_030723.npz,,-0.0004079267382621765,0.002239548903649929,0.000390732837350745,0.0008248858153820037,9.071573003893718e-05,9.882812446448952e-05,-2.0647329189447027e-06,0.0074102673679590225,-4.2938154365401715e-06,0.1194789782166481,0.002020381088608621,-0.0001085069444444458,-0.000542534722222222,0.0007595486111110494,0,0.0,0.0
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.842986199481786,source_balanced_pre_event_candidate,574.2222222222222,232.0,45.0,10566.20703125,27.51865005493164,478,136,670,328,192,96,96,4534,5439,8528.22265625,8518.755859375,-9.466796875,0.087337926030159,0.08665470033884048,-0.0006832256913185,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj2_10_c2_x10_030723.npz,,-0.000683225691318512,0.003017947514608646,0.0004634021928435878,0.0008538752794265747,0.00013405013305600733,0.00014120345731498672,-1.6137947233419198e-06,0.009062208235263824,-7.191793883976061e-06,0.12220577150583267,0.000987883561204416,-0.0013020833333333322,0.0,0.0020616319444444198,0,0.0,0.0
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,25.488656580292165,source_balanced_pre_event_candidate,1191.7333333333331,652.4,30.0,13611.0244140625,34.50833511352539,1096,556,1288,748,192,96,96,6347,7253,7984.6640625,7979.201171875,-5.462890625,0.06585477292537689,0.0655813217163086,-0.0002734512090682,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj1_10_c2_x10_030723.npz,,-0.00027345120906829834,0.002578648863379488,0.0004457527085354454,0.0008146211504936218,8.752191934036091e-05,9.501791500952094e-05,1.549731649375648e-06,0.007287307642400265,-2.878388613680727e-06,0.12353991717100143,0.0030053733780826706,0.0,-0.0001085069444444458,0.00021701388888883955,0,0.0,0.0
source_balanced_cycle92_rank3_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,24.29946436055132,source_balanced_pre_event_candidate,574.1904761904761,232.8571428571429,42.0,11196.3671875,29.26946449279785,478,137,670,329,192,96,96,6347,7253,8501.822265625,8492.5556640625,-9.2666015625,0.08850360661745071,0.08780252933502197,-0.0007010772824287,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj2_10_c2_x10_030723.npz,,-0.0007010772824287415,0.0023524341672735835,0.0004901762855680365,0.0008916109800338745,0.00014259952877182513,0.00015358844393631443,7.386017195562142e-07,0.009349887259304523,-7.379742328339489e-06,0.12305349111557007,0.0016208208626923805,-0.00010850694444444406,-0.0003255208333333339,-0.0003255208333332593,0,0.0,0.0
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,1,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,25.14983171634987,source_balanced_pre_event_candidate,576.972972972973,232.97297297297297,37.0,12897.384765625,32.438777923583984,481,137,673,329,192,96,96,8161,9067,8492.6435546875,8486.44921875,-6.1943359375,0.0870167538523674,0.08660577982664108,-0.0004109740257263,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj1_10_c2_x10_030723.npz,,-0.00041097402572631836,0.0005846311117417237,0.0004675242461656269,0.0009162992238998412,0.00013175743515603244,0.0001385113937431015,5.269456194486901e-06,0.00898414384573698,-4.32599972555181e-06,0.12222870439291,0.0015764015381098753,0.0,0.0006510416666666661,0.00010850694444441977,0,0.0,0.0
source_balanced_cycle94_rank4_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,2,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,23.93425610271029,source_balanced_pre_event_candidate,833.6666666666666,68.83333333333333,48.0,10861.255859375,27.37371826171875,738,0,930,192,192,96,96,8161,9067,8934.533203125,8923.23828125,-11.294921875,0.09251372516155243,0.09176597744226456,-0.0007477477192878,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj2_10_c2_x10_030723.npz,,-0.0007477477192878723,-0.0002500517629854788,0.0003553496379601328,0.0007727488875389098,9.137382585322484e-05,9.734796985867433e-05,3.5558549873377976e-06,0.007433815393596888,-7.871016350691207e-06,0.11936543136835098,0.002206958575923152,0.0006510416666666661,-0.000542534722222222,0.0008680555555554692,0,0.0,0.0
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,23.445151520434056,source_balanced_pre_event_candidate,1339.6521739130435,203.96521739130435,115.0,8149.71435546875,19.829694747924805,1244,108,1436,300,192,96,96,902,1803,8879.798828125,8878.8388671875,-0.9599609375,0.07259181886911392,0.07254216074943542,-4.9658119678497314e-05,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj1_11_c2_x10_050723.npz,,-4.9658119678497314e-05,0.002685664178438689,0.0002821253318535654,0.0005530893802642822,4.865315349888988e-05,5.210943636484443e-05,8.736157063762442e-06,0.005081067327409983,-5.227949486652506e-07,0.1309300810098648,0.007131709112334481,0.00010850694444444406,-0.00043402777777777624,0.0,0,0.0,0.0
source_balanced_cycle96_rank5_obj2_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,24.90960755549438,source_balanced_pre_event_candidate,834.3809523809524,95.61904761904762,42.0,13544.525390625,29.58783912658692,738,0,930,192,192,96,96,902,1803,8969.9482421875,8967.5615234375,-2.38671875,0.08229045569896698,0.08215644210577011,-0.0001340135931968,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj2_11_c2_x10_050723.npz,,-0.0001340135931968689,0.0022989499104237926,0.00030007903513155486,0.0005926296114921567,7.74958825786598e-05,8.862044342095032e-05,1.446240593826302e-05,0.006446387153118849,-1.4106432217886322e-06,0.1171494722366333,0.0033856437964001258,-0.00043402777777777797,0.0,0.0004340277777777901,0,0.0,0.0
