source_stem,event_relative_bin,n_roi,n_cycles,mean_roi_norm_delta,mean_frame_diff_mse
10_c2_x10_030723,post_event_1_16,8,4,-0.00040434859693050385,0.0001168068311017123
11_c2_x10_050723,mid_pre_event_9_16,2,1,-0.0004201717674732208,5.088110629003495e-05
11_c2_x10_050723,post_event_1_16,8,4,0.0001814570277929306,5.6449129715474555e-05
12_c2_x10_070723,mid_pre_event_9_16,2,1,-0.0006648339331150055,5.1401430027908646e-05
12_c2_x10_070723,near_pre_event_1_8,8,4,-0.0002170223742723465,8.17921718407888e-05
14_c2_x10_HighCOV_110723,post_event_1_16,8,4,0.00023312028497457504,8.244009541158448e-05
15_c2_x5_HighCOV_120723,far_pre_event_17_32,4,2,0.0018433667719364166,0.00010727322660386562
16_c2_x10_HighHighCOV_130723,far_pre_event_17_32,2,1,-0.001234486699104309,0.00022726137831341475
16_c2_x10_HighHighCOV_130723,mid_pre_event_9_16,8,4,-0.0017082961276173592,0.00018762097715807613
17_c2_x10_HighHighCOV_150723,mid_pre_event_9_16,2,1,-0.0005517378449440002,0.00042649637907743454
17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,8,4,-0.0002662818878889084,0.0009074456938833464
2_c2_x14_200623,no_near_event_control,10,5,0.0008789025247097016,6.402550425264054e-05
4_c2_x10_240623,far_pre_event_17_32,8,4,-0.00011695642024278641,6.587253164980211e-05
4_c2_x10_240623,no_near_event_control,2,1,-0.00010419636964797974,9.440549729333725e-05
5_c2_x10_260623,far_pre_event_17_32,8,4,0.00041682180017232895,8.365662824871833e-05
5_c2_x10_260623,mid_pre_event_9_16,2,1,-0.00025162845849990845,0.00010305708201485686
6_c2_x10_270623_2,mid_pre_event_9_16,6,3,-0.00014467413226763406,8.542873789944376e-05
6_c2_x10_270623_2,near_pre_event_1_8,4,2,-3.5295262932777405e-05,6.386986115103355e-05
7_c2_x10_290623,near_pre_event_1_8,4,2,-8.201040327548981e-05,8.171457193384413e-05
7_c2_x10_290623,post_event_1_16,4,2,0.000548122450709343,8.081116448011016e-05
8_c2_x10_300623,post_event_1_16,10,5,-0.00016100481152534485,9.502877583145164e-05
9_c2_x10_010723,near_pre_event_1_8,8,4,0.0003997441381216049,7.05368638591608e-05
9_c2_x10_010723,post_event_1_16,2,1,-4.858151078224182e-05,5.768672599515412e-05
