cycleNo,source_stem,n_roi,future_any_drop_within_8cycles,future_any_drop_within_16cycles,persistence_mse_mean,velocity_mse_mean,temporal_energy_mean,temporal_energy_late_minus_early,roi_norm_mean_delta_last_minus_first,stage_drift_xy_recomputed,object_mean_abs_z
2.0,2_c2_x14_200623,2,0.0,0.0,8.258533671323676e-05,0.00023020424123387784,0.00864300038665533,7.072929292917252e-05,-0.0016346275806427002,0.21212340707186456,20.068544387817383
4.0,2_c2_x14_200623,2,0.0,0.0,6.592377758352086e-05,0.00018637553876033053,0.008017472922801971,-0.00011517270468175411,0.001913178712129593,0.22360679941597944,20.02047348022461
8.0,2_c2_x14_200623,2,0.0,0.0,6.380406011885498e-05,0.0001790992682799697,0.0078569904435426,7.168948650360107e-05,0.0014648064970970154,0.22360679941597944,22.73444366455078
10.0,2_c2_x14_200623,2,0.0,0.0,4.237561552145053e-05,0.00011766283205361106,0.00650318618863821,4.476867616176605e-05,0.001097027212381363,0.1802843381948163,20.5120792388916
14.0,2_c2_x14_200623,2,0.0,0.0,6.543870767927729e-05,0.0001832428024499677,0.0079547802451998,-0.0006038059946149588,0.0015541277825832367,0.22360679941597944,19.286392211914062
26.0,4_c2_x10_240623,2,0.0,0.0,9.440549183636904e-05,0.00027341560780769214,0.00927957147359848,-0.0008960135746747255,-0.00010419636964797974,0.2500244143604941,25.383216857910156
28.0,4_c2_x10_240623,2,0.0,0.0,5.1027936933678575e-05,0.00014713206837768666,0.007097791880369186,-5.592266097664833e-05,9.024515748023987e-05,0.2500244143604941,27.346495628356934
30.0,4_c2_x10_240623,2,0.0,0.0,5.0935414037667215e-05,0.00014747929890290834,0.007093182532116771,2.1938001736998558e-05,-0.0006928630173206329,0.22360679941597944,23.25758457183838
32.0,4_c2_x10_240623,2,0.0,0.0,8.703752246219665e-05,0.00025300429115304723,0.009237626567482948,9.758397936820984e-06,0.0002227872610092163,0.2692491741557371,30.605703353881836
34.0,4_c2_x10_240623,2,0.0,0.0,7.448926044162363e-05,0.00021532182654482313,0.00837156712077558,-1.5738653019070625e-05,-8.799508213996887e-05,0.2828168207439179,27.22706985473633
36.0,5_c2_x10_260623,2,0.0,0.0,0.0001085483563656453,0.0003152259887428954,0.010267804376780987,0.0008088508620858192,0.0005397722125053406,0.26927184323626285,25.163411140441895
38.0,5_c2_x10_260623,2,0.0,0.0,7.617378287250176e-05,0.00021148963423911482,0.008396576391533017,0.001099619548767805,0.000837080180644989,0.2500244143604941,18.250073432922363
40.0,5_c2_x10_260623,2,0.0,0.0,7.494043711631093e-05,0.00021605055007967167,0.008387727895751595,0.00012182584032416344,0.00019365549087524414,0.2500244143604941,20.9948468208313
42.0,5_c2_x10_260623,2,0.0,0.0,7.496390753658488e-05,0.00021669507259503007,0.008404879830777645,9.849132038652897e-05,9.677931666374207e-05,0.24997559070633724,27.147003173828125
44.0,5_c2_x10_260623,2,0.0,1.0,0.00010305708929081447,0.00029764865757897496,0.01014814805239439,-1.6158446669578552e-06,-0.00025162845849990845,0.2915601564253875,29.843070030212402
46.0,6_c2_x10_270623_2,2,0.0,1.0,9.502418470219709e-05,0.0002730458218138665,0.009719646535813808,-3.307173028588295e-05,-0.00010906904935836792,0.22360679941597944,25.80000591278076
48.0,6_c2_x10_270623_2,2,0.0,1.0,9.086113277589902e-05,0.0002626218702062033,0.009513095021247864,-2.0144041627645493e-05,-0.00043431296944618225,0.2915601564253875,25.136672973632812
50.0,6_c2_x10_270623_2,2,0.0,1.0,7.0400918048108e-05,0.00020363358271424659,0.008168517844751477,-4.424038343131542e-05,0.00010935962200164795,0.2915601564253875,22.94032096862793
52.0,6_c2_x10_270623_2,2,1.0,1.0,7.023187936283648e-05,0.00020339686670922674,0.008158826036378741,-7.215328514575958e-05,-2.2899359464645386e-05,0.2500244143604941,25.965062141418457
54.0,6_c2_x10_270623_2,2,1.0,1.0,5.7507842939230613e-05,0.0001658152832533233,0.007484477711841464,2.725771628320217e-05,-4.7691166400909424e-05,0.22357950866311585,22.15390110015869
56.0,7_c2_x10_290623,2,1.0,1.0,6.745823884557467e-05,0.00019549667558749206,0.008019539527595043,4.908628761768341e-05,-0.0002098381519317627,0.18026741406264754,26.32070255279541
