source_stem,n_roi,n_cycles,future_any_drop_within_8cycles,future_any_drop_within_16cycles,persistence_mse_mean,velocity_mse_mean,temporal_energy_mean,roi_norm_mean_delta_last_minus_first,stage_drift_xy_recomputed
10_c2_x10_030723,8,4,0.0,0.0,0.00011680683292070171,0.0003309837484266609,0.010633152793161571,-0.00040434859693050385,0.21514640278826352
11_c2_x10_050723,10,5,0.0,6.0,5.533552284759935e-05,0.00015769131132401527,0.007239064527675509,6.113126873970031e-05,0.24775719305378613
12_c2_x10_070723,10,5,8.0,10.0,7.571402493340429e-05,0.00020416028128238394,0.008066803636029362,-0.0003065846860408783,0.2144459779301274
14_c2_x10_HighCOV_110723,8,4,0.0,0.0,8.244009586633183e-05,0.00020195168417558307,0.008321703120600432,0.00023312028497457504,0.24721319028019767
15_c2_x5_HighCOV_120723,4,2,0.0,0.0,0.0001072732120519504,0.0002455569847370498,0.00861920544411987,0.0018433667719364166,0.2804159998308252
16_c2_x10_HighHighCOV_130723,10,5,0.0,8.0,0.00019554904138203711,0.0004232008897815831,0.010740604670718312,-0.001613534241914749,0.24331777245843203
17_c2_x10_HighHighCOV_150723,10,5,8.0,10.0,0.0008112559211440384,0.001654454314848408,0.01798036592081189,-0.00032337307929992677,0.25961198021154963
2_c2_x14_200623,10,5,0.0,0.0,6.402549952326808e-05,0.00017931693655555138,0.007795086037367583,0.0008789025247097016,0.21264562870292383
4_c2_x10_240623,10,5,0.0,0.0,7.157912514230703e-05,0.0002072706185572315,0.008215947914868594,-0.00011440441012382508,0.2551443246073245
5_c2_x10_260623,10,5,0.0,2.0,8.753671463637147e-05,0.0002514219806471374,0.009121027309447527,0.0002831317484378815,0.26217128381779514
6_c2_x10_270623_2,10,5,4.0,10.0,7.680519156565424e-05,0.00022170268493937328,0.008608912630006672,-0.00010092258453369141,0.2560662070580729
7_c2_x10_290623,8,4,4.0,4.0,8.126286729748244e-05,0.0002320578032595222,0.008725144027266651,0.00023305602371692657,0.23830864334735347
8_c2_x10_300623,10,5,0.0,6.0,9.502877146587707e-05,0.00027073685632785784,0.009449097095057368,-0.00016100481152534485,0.2145344799031029
9_c2_x10_010723,10,5,8.0,10.0,6.796683301217854e-05,0.0001855735135904979,0.007877155067399144,0.00031007900834083556,0.26601344585106806
