target,feature_family,method,n_features,n_eval,n_cycles,n_sources,n_positive,roc_auc,average_precision,spearman_rho,spearman_p,mean_raw_source_eta2,max_raw_source_eta2
clean_pre8_vs_post_control,physics_front_combo,source_mean_resid_2,23,84,42,11,32,0.6941105769230769,0.6601378237623935,0.32656375062950344,0.002431472787074014,0.3664542190032911,0.7742896408683793
clean_pre8_vs_post_control,roi_intensity,source_mean_resid_2,9,84,42,11,32,0.6808894230769231,0.5939649179685779,0.30432101838848463,0.004886245663621876,0.3382929918561014,0.5985554655138969
clean_pre8_vs_post_control,mask_contrast,source_mean_resid_2,9,84,42,11,32,0.6412259615384616,0.614580840084138,0.23759282166542822,0.029539517863205595,0.4398468368854978,0.7648575103265738
clean_pre8_vs_post_control,physics_front_combo,raw_standard,23,84,42,11,32,0.6376201923076923,0.6250056156770709,0.23152662196333218,0.03408495695651564,0.3664542190032911,0.7742896408683793
clean_pre8_vs_post_control,physics_front_combo,source_confound_filter_0.25,23,84,42,11,32,0.6364182692307692,0.6176651407319287,0.22950455539596684,0.035724856898644096,0.3664542190032911,0.7742896408683793
clean_pre8_vs_post_control,mask_contrast,source_confound_filter_0.25,9,84,42,11,32,0.6268028846153846,0.537856754909319,0.21332802285704405,0.05136967159476486,0.4398468368854978,0.7648575103265738
clean_pre8_vs_post_control,mask_contrast,raw_standard,9,84,42,11,32,0.6207932692307692,0.5742899219414017,0.2032176900202173,0.06373776346881811,0.4398468368854978,0.7648575103265738
clean_pre8_vs_post_control,video_dynamics,source_mean_resid_2,9,84,42,11,32,0.6111778846153846,0.5766658018320321,0.18704115748129455,0.08844752892461008,0.6888228018159661,0.8374275676480234
clean_pre8_vs_post_control,all_interpretable,source_residual,47,84,42,11,32,0.5913461538461537,0.6664432855981095,0.15367705911976634,0.16281236229009013,0.39670017588094225,0.8374275676480234
clean_pre8_vs_post_control,object_context_guardrail,source_confound_filter_0.25,6,84,42,11,32,0.5727163461538461,0.430813838366276,0.12233502732560346,0.267607586684853,0.16206984771333013,0.2701791145026204
clean_pre8_vs_post_control,all_interpretable,source_mean_resid_2,47,84,42,11,32,0.5618990384615384,0.5683972543703402,0.10413642821931535,0.3458387693391359,0.39670017588094225,0.8374275676480234
clean_pre8_vs_post_control,roi_intensity,source_confound_filter_0.25,9,84,42,11,32,0.5606971153846154,0.49262690748264865,0.10211436165195,0.3553356684209394,0.3382929918561014,0.5985554655138969
clean_pre8_vs_post_control,roi_intensity,raw_standard,9,84,42,11,32,0.5576923076923077,0.5013586355802437,0.09705919523353662,0.3797758903454849,0.3382929918561014,0.5985554655138969
clean_pre8_vs_post_control,front_geometry,source_mean_resid_2,12,84,42,11,32,0.5564903846153846,0.44681671074379475,0.09503760977303737,0.38982690308473683,0.28864827588350933,0.7742896408683793
clean_pre8_vs_post_control,front_geometry,source_confound_filter_0.25,12,84,42,11,32,0.5552884615384616,0.4407391786727384,0.09301741652306812,0.4000279365309387,0.28864827588350933,0.7742896408683793
clean_pre8_vs_post_control,front_geometry,within_source_rank,12,84,42,11,32,0.5432692307692308,0.4609742597424141,0.07279476493253928,0.5105046894026463,0.28864827588350933,0.7742896408683793
clean_pre8_vs_post_control,roi_intensity,source_residual,9,84,42,11,32,0.5402644230769231,0.511553982431845,0.0677392300067391,0.5403779425695319,0.3382929918561014,0.5985554655138969
clean_pre8_vs_post_control,physics_front_combo,source_residual,23,84,42,11,32,0.5354567307692307,0.486540196042028,0.05965096373727772,0.589887804831387,0.3664542190032911,0.7742896408683793
clean_pre8_vs_post_control,video_dynamics,source_residual,9,84,42,11,32,0.5330528846153846,0.6097006584715777,0.05560683060254702,0.6153878859428369,0.6888228018159661,0.8374275676480234
clean_pre8_vs_post_control,object_context_guardrail,source_residual,6,84,42,11,32,0.530048076923077,0.49037436071010904,0.05055166418413366,0.6479128665736739,0.16206984771333013,0.2701791145026204
clean_pre8_vs_post_control,physics_front_combo,within_source_rank,23,84,42,11,32,0.5252403846153846,0.4367358006505145,0.042463397914672275,0.7013304874760996,0.3664542190032911,0.7742896408683793
clean_pre8_vs_post_control,all_interpretable,raw_standard,47,84,42,11,32,0.5210336538461539,0.5500875074728824,0.035386164928893564,0.7493018232383678,0.39670017588094225,0.8374275676480234
clean_pre8_vs_post_control,video_dynamics,within_source_rank,9,84,42,11,32,0.5144230769230769,0.48631661992259756,0.024264798808384155,0.826579532924048,0.6888228018159661,0.8374275676480234
clean_pre8_vs_post_control,object_context_guardrail,raw_standard,6,84,42,11,32,0.5108173076923077,0.3799858056331582,0.01819859910628812,0.8694892383299421,0.16206984771333013,0.2701791145026204
clean_pre8_vs_post_control,all_interpretable,source_confound_filter_0.25,47,84,42,11,32,0.5090144230769231,0.4884701342653792,0.015165499255240097,0.8910946004059888,0.39670017588094225,0.8374275676480234
clean_pre8_vs_post_control,apparent_diffusion,source_mean_resid_2,2,84,42,11,32,0.5,0.38095238095238093,,,0.5030230972520511,0.5030230972520512
clean_pre8_vs_post_control,front_geometry,raw_standard,12,84,42,11,32,0.48978365384615385,0.4023608521032746,-0.017187652831293993,0.8766805904597601,0.28864827588350933,0.7742896408683793
clean_pre8_vs_post_control,video_dynamics,source_confound_filter_0.25,9,84,42,11,32,0.48737980769230776,0.5692621730969136,-0.021231698957336138,0.8479790980995647,0.6888228018159661,0.8374275676480234
clean_pre8_vs_post_control,video_dynamics,raw_standard,9,84,42,11,32,0.4825721153846154,0.5782441736499875,-0.02931996522679752,0.7912002544549915,0.6888228018159661,0.8374275676480234
clean_pre8_vs_post_control,apparent_diffusion,within_source_rank,2,84,42,11,32,0.4810697115384615,0.39098054337276994,-0.03187757791636339,0.7734552385854577,0.5030230972520511,0.5030230972520512
clean_pre8_vs_post_control,mask_contrast,source_residual,9,84,42,11,32,0.47536057692307687,0.42274772130095967,-0.0414523646309896,0.7081174864992354,0.4398468368854978,0.7648575103265738
clean_pre8_vs_post_control,all_interpretable,within_source_rank,47,84,42,11,32,0.4681490384615385,0.38359053135362614,-0.053584764035181684,0.6283136565051988,0.39670017588094225,0.8374275676480234
clean_pre8_vs_post_control,apparent_diffusion,source_residual,2,84,42,11,32,0.44200721153846156,0.3728467697663611,-0.0976567069501291,0.37683536942973017,0.5030230972520511,0.5030230972520512
clean_pre8_vs_post_control,mask_contrast,within_source_rank,9,84,42,11,32,0.438701923076923,0.3386840321701452,-0.10312539493563268,0.35056720271439634,0.4398468368854978,0.7648575103265738
clean_pre8_vs_post_control,roi_intensity,within_source_rank,9,84,42,11,32,0.43149038461538464,0.44476742331626384,-0.11525779433982473,0.29648031874884023,0.3382929918561014,0.5985554655138969
clean_pre8_vs_post_control,object_context_guardrail,within_source_rank,6,84,42,11,32,0.40805288461538464,0.33124869451247707,-0.15468809240344902,0.16003050134638414,0.16206984771333013,0.2701791145026204
clean_pre8_vs_post_control,front_geometry,source_residual,12,84,42,11,32,0.40204326923076916,0.39520956556003134,-0.16479925950005417,0.13412246009968584,0.28864827588350933,0.7742896408683793
clean_pre8_vs_post_control,object_context_guardrail,source_mean_resid_2,6,84,42,11,32,0.23497596153846154,0.26678676413439106,-0.4458656781040589,2.1337339165966412e-05,0.16206984771333013,0.2701791145026204
clean_pre8_vs_post_control,apparent_diffusion,raw_standard,2,84,42,11,32,0.19981971153846154,0.2736682085489583,-0.5054873069594765,9.377168728791564e-07,0.5030230972520511,0.5030230972520512
clean_pre8_vs_post_control,apparent_diffusion,source_confound_filter_0.25,2,84,42,11,32,0.19981971153846154,0.2736682085489583,-0.5054873069594765,9.377168728791564e-07,0.5030230972520511,0.5030230972520512
near_pre_vs_far_pre,physics_front_combo,source_residual,23,54,27,9,32,0.7443181818181819,0.7110204379121918,0.41592350170461917,0.0017604245490452065,0.3664542190032911,0.7742896408683793
near_pre_vs_far_pre,all_interpretable,source_residual,47,54,27,9,32,0.6647727272727273,0.6544678404887263,0.2805065476612547,0.03992633061285829,0.39670017588094225,0.8374275676480234
near_pre_vs_far_pre,object_context_guardrail,source_confound_filter_0.25,6,54,27,9,32,0.6576704545454546,0.6720278013990916,0.2684157481930972,0.04970786081385617,0.16206984771333013,0.2701791145026204
near_pre_vs_far_pre,object_context_guardrail,raw_standard,6,54,27,9,32,0.643465909090909,0.6900499117886105,0.24423414925678213,0.07510650780421449,0.16206984771333013,0.2701791145026204
near_pre_vs_far_pre,video_dynamics,source_mean_resid_2,9,54,27,9,32,0.6335227272727273,0.7482945139308429,0.2273070300013616,0.0983326699786872,0.6888228018159661,0.8374275676480234
near_pre_vs_far_pre,video_dynamics,source_residual,9,54,27,9,32,0.625,0.6944444444444444,0.34474271423136155,0.010684860975949912,0.6888228018159661,0.8374275676480234
near_pre_vs_far_pre,all_interpretable,raw_standard,47,54,27,9,32,0.5767045454545454,0.6977338150490529,0.13058063425610136,0.34662643542482785,0.39670017588094225,0.8374275676480234
near_pre_vs_far_pre,all_interpretable,source_mean_resid_2,47,54,27,9,32,0.5568181818181818,0.7056437476772155,0.09672639574526026,0.4865582288300701,0.39670017588094225,0.8374275676480234
near_pre_vs_far_pre,roi_intensity,raw_standard,9,54,27,9,32,0.5255681818181818,0.660208085823651,0.043526878085367114,0.7546455038661397,0.3382929918561014,0.5985554655138969
near_pre_vs_far_pre,apparent_diffusion,source_residual,2,54,27,9,32,0.5227272727272727,0.6050164191975675,0.03871343749182568,0.7810645014570072,0.5030230972520511,0.5030230972520512
near_pre_vs_far_pre,video_dynamics,within_source_rank,9,54,27,9,32,0.5099431818181819,0.5646492840404979,0.016927119255420547,0.9033056973734732,0.6888228018159661,0.8374275676480234
near_pre_vs_far_pre,roi_intensity,source_confound_filter_0.25,9,54,27,9,32,0.5056818181818182,0.6482906907796309,0.009672639574526026,0.9446572922221153,0.3382929918561014,0.5985554655138969
near_pre_vs_far_pre,roi_intensity,source_mean_resid_2,9,54,27,9,32,0.49431818181818177,0.6274420024906178,-0.009672639574526026,0.9446572922221153,0.3382929918561014,0.5985554655138969
near_pre_vs_far_pre,mask_contrast,source_mean_resid_2,9,54,27,9,32,0.4928977272727273,0.6331523461177921,-0.012090799468157533,0.9308519256065613,0.4398468368854978,0.7648575103265738
near_pre_vs_far_pre,front_geometry,within_source_rank,12,54,27,9,32,0.484375,0.5734703328496634,-0.026599758829946574,0.8485823852035586,0.28864827588350933,0.7742896408683793
near_pre_vs_far_pre,physics_front_combo,source_mean_resid_2,23,54,27,9,32,0.47159090909090906,0.5987401605026034,-0.04836319787263013,0.728378754626825,0.3664542190032911,0.7742896408683793
near_pre_vs_far_pre,object_context_guardrail,source_residual,6,54,27,9,32,0.453125,0.5708741830065359,-0.2010999166349609,0.14480154722213634,0.16206984771333013,0.2701791145026204
near_pre_vs_far_pre,apparent_diffusion,within_source_rank,2,54,27,9,32,0.4474431818181819,0.563400241547841,-0.08954191137275452,0.5196435176397489,0.5030230972520511,0.5030230972520512
near_pre_vs_far_pre,all_interpretable,source_confound_filter_0.25,47,54,27,9,32,0.4375,0.5949859661727624,-0.1063990353197863,0.4438234921573496,0.39670017588094225,0.8374275676480234
near_pre_vs_far_pre,physics_front_combo,raw_standard,23,54,27,9,32,0.4360795454545455,0.5592723845277678,-0.10881719521341779,0.4334749276345222,0.3664542190032911,0.7742896408683793
near_pre_vs_far_pre,roi_intensity,within_source_rank,9,54,27,9,32,0.4275568181818182,0.5329634006847976,-0.12332615457520683,0.3742980459088207,0.3382929918561014,0.5985554655138969
near_pre_vs_far_pre,physics_front_combo,within_source_rank,23,54,27,9,32,0.4161931818181818,0.5376999751105782,-0.14267143372425886,0.303403835300339,0.3664542190032911,0.7742896408683793
near_pre_vs_far_pre,object_context_guardrail,source_mean_resid_2,6,54,27,9,32,0.4119318181818181,0.5628109645191334,-0.1499259134051534,0.2792182696330536,0.16206984771333013,0.2701791145026204
near_pre_vs_far_pre,mask_contrast,raw_standard,9,54,27,9,32,0.41051136363636365,0.5614470091975486,-0.15234407329878488,0.271447540758882,0.4398468368854978,0.7648575103265738
near_pre_vs_far_pre,mask_contrast,within_source_rank,9,54,27,9,32,0.4076704545454546,0.5134044879043855,-0.1571803930860479,0.25634119523742277,0.4398468368854978,0.7648575103265738
near_pre_vs_far_pre,all_interpretable,within_source_rank,47,54,27,9,32,0.39346590909090906,0.5414282473226034,-0.181361992022363,0.18936387711460617,0.39670017588094225,0.8374275676480234
near_pre_vs_far_pre,apparent_diffusion,source_mean_resid_2,2,54,27,9,32,0.375,0.5394524959742351,-0.3457820374040623,0.010435706913801275,0.5030230972520511,0.5030230972520512
near_pre_vs_far_pre,mask_contrast,source_residual,9,54,27,9,32,0.36363636363636365,0.6153846153846154,-0.3426901124200155,0.011192039917393507,0.4398468368854978,0.7648575103265738
near_pre_vs_far_pre,front_geometry,source_confound_filter_0.25,12,54,27,9,32,0.359375,0.5163821613109172,-0.23939782946951912,0.08124709866691497,0.28864827588350933,0.7742896408683793
near_pre_vs_far_pre,apparent_diffusion,raw_standard,2,54,27,9,32,0.3579545454545454,0.5108597087623045,-0.24195898432391044,0.07794776386690598,0.5030230972520511,0.5030230972520512
near_pre_vs_far_pre,apparent_diffusion,source_confound_filter_0.25,2,54,27,9,32,0.3579545454545454,0.5108597087623045,-0.24195898432391044,0.07794776386690598,0.5030230972520511,0.5030230972520512
near_pre_vs_far_pre,video_dynamics,raw_standard,9,54,27,9,32,0.3366477272727273,0.618838928426286,-0.27808838776762324,0.04174413100614142,0.6888228018159661,0.8374275676480234
near_pre_vs_far_pre,video_dynamics,source_confound_filter_0.25,9,54,27,9,32,0.33238636363636365,0.6159976049919356,-0.2853428674485177,0.036486079211509044,0.6888228018159661,0.8374275676480234
near_pre_vs_far_pre,front_geometry,source_mean_resid_2,12,54,27,9,32,0.3181818181818182,0.4905983994230907,-0.30952446638483283,0.02275297811059216,0.28864827588350933,0.7742896408683793
near_pre_vs_far_pre,front_geometry,source_residual,12,54,27,9,32,0.3096590909090909,0.47193525905612055,-0.32403342574662186,0.016833767654589698,0.28864827588350933,0.7742896408683793
near_pre_vs_far_pre,front_geometry,raw_standard,12,54,27,9,32,0.2940340909090909,0.4918634154912014,-0.3506331845765684,0.009338000829540121,0.28864827588350933,0.7742896408683793
near_pre_vs_far_pre,roi_intensity,source_residual,9,54,27,9,32,0.2727272727272727,0.5925925925925926,-0.5711501873666925,6.477242255341503e-06,0.3382929918561014,0.5985554655138969
near_pre_vs_far_pre,object_context_guardrail,within_source_rank,6,54,27,9,32,0.2713068181818182,0.46532212971271947,-0.38932374287467253,0.003617187702495158,0.16206984771333013,0.2701791145026204
near_pre_vs_far_pre,mask_contrast,source_confound_filter_0.25,9,54,27,9,32,0.2599431818181818,0.48963142182819347,-0.4086690220237246,0.0021549482576923144,0.4398468368854978,0.7648575103265738
near_pre_vs_far_pre,physics_front_combo,source_confound_filter_0.25,23,54,27,9,32,0.22017045454545453,0.4660509772359686,-0.47637749904540677,0.000271258033271207,0.3664542190032911,0.7742896408683793
