consensus_review_rank,roi_id,cycleNo,source_stem,event_relative_bin,cycles_to_next_event,review_priority_tier,consensus_review_score,pre_event_review_score,pre_event_review_rank,review_reason,si_clean_physics_prob,si_near_far_physics_prob,front_radius_slope_px_per_norm_time,front_radius2_slope_px2_per_norm_time,front_radius_slope_px_per_norm_time_source_echem_context_residual,front_radius2_slope_px2_per_norm_time_source_echem_context_residual,apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual,kymograph_temporal_energy,matched_positive_support_count,matched_positive_support_weight,matched_positive_support_details,consensus_review_reason,npz_path,render_status,frame_strip_png,mask_overlay_png,kymograph_png,n_frames_loaded,frame_height,frame_width,visual_sanity_score,visual_sanity_flag,stable_mask_fraction,stable_mask_edge_fraction,centroid_path_px,focus_laplacian_var_median,front_trace_slope_px_per_norm_time_sanity,front_trace_r2_sanity,front_trace_monotonic_fraction,visual_review_score,visual_qc_tier,visual_mode_name,visual_front_plausibility_score,visual_artifact_risk_score,front_trace_slope_px_per_norm_time_mode,front_trace_r2_mode,front_trace_direction_fraction,front_trace_span_px,front_trace_jitter_px,masked_minus_background_slope,stable_mask_gate,centroid_stability_gate,visual_sanity_gate,visual_mode_gate,front_trace_fit_gate,front_direction_agreement_gate,manual_front_review_gate,automatic_diffusion_claim_gate,n_passed_component_gates,strict_qc_priority_score
8,source_balanced_cycle80_rank62_obj2_9_c2_x10_010723,80.0,9_c2_x10_010723,near_pre_event_1_8,6.0,matched_support_front_qc,0.764613105153772,3.714178190844442,11,near_pre_high_source_invariant_front_score,0.6787272370367419,0.4986361822917508,1.6514175257731942,15.449097938144329,1.6030353725250368,14.87199861933618,,3.184150395857616e-06,31.0,81.83669302786195,near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|same_source|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=31; front_radius2_slope_px2_per_norm_time=15.4; front_radius_slope_px_per_norm_time_source_echem_context_residual=1.6,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle80_rank62_obj2_9_c2_x10_010723.npz,ok,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank008_source_balanced_cycle80_rank62_obj2_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank008_source_balanced_cycle80_rank62_obj2_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank008_source_balanced_cycle80_rank62_obj2_9_c2_x10_010723_kymograph.png,96,96,96,0.7611725521622965,reviewable_auto,0.3000217013888889,0.0318264014466546,22.950607735607765,0.0046131508767543,1.149773705483587,0.2786775858370451,0.9894736842105264,0.5055752064152222,front_plausible_followup,low front-plausibility context,0.3216292145360705,0.0098626239687449,1.149773705483587,0.2786775858370451,0.0210526315789473,1.0398885727916811,0.0,-0.0050177369858412,True,True,True,True,True,True,True,False,6,0.6003771693199745
10,source_balanced_cycle78_rank61_obj2_9_c2_x10_010723,78.0,9_c2_x10_010723,near_pre_event_1_8,8.0,matched_support_front_qc,0.742136570603587,3.882787615599379,7,near_pre_high_source_invariant_front_score,0.7210847190036884,0.4987981840183433,1.193298969072164,12.21907216494846,1.1412832491748364,11.578854534600689,,2.578483359048009e-06,30.0,78.3891009190404,near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|same_source|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=30; front_radius2_slope_px2_per_norm_time=12.2; front_radius_slope_px_per_norm_time_source_echem_context_residual=1.14,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle78_rank61_obj2_9_c2_x10_010723.npz,ok,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank010_source_balanced_cycle78_rank61_obj2_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank010_source_balanced_cycle78_rank61_obj2_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank010_source_balanced_cycle78_rank61_obj2_9_c2_x10_010723_kymograph.png,96,96,96,0.7990266934171384,reviewable_auto,0.3000217013888889,0.0332730560578661,18.33585821603456,0.0047523703674256,0.941515300156522,0.0693576163627358,0.9894736842105264,0.4667311154996597,routine_or_low_front_plausibility,low front-plausibility context,0.2628281196119628,0.0097378662183444,0.941515300156522,0.0693576163627358,0.0105263157894736,2.087473922632745,0.0,0.0032610650994267,True,True,True,False,True,True,False,False,5,0.5560939688124191
22,source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2,46.0,6_c2_x10_270623_2,mid_pre_event_9_16,14.0,routine_review,0.5799451836581708,3.006328125,33,mid_pre_followup_front_diffusion_review,,,6.831829896907218,75.05734536082475,6.757272383348708,74.17779843761281,,5.608006668458408e-06,0.0,0.0,,event_relative_bin=mid_pre_event_9_16; review_reason=mid_pre_followup_front_diffusion_review; matched_positive_support_count=0; front_radius2_slope_px2_per_norm_time=75.1; front_radius_slope_px_per_norm_time_source_echem_context_residual=6.76,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2.npz,ok,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank022_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank022_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank022_source_balanced_cycle46_rank46_obj2_6_c2_x10_270623_2_kymograph.png,96,96,96,0.7979013983166592,reviewable_auto,0.3000217013888889,0.0321880650994575,21.127512033737865,0.0046373101461827,-2.838416290529312,0.7106890938686923,0.9894736842105264,0.4316758884734325,routine_or_low_front_plausibility,moderate front-like followup,0.4924705140032908,0.0105073371773616,-2.838416290529312,0.7106890938686923,0.0105263157894736,2.0179670558412712,0.0,-0.0032706414785334,True,True,True,False,True,False,False,False,4,0.5520213636592144
2,source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723,152.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,4.0,matched_support_front_qc,0.9055233514265107,4.788927425539625,1,near_pre_high_source_invariant_front_score,0.9409796437373672,0.5224796930887736,0.9097938144329928,12.903350515463927,0.8616921046768429,12.304358599293252,0.5191468596436916,0.0003248446284712,55.0,145.25316946026882,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=55; front_radius2_slope_px2_per_norm_time=12.9; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.862; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=0.519,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723.npz,ok,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank002_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank002_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank002_source_balanced_cycle152_rank29_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,96,96,96,0.559695833755315,uncertain_auto,0.3000217013888889,0.0318264014466546,81.78446304997402,0.0017493742297411,0.8699924746326456,0.0586754657881716,0.9473684210526316,0.5899088357604971,front_plausible_followup,low front-plausibility context,0.2624383028523723,0.0496638282980846,0.8699924746326456,0.0586754657881716,0.0421052631578947,1.817265572853108,0.0,-0.0025153678763158,True,False,False,True,True,True,False,False,4,0.5255668900691663
18,source_balanced_cycle82_rank63_obj2_9_c2_x10_010723,82.0,9_c2_x10_010723,near_pre_event_1_8,4.0,matched_support_front_qc,0.6140390866074897,3.691417233872273,13,near_pre_front_diffusion_review,0.5983265247181447,0.4990051244973415,0.0612113402061873,0.6733247422680478,0.0176813364018149,0.1775509900119694,,7.462392882354916e-06,31.0,82.1649971083926,near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|same_source|masked_minus_background_mean_slope|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=31; front_radius2_slope_px2_per_norm_time=0.673; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.0177,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle82_rank63_obj2_9_c2_x10_010723.npz,ok,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank018_source_balanced_cycle82_rank63_obj2_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank018_source_balanced_cycle82_rank63_obj2_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank018_source_balanced_cycle82_rank63_obj2_9_c2_x10_010723_kymograph.png,96,96,96,0.6976462087112713,reviewable_auto,0.3000217013888889,0.0332730560578661,21.34576082522415,0.004680912484945,0.5070973703229996,0.0203761273002599,0.9578947368421052,0.381894299556889,routine_or_low_front_plausibility,low front-plausibility context,0.2462835139066126,0.2116393142490642,0.5070973703229996,0.0203761273002599,0.0421052631578947,2.076557041533781,0.0,0.0032442880783119,True,True,True,False,False,True,False,False,4,0.48815897955030196
1,source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723,151.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,5.0,matched_support_front_qc,0.9317537495644084,4.70715668452391,2,near_pre_high_source_invariant_front_score,0.9591082480778378,0.5238473123032038,1.2184278350515485,16.473582474226824,1.168490423459258,15.83874160171226,0.5500140014404419,0.0001566289176159,56.0,146.89187570173056,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=56; front_radius2_slope_px2_per_norm_time=16.5; front_radius_slope_px_per_norm_time_source_echem_context_residual=1.17; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=0.55,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723.npz,ok,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank001_source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank001_source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank001_source_balanced_cycle151_rank28_obj1_17_c2_x10_HighHighCOV_150723_kymograph.png,96,96,96,0.5213871146596205,uncertain_auto,0.3000217013888889,0.0311030741410488,51.96127037820943,0.0018327712128255,0.5402093244600573,0.0280797541194275,0.9578947368421052,0.560049612267881,front_plausible_followup,low front-plausibility context,0.2467970538416442,0.2400513801555957,0.5402093244600573,0.0280797541194275,0.0421052631578947,1.8305783221878027,0.0,-0.0002035025234538,True,False,False,True,False,True,False,False,3,0.48762819986220707
4,source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723,150.0,17_c2_x10_HighHighCOV_150723,near_pre_event_1_8,6.0,matched_support_front_qc,0.8365557003942696,4.6365682358316,3,near_pre_high_source_invariant_front_score,0.9670250645675518,0.5247942255798423,0.2551546391752632,3.6340206185567134,0.1806529140901664,2.5676631300125257,0.1403622563799911,0.0001929795566621,57.0,149.41518852449022,near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_high_source_invariant_front_score; matched_positive_support_count=57; front_radius2_slope_px2_per_norm_time=3.63; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.181; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=0.14,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723.npz,ok,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank004_source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank004_source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank004_source_balanced_cycle150_rank27_obj2_17_c2_x10_HighHighCOV_150723_kymograph.png,96,96,96,0.4833820026829895,uncertain_auto,0.3000217013888889,0.0285714285714285,60.10550454524955,0.0018774391902414,0.3074306895353687,0.008611240505909,0.9578947368421052,0.5254444861697061,front_plausible_followup,low front-plausibility context,0.2361370613337524,0.2407235633585933,0.3074306895353687,0.008611240505909,0.0421052631578947,1.814191749653553,0.0,0.0028092179806302,True,False,False,False,False,True,False,False,2,0.46656641199992643
14,source_balanced_cycle84_rank64_obj2_9_c2_x10_010723,84.0,9_c2_x10_010723,near_pre_event_1_8,2.0,matched_support_front_qc,0.6355294079150899,3.3628436852395174,22,near_pre_front_diffusion_review,0.6173502877725796,0.4990302742166494,0.1965206185567026,2.161726804123692,0.1554864461530406,1.7116432097724696,,6.380078469835176e-06,23.0,60.386833770283694,near_vs_mid_pre|source_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|mask_centroid_path_px|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_median|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.002;near_vs_any_non_near|source_penalized_echem_context|mask_centroid_path_px|p=0.002,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=23; front_radius2_slope_px2_per_norm_time=2.16; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.155,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle84_rank64_obj2_9_c2_x10_010723.npz,ok,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank014_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank014_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank014_source_balanced_cycle84_rank64_obj2_9_c2_x10_010723_kymograph.png,96,96,96,0.6472151507833829,reviewable_auto,0.3000217013888889,0.030379746835443,22.996535595784746,0.00463764442781,,,,0.3428673621357837,routine_or_low_front_plausibility,low front-plausibility context,0.2,0.2122924253074825,4.063516064416885e-16,0.0,0.0,0.0,0.0,0.0033395943624722,True,True,True,False,False,True,False,False,4,0.45683475881761804
12,source_balanced_cycle56_rank51_obj2_7_c2_x10_290623,56.0,7_c2_x10_290623,near_pre_event_1_8,4.0,matched_support_front_qc,0.6480345640671727,3.326630708114364,24,near_pre_front_diffusion_review,0.5704237919102725,0.5029959506813085,0.4813144329896924,5.294458762886611,0.4265074031550435,4.6330859340904205,,1.889714273795161e-06,17.0,45.584199002044095,near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.000999;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|source_class_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_mid_pre|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.000999;near_vs_any_non_near|same_source|mask_centroid_path_px|p=0.002;near_vs_any_non_near|source_penalized_echem_context|mask_centroid_path_px|p=0.002;near_vs_post_control|source_penalized_echem_context|masked_minus_background_mean_slope|p=0.002,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=17; front_radius2_slope_px2_per_norm_time=5.29; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.427,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle56_rank51_obj2_7_c2_x10_290623.npz,ok,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank012_source_balanced_cycle56_rank51_obj2_7_c2_x10_290623_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank012_source_balanced_cycle56_rank51_obj2_7_c2_x10_290623_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank012_source_balanced_cycle56_rank51_obj2_7_c2_x10_290623_kymograph.png,96,96,96,0.655096701390352,reviewable_auto,0.3000217013888889,0.0426763110307414,23.32574084509616,0.0051900162238602,,,,0.3297002878767946,routine_or_low_front_plausibility,low front-plausibility context,0.2,0.2090636883669121,1.7966655645325542e-15,0.0,0.0,0.0,0.0,0.004943093409299,True,True,True,False,False,True,False,False,4,0.4559302425694193
11,source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2,52.0,6_c2_x10_270623_2,near_pre_event_1_8,8.0,matched_support_front_qc,0.7201751914396031,2.8948661488332696,40,near_pre_front_diffusion_review,0.5680399348938041,0.511844076157913,0.9877577319587604,16.79188144329895,0.914164406650018,15.89553369891303,-0.4906464012003412,2.8051057161769694e-06,19.0,49.00488621865468,near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.000999;near_vs_mid_pre|same_source|front_radius_q70_slope_px_per_norm_time|p=0.003;near_vs_any_non_near|same_source|apparent_diffusion_q70_um2_per_norm_time|p=0.003;near_vs_post_control|source_class_penalized_echem_context|masked_minus_background_mean_median|p=0.003,event_relative_bin=near_pre_event_1_8; review_reason=near_pre_front_diffusion_review; matched_positive_support_count=19; front_radius2_slope_px2_per_norm_time=16.8; front_radius_slope_px_per_norm_time_source_echem_context_residual=0.914; apparent_diffusion_q70_um2_per_norm_time_source_echem_context_residual=-0.491,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2.npz,ok,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank011_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_strip.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank011_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_mask_overlay.png,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_consensus_visual_packet/visual_assets/rank011_source_balanced_cycle52_rank49_obj2_6_c2_x10_270623_2_kymograph.png,96,96,96,0.5451768282532197,uncertain_auto,0.3000217013888889,0.0231464737793851,29.489191060226084,0.0026839071375478,,,,0.3603521005420528,routine_or_low_front_plausibility,low front-plausibility context,0.2,0.2083748030411793,1.5123265639312233e-15,-0.75,0.0,0.0,0.0,-0.0003097327289474,True,True,False,False,False,True,False,False,3,0.43854638009166563
