event_cycle,n_sources,source_stems,feature,n_cycle_rows,has_mid_bin,near_median,mid_median,far_median,near_minus_far
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,apparent_diffusion_q70_px2_per_norm_time,16,True,-6.668170103092787,-18.444587628865985,0.981636597938145,-7.649806701030932
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,apparent_diffusion_q70_px2_per_norm_time,12,True,8.253704896907223,0.3927190721649487,3.8833762886597953,4.370328608247428
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,apparent_diffusion_q70_um2_per_norm_time,16,True,-0.24581542268041243,-0.6799412783505157,0.03618705154639175,-0.2820024742268042
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,apparent_diffusion_q70_um2_per_norm_time,12,True,0.30426457731958784,0.0144771958762887,0.1431567835051548,0.16110779381443305
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,front_gradient_peak_radius_median_px,16,True,4.875,6.0,5.25,-0.375
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,front_gradient_peak_radius_median_px,12,True,7.75,3.5,3.5,4.25
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,front_gradient_peak_radius_slope_px_per_norm_time,16,True,0.30170747422680416,0.8977126288659798,-0.3281250000000001,0.6298324742268042
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,front_gradient_peak_radius_slope_px_per_norm_time,12,True,-0.8798324742268038,0.5360824742268044,4.170425257731961,-5.050257731958765
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,front_radius_q60_delta_px,16,True,0.0,0.0,0.5,-0.5
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,front_radius_q60_delta_px,12,True,0.25,0.0,0.0,0.25
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,front_radius_q60_median_px,16,True,8.0,5.5,7.25,0.75
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,front_radius_q60_median_px,12,True,8.0,8.5,12.0,-4.0
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,front_radius_q60_slope_px_per_norm_time,16,True,-0.0019329896907216,0.047680412371134,0.802835051546392,-0.8047680412371137
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,front_radius_q60_slope_px_per_norm_time,12,True,0.781572164948454,-0.1130798969072165,0.30090206185567014,0.4806701030927839
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,front_radius_q70_delta_px,16,True,0.0,0.0,0.25,-0.25
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,front_radius_q70_delta_px,12,True,0.0,0.0,0.5,-0.5
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,front_radius_q70_median_px,16,True,7.0,5.5,6.75,0.25
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,front_radius_q70_median_px,12,True,7.25,8.0,11.5,-4.25
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,front_radius_q70_positive_step_fraction,16,True,0.01052631578947365,0.0,0.01052631578947365,0.0
156.0,3,15_c2_x5_HighCOV_120723;16_c2_x10_HighHighCOV_130723;17_c2_x10_HighHighCOV_150723,front_radius_q70_positive_step_fraction,12,True,0.0552631578947368,0.031578947368421,0.02631578947368415,0.02894736842105265
60.0,4,4_c2_x10_240623;5_c2_x10_260623;6_c2_x10_270623_2;7_c2_x10_290623,front_radius_q70_slope_px_per_norm_time,16,True,-0.4159149484536083,-1.4188144329896917,0.0892396907216495,-0.5051546391752578
