target,feature_set,status,n_features,features,n_eval,n_positive,n_sources_eval,n_folds,n_skipped_folds,roc_auc,average_precision,spearman_rho,spearman_p,n_scored
near_vs_any_non_near,transport_only,ok,8,"['abs_radial_flow_mean', 'abs_radial_flow_q90', 'particle_flow_mag_mean', 'particle_flow_mag_q90', 'curl_mean', 'curl_q90', 'flow_acceleration_mean', 'apparent_transport_instability_score']",48.0,32.0,5.0,5,9,0.8125,0.917388941850269,0.510421143578926,0.00021021678627131801,
near_vs_any_non_near,rollout_only,ok,5,"['persistence_particle_mse', 'particle_vs_context_persistence_mse_ratio', 'pixel_linear_particle_mse_gain_vs_persistence', 'radial_profile_trend_particle_mse_gain_vs_persistence', 'best_nonpersistence_particle_gain']",48.0,32.0,5.0,5,9,0.326171875,0.6007992200861917,-0.2839217611157776,0.050504067667751174,
near_vs_any_non_near,kinetic_front,ok,14,"['kinetic_evidence_score', 'masked_minus_bg_slope', 'masked_mean_total_variation', 'q55_phase_fraction_delta', 'q55_phase_fraction_slope', 'q65_phase_fraction_slope', 'q75_phase_fraction_slope', 'front_evidence_score', 'front_kinetic_concordance_score', 'front_consensus_score', 'front_residual_outward_z_mean', 'front_raw_outward_z_mean', 'front_radius2_slope_px2_per_norm_time', 'strict_qc_priority_score']",48.0,32.0,5.0,5,9,0.685546875,0.846084272192877,0.30306255399998727,0.036272946535983404,
near_vs_any_non_near,transport_plus_kinetic_front,ok,22,"['abs_radial_flow_mean', 'abs_radial_flow_q90', 'particle_flow_mag_mean', 'particle_flow_mag_q90', 'curl_mean', 'curl_q90', 'flow_acceleration_mean', 'apparent_transport_instability_score', 'kinetic_evidence_score', 'masked_minus_bg_slope', 'masked_mean_total_variation', 'q55_phase_fraction_delta', 'q55_phase_fraction_slope', 'q65_phase_fraction_slope', 'q75_phase_fraction_slope', 'front_evidence_score', 'front_kinetic_concordance_score', 'front_consensus_score', 'front_residual_outward_z_mean', 'front_raw_outward_z_mean', 'front_radius2_slope_px2_per_norm_time', 'strict_qc_priority_score']",48.0,32.0,5.0,5,9,0.7578125,0.8844328354878531,0.4210974434526139,0.0028778390532826423,
near_vs_any_non_near,all_core_no_visual,ok,27,"['abs_radial_flow_mean', 'abs_radial_flow_q90', 'particle_flow_mag_mean', 'particle_flow_mag_q90', 'curl_mean', 'curl_q90', 'flow_acceleration_mean', 'apparent_transport_instability_score', 'persistence_particle_mse', 'particle_vs_context_persistence_mse_ratio', 'pixel_linear_particle_mse_gain_vs_persistence', 'radial_profile_trend_particle_mse_gain_vs_persistence', 'best_nonpersistence_particle_gain', 'kinetic_evidence_score', 'masked_minus_bg_slope', 'masked_mean_total_variation', 'q55_phase_fraction_delta', 'q55_phase_fraction_slope', 'q65_phase_fraction_slope', 'q75_phase_fraction_slope', 'front_evidence_score', 'front_kinetic_concordance_score', 'front_consensus_score', 'front_residual_outward_z_mean', 'front_raw_outward_z_mean', 'front_radius2_slope_px2_per_norm_time', 'strict_qc_priority_score']",48.0,32.0,5.0,5,9,0.580078125,0.7939491708579469,0.1307954180420998,0.3755605387105495,
near_vs_post_control,transport_only,ok,8,"['abs_radial_flow_mean', 'abs_radial_flow_q90', 'particle_flow_mag_mean', 'particle_flow_mag_q90', 'curl_mean', 'curl_q90', 'flow_acceleration_mean', 'apparent_transport_instability_score']",18.0,12.0,2.0,2,9,0.888888888888889,0.9594017094017094,0.6360351905939566,0.004548232236704297,
near_vs_post_control,rollout_only,ok,5,"['persistence_particle_mse', 'particle_vs_context_persistence_mse_ratio', 'pixel_linear_particle_mse_gain_vs_persistence', 'radial_profile_trend_particle_mse_gain_vs_persistence', 'best_nonpersistence_particle_gain']",18.0,12.0,2.0,2,9,0.2777777777777778,0.6207970542529367,-0.3634486803394037,0.1381984628417674,
near_vs_post_control,kinetic_front,ok,14,"['kinetic_evidence_score', 'masked_minus_bg_slope', 'masked_mean_total_variation', 'q55_phase_fraction_delta', 'q55_phase_fraction_slope', 'q65_phase_fraction_slope', 'q75_phase_fraction_slope', 'front_evidence_score', 'front_kinetic_concordance_score', 'front_consensus_score', 'front_residual_outward_z_mean', 'front_raw_outward_z_mean', 'front_radius2_slope_px2_per_norm_time', 'strict_qc_priority_score']",18.0,12.0,2.0,2,9,0.5277777777777778,0.7713902110960935,0.04543108504242546,0.8579363728108719,
near_vs_post_control,transport_plus_kinetic_front,ok,22,"['abs_radial_flow_mean', 'abs_radial_flow_q90', 'particle_flow_mag_mean', 'particle_flow_mag_q90', 'curl_mean', 'curl_q90', 'flow_acceleration_mean', 'apparent_transport_instability_score', 'kinetic_evidence_score', 'masked_minus_bg_slope', 'masked_mean_total_variation', 'q55_phase_fraction_delta', 'q55_phase_fraction_slope', 'q65_phase_fraction_slope', 'q75_phase_fraction_slope', 'front_evidence_score', 'front_kinetic_concordance_score', 'front_consensus_score', 'front_residual_outward_z_mean', 'front_raw_outward_z_mean', 'front_radius2_slope_px2_per_norm_time', 'strict_qc_priority_score']",18.0,12.0,2.0,2,9,0.625,0.8250444000444,0.2044398826909146,0.4157914130826391,
near_vs_post_control,all_core_no_visual,ok,27,"['abs_radial_flow_mean', 'abs_radial_flow_q90', 'particle_flow_mag_mean', 'particle_flow_mag_q90', 'curl_mean', 'curl_q90', 'flow_acceleration_mean', 'apparent_transport_instability_score', 'persistence_particle_mse', 'particle_vs_context_persistence_mse_ratio', 'pixel_linear_particle_mse_gain_vs_persistence', 'radial_profile_trend_particle_mse_gain_vs_persistence', 'best_nonpersistence_particle_gain', 'kinetic_evidence_score', 'masked_minus_bg_slope', 'masked_mean_total_variation', 'q55_phase_fraction_delta', 'q55_phase_fraction_slope', 'q65_phase_fraction_slope', 'q75_phase_fraction_slope', 'front_evidence_score', 'front_kinetic_concordance_score', 'front_consensus_score', 'front_residual_outward_z_mean', 'front_raw_outward_z_mean', 'front_radius2_slope_px2_per_norm_time', 'strict_qc_priority_score']",18.0,12.0,2.0,2,9,0.5555555555555556,0.7822487969546794,0.09086217008485092,0.7199217381548456,
near_vs_mid_pre,transport_only,ok,8,"['abs_radial_flow_mean', 'abs_radial_flow_q90', 'particle_flow_mag_mean', 'particle_flow_mag_q90', 'curl_mean', 'curl_q90', 'flow_acceleration_mean', 'apparent_transport_instability_score']",30.0,20.0,3.0,3,5,0.7200000000000001,0.8696872470168886,0.35945825013884575,0.05106379962243628,
near_vs_mid_pre,rollout_only,ok,5,"['persistence_particle_mse', 'particle_vs_context_persistence_mse_ratio', 'pixel_linear_particle_mse_gain_vs_persistence', 'radial_profile_trend_particle_mse_gain_vs_persistence', 'best_nonpersistence_particle_gain']",30.0,20.0,3.0,3,5,0.24,0.5459088551326277,-0.4248142956186359,0.019283461166769003,
near_vs_mid_pre,kinetic_front,ok,14,"['kinetic_evidence_score', 'masked_minus_bg_slope', 'masked_mean_total_variation', 'q55_phase_fraction_delta', 'q55_phase_fraction_slope', 'q65_phase_fraction_slope', 'q75_phase_fraction_slope', 'front_evidence_score', 'front_kinetic_concordance_score', 'front_consensus_score', 'front_residual_outward_z_mean', 'front_raw_outward_z_mean', 'front_radius2_slope_px2_per_norm_time', 'strict_qc_priority_score']",30.0,20.0,3.0,3,5,0.825,0.9260057045251555,0.5310178695232948,0.002534309280617215,
