source_stem,n_candidates,max_review_priority_score,median_review_priority_score,future16_positive_rate
12_c2_x10_070723,8,0.9167457997223765,0.4784641093731271,1.0
15_c2_x5_HighCOV_120723,6,0.9043524987340887,0.2912493563192816,0.0
16_c2_x10_HighHighCOV_130723,8,0.8869398630297416,0.5801827331076997,0.75
17_c2_x10_HighHighCOV_150723,6,0.7972430176093682,0.44495062215417425,1.0
8_c2_x10_300623,8,0.769458770846966,0.7255061996660876,0.75
14_c2_x10_HighCOV_110723,8,0.7269611674561192,0.5693052274760062,0.0
5_c2_x10_260623,6,0.7111614211216946,0.5351339716163953,0.0
11_c2_x10_050723,6,0.6887792666822536,0.6071150594982387,0.6666666666666666
2_c2_x14_200623,8,0.6117277309727576,0.46633704650265906,0.0
4_c2_x10_240623,8,0.609307735873434,0.5541851082153416,0.0
9_c2_x10_010723,8,0.6008960909201468,0.4524014172092842,1.0
7_c2_x10_290623,4,0.5412839751902978,0.5285947821377696,0.5
6_c2_x10_270623_2,8,0.5294449871465512,0.4661385804709748,1.0
10_c2_x10_030723,4,0.5152779565296646,0.4871396625608795,0.0
