feature_set,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p
residual_dictionary,future_any_drop_within_16cycles,cycleNo,96,48,48,0.6015625,0.5813157394194086,0.17592095472526495,0.0864395857406444
mask_front_scalar,future_any_drop_within_16cycles,cycleNo,96,48,48,0.5928819444444444,0.5777038790553178,0.16088497568891752,0.11736863756196603
residual_dictionary_plus_mask_front,future_any_drop_within_16cycles,cycleNo,96,48,48,0.5729166666666666,0.5546191115585601,0.12630222390531842,0.22011941754599357
mask_front_scalar,future_any_drop_within_16cycles,source_stem,96,48,14,0.4561631944444444,0.46550777166899027,-0.07593169413355454,0.4621614505387734
residual_dictionary,future_any_drop_within_16cycles,source_stem,96,48,14,0.3754340277777778,0.4479906229612035,-0.21576629917158563,0.03474539655966142
residual_dictionary_plus_mask_front,future_any_drop_within_16cycles,source_stem,96,48,14,0.3216145833333333,0.39584484552075133,-0.3089893691969397,0.0021903271716343
mask_front_scalar,future_any_drop_within_8cycles,cycleNo,96,28,48,0.6407563025210085,0.507670500533048,0.2216380268941955,0.029990068911093307
residual_dictionary_plus_mask_front,future_any_drop_within_8cycles,cycleNo,96,28,48,0.613970588235294,0.4370965373537342,0.1794606411792553,0.08019632760079612
residual_dictionary,future_any_drop_within_8cycles,cycleNo,96,28,48,0.5997899159663865,0.43822172908174384,0.15713143697722817,0.12628571125010324
mask_front_scalar,future_any_drop_within_8cycles,source_stem,96,28,14,0.4175420168067227,0.2553834542529653,-0.12984018739697276,0.20736327150940065
residual_dictionary_plus_mask_front,future_any_drop_within_8cycles,source_stem,96,28,14,0.1596638655462185,0.18378316073186313,-0.5359009008486518,1.83787728256063e-08
residual_dictionary,future_any_drop_within_8cycles,source_stem,96,28,14,0.12762605042016806,0.17889435215166816,-0.5863483621939725,3.454463014803597e-10
