feature_set,transform,target,group_col,n_eval,n_positive,n_groups,roc_auc,average_precision,spearman_rho,spearman_p
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,cycleNo,96,48,48,0.6271701388888888,0.629888422210428,0.22027709288248987,0.03104018017700828
residual_dictionary_raw,raw,future_any_drop_within_16cycles,cycleNo,96,48,48,0.6015625,0.5813157394194086,0.17592095472526495,0.0864395857406444
mask_front_within_source_rank,within_source_rank,future_any_drop_within_16cycles,cycleNo,96,48,48,0.39322916666666663,0.445144888172851,-0.18494254214707342,0.07124418206191066
mask_front_source_residual,source_residual,future_any_drop_within_16cycles,cycleNo,96,48,48,0.38715277777777773,0.4149907299365304,-0.19546772747251662,0.05632008857468819
residual_dictionary_source_residual,source_residual,future_any_drop_within_16cycles,cycleNo,96,48,48,0.21657986111111108,0.3544543129911888,-0.49092471553674366,3.811768858203691e-07
residual_dictionary_within_source_z,within_source_z,future_any_drop_within_16cycles,cycleNo,96,48,48,0.21484374999999997,0.3536392839276846,-0.49393191134401315,3.154045736747343e-07
residual_dictionary_within_source_rank,within_source_rank,future_any_drop_within_16cycles,cycleNo,96,48,48,0.18142361111111113,0.34549786586244724,-0.5518204306339507,5.628950186613701e-09
residual_dictionary_plus_mask_front_source_residual,source_residual,future_any_drop_within_16cycles,cycleNo,96,48,48,0.17881944444444445,0.34486749496962277,-0.5563312243448549,3.979922550481134e-09
residual_dictionary_plus_mask_front_within_source_rank,within_source_rank,future_any_drop_within_16cycles,cycleNo,96,48,48,0.17664930555555558,0.3455966679832512,-0.5600902191039419,2.9695534153058678e-09
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.6115451388888888,0.6131461928682544,0.19321233061706447,0.05928126210800309
mask_front_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.6002604166666666,0.5361600836888172,0.17366555786981283,0.09061502138871942
residual_dictionary_plus_mask_front_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.583767361111111,0.5474327659229559,0.14509719770075272,0.15838918911057437
mask_front_within_source_rank,within_source_rank,future_any_drop_within_16cycles,source_stem,96,48,14,0.5733506944444445,0.5812844445257583,0.12705402285713582,0.2173635116517362
residual_dictionary_within_source_z,within_source_z,future_any_drop_within_16cycles,source_stem,96,48,14,0.5594618055555556,0.550398647466006,0.10299645639897992,0.3179912132387235
residual_dictionary_source_residual,source_residual,future_any_drop_within_16cycles,source_stem,96,48,14,0.5503472222222223,0.5831412173621962,0.0872086784108151,0.39817491594315785
residual_dictionary_plus_mask_front_within_source_rank,within_source_rank,future_any_drop_within_16cycles,source_stem,96,48,14,0.5499131944444444,0.5494853349243084,0.08645687945899773,0.4022698821286259
residual_dictionary_within_source_rank,within_source_rank,future_any_drop_within_16cycles,source_stem,96,48,14,0.54296875,0.5064967916136454,0.07442809622991979,0.4710995484794461
residual_dictionary_raw,raw,future_any_drop_within_16cycles,source_stem,96,48,14,0.3754340277777778,0.4479906229612035,-0.21576629917158563,0.03474539655966142
residual_dictionary_raw,raw,future_any_drop_within_8cycles,cycleNo,96,28,48,0.5997899159663865,0.43822172908174384,0.15713143697722817,0.12628571125010324
mask_front_within_source_rank,within_source_rank,future_any_drop_within_8cycles,cycleNo,96,28,48,0.14653361344537813,0.1820338686645164,-0.556576089924603,3.90515012532945e-09
residual_dictionary_within_source_rank,within_source_rank,future_any_drop_within_8cycles,cycleNo,96,28,48,0.13602941176470587,0.18847230972361445,-0.5731162411853638,1.04587150252028e-09
mask_front_source_residual,source_residual,future_any_drop_within_8cycles,cycleNo,96,28,48,0.12815126050420167,0.1783948163698028,-0.5855213546309345,3.70752272914796e-10
residual_dictionary_within_source_z,within_source_z,future_any_drop_within_8cycles,cycleNo,96,28,48,0.12762605042016806,0.18126960022774946,-0.5863483621939725,3.454463014803597e-10
residual_dictionary_source_residual,source_residual,future_any_drop_within_8cycles,cycleNo,96,28,48,0.11869747899159663,0.1775344907782346,-0.6004074907656193,1.0067811534011653e-10
residual_dictionary_plus_mask_front_source_residual,source_residual,future_any_drop_within_8cycles,cycleNo,96,28,48,0.08981092436974789,0.173889509460346,-0.6458929067327115,1.1971597114127379e-12
residual_dictionary_plus_mask_front_within_source_rank,within_source_rank,future_any_drop_within_8cycles,cycleNo,96,28,48,0.08718487394957983,0.1745967936665871,-0.6500279445479018,7.708454351840215e-13
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_8cycles,cycleNo,96,28,48,0.03308823529411765,0.16935795329927864,-0.7352097235408203,1.4790487161606548e-17
mask_front_source_residual,source_residual,future_any_drop_within_8cycles,source_stem,96,28,14,0.5036764705882353,0.30903733048997795,0.0057890529412663,0.9553590563581001
residual_dictionary_source_residual,source_residual,future_any_drop_within_8cycles,source_stem,96,28,14,0.49369747899159666,0.34069518467172477,-0.009924090756456517,0.9235488136935477
mask_front_within_source_rank,within_source_rank,future_any_drop_within_8cycles,source_stem,96,28,14,0.4852941176470588,0.2847214881613478,-0.0231562117650652,0.8228027739985381
residual_dictionary_within_source_rank,within_source_rank,future_any_drop_within_8cycles,source_stem,96,28,14,0.4816176470588235,0.27078510771453235,-0.028945264706331502,0.7795173283197429
residual_dictionary_within_source_z,within_source_z,future_any_drop_within_8cycles,source_stem,96,28,14,0.4716386554621849,0.2738646386738315,-0.04465840840405432,0.6657086515637148
residual_dictionary_plus_mask_front_source_residual,source_residual,future_any_drop_within_8cycles,source_stem,96,28,14,0.463235294117647,0.30085151652796255,-0.057890529412663004,0.5753095740339392
dictionary_recon_error_last_minus_first_source_residual,source_residual,future_any_drop_within_8cycles,source_stem,96,28,14,0.45168067226890757,0.35772903386199384,-0.07608469579949996,0.46125718654332865
residual_dictionary_plus_mask_front_within_source_rank,within_source_rank,future_any_drop_within_8cycles,source_stem,96,28,14,0.43224789915966383,0.24708240812171145,-0.10668397563190754,0.30087983589083767
residual_dictionary_raw,raw,future_any_drop_within_8cycles,source_stem,96,28,14,0.12762605042016806,0.17889435215166816,-0.5863483621939725,3.454463014803597e-10
