target,feature,feature_family,transform,n,n_positive,direction,oriented_auc,average_precision,spearman_rho,spearman_p,mwu_p,median_positive,median_negative,median_positive_minus_negative,source_eta2_after_transform,raw_source_eta2
future_any_drop_within_16cycles,masked_minus_background_mean_slope,mask_front_scalar,raw,96,48,higher_in_positive,0.6901041666666666,0.6956991002779074,0.32928794089600877,0.001053054863994876,0.0013466977043372196,0.0038948716108504504,0.00017503044836835534,0.003719841162482095,0.6335286140459528,0.6335286140459528
future_any_drop_within_16cycles,resdict_pc01_mean,residual_dictionary,source_mean_only,96,48,higher_in_positive,0.8237847222222222,0.7839506031338509,0.5624311551194264,2.4699250065148075e-09,4.2960972879545e-08,-0.0017096733445213874,-0.002416997561037179,0.0007073242165157917,1.0,0.1871819646086245
future_any_drop_within_16cycles,dictionary_recon_error_last_minus_first,residual_dictionary,source_residual,96,48,higher_in_positive,0.63671875,0.6372497536765309,0.23681666982247207,0.020175168932692226,0.021192374129992565,1.591985892446246e-06,-9.448358468944207e-07,2.5368217393406667e-06,1.4837696149476788e-33,0.27813154352209063
future_any_drop_within_16cycles,front_radius_q80_slope_px_per_norm_time,mask_front_scalar,within_source_rank,49,28,lower_in_positive,0.6556122448979593,0.6773003062653529,0.2709354502495094,0.05970365203771667,0.06192414327593897,0.0,0.33333333333333337,-0.33333333333333337,0.07810243778136412,0.10433684331820878
future_any_drop_within_16cycles,front_radius_q80_slope_px_per_norm_time,mask_front_scalar,within_source_z,48,28,lower_in_positive,0.6366071428571429,0.6915021939681802,0.23338342780476,0.11039067921928183,0.11193882877603219,0.1189701752661054,0.37766815230872824,-0.2586979770426229,5.257588130474615e-33,0.10433684331820878
future_any_drop_within_8cycles,masked_minus_background_mean_slope,mask_front_scalar,raw,96,28,higher_in_positive,0.8209033613445378,0.7031442379056523,0.5053016210162442,1.5158129013190908e-07,8.608524835185122e-07,0.00682433405963065,0.0005854491802105,0.00623888487942015,0.6335286140459528,0.6335286140459528
future_any_drop_within_8cycles,masked_minus_background_mean_slope,mask_front_scalar,source_mean_only,96,28,higher_in_positive,0.9296218487394958,0.8613945578231292,0.6784090165677618,3.097789947329652e-14,3.888333465764547e-11,0.007094311628571056,0.0007682984003847372,0.006326013228186319,0.9999999999999999,0.6335286140459528
future_any_drop_within_8cycles,front_radius_q80_median_px,mask_front_scalar,source_residual,96,28,higher_in_positive,0.6121323529411765,0.34939923120503885,0.17684279795358382,0.08477761678600748,0.08550267854391752,-0.125,-0.5,0.375,3.723182396582997e-34,0.15278402559104312
future_any_drop_within_8cycles,front_radius_q80_median_px,mask_front_scalar,within_source_rank,96,28,higher_in_positive,0.5690651260504203,0.3863334492983161,0.1092057348879842,0.28953217807138903,0.2889814578546668,0.0,-0.03125,0.03125,0.0051925573344872335,0.15278402559104312
future_any_drop_within_8cycles,resdict_pc03_std,residual_dictionary,within_source_z,96,28,lower_in_positive,0.5992647058823529,0.584999860715832,0.15630442941419012,0.1283184205311791,0.1286525868028119,-0.586193671987596,-0.4174764487350773,-0.1687172232525187,2.145141482772775e-32,0.4576790464904872
