roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png
source_balanced_cycle92_rank1_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,7,1,1,source_representative,False,25.928656580292166,source_balanced_expansion_candidate,1191.7333333333331,652.4,30.0,13611.0244140625,34.50833511352539,1096,556,1288,748,192,96,96,6347,7253,7984.6640625,7979.201171875,-5.462890625,0.06585477292537689,0.0655813217163086,-0.00027345120906829834,0.18027756377328777,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle92_rank1_obj1_10_c2_x10_030723.npz,
source_balanced_cycle92_rank1_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,7,1,2,source_representative,False,24.77546436055132,source_balanced_expansion_candidate,574.1904761904761,232.8571428571429,42.0,11196.3671875,29.26946449279785,478,137,670,329,192,96,96,6347,7253,8501.822265625,8492.5556640625,-9.2666015625,0.08850360661745071,0.08780252933502197,-0.0007010772824287415,0.18027756377328777,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle92_rank1_obj2_10_c2_x10_030723.npz,
source_balanced_cycle94_rank2_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,9,2,1,future16_negative,False,25.61083171634987,source_balanced_expansion_candidate,576.972972972973,232.97297297297297,37.0,12897.384765625,32.438777923583984,481,137,673,329,192,96,96,8161,9067,8492.6435546875,8486.44921875,-6.1943359375,0.0870167538523674,0.08660577982664108,-0.00041097402572631836,0.24999999999993178,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle94_rank2_obj1_10_c2_x10_030723.npz,
source_balanced_cycle94_rank2_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,9,2,2,future16_negative,False,24.42825610271029,source_balanced_expansion_candidate,833.6666666666666,68.83333333333333,48.0,10861.255859375,27.37371826171875,738,0,930,192,192,96,96,8161,9067,8934.533203125,8923.23828125,-11.294921875,0.09251372516155243,0.09176597744226456,-0.0007477477192878723,0.24999999999993178,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle94_rank2_obj2_10_c2_x10_030723.npz,
source_balanced_cycle98_rank3_obj1_11_c2_x10_050723,98.0,11_c2_x10_050723,3,3,1,future16_negative,False,23.986083525321504,source_balanced_expansion_candidate,1343.0679611650485,204.50485436893203,103.0,8562.1708984375,21.21138000488281,1247,109,1439,301,192,96,96,2706,3607,8874.2353515625,8886.8251953125,12.58984375,0.07134261727333069,0.07216120511293411,0.0008185878396034241,0.22360679774992814,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle98_rank3_obj1_11_c2_x10_050723.npz,
source_balanced_cycle98_rank3_obj2_11_c2_x10_050723,98.0,11_c2_x10_050723,3,3,2,future16_negative,False,25.03490981294613,source_balanced_expansion_candidate,835.7142857142857,94.66666666666669,42.0,13457.7646484375,29.523515701293945,740,0,932,192,192,96,96,2706,3607,8964.4775390625,8968.39453125,3.9169921875,0.08117502182722092,0.08182970434427261,0.0006546825170516968,0.22360679774992814,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle98_rank3_obj2_11_c2_x10_050723.npz,
source_balanced_cycle100_rank4_obj1_11_c2_x10_050723,100.0,11_c2_x10_050723,5,4,1,future16_positive,False,24.009890706615767,source_balanced_expansion_candidate,1342.2222222222222,204.22222222222223,108.0,8197.46484375,20.41080665588379,1246,108,1438,300,192,96,96,4510,5411,8880.9482421875,8886.0986328125,5.150390625,0.07151804119348526,0.07171154767274857,0.00019350647926330566,0.29154759474225334,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle100_rank4_obj1_11_c2_x10_050723.npz,
source_balanced_cycle100_rank4_obj2_11_c2_x10_050723,100.0,11_c2_x10_050723,5,4,2,future16_positive,False,24.767484170170583,source_balanced_expansion_candidate,834.3111111111111,94.22222222222224,45.0,12717.9267578125,27.73917961120605,738,0,930,192,192,96,96,4510,5411,8958.8818359375,8964.2412109375,5.359375,0.08066722750663757,0.08088615536689758,0.00021892786026000977,0.29154759474225334,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle100_rank4_obj2_11_c2_x10_050723.npz,
source_balanced_cycle102_rank5_obj1_11_c2_x10_050723,102.0,11_c2_x10_050723,7,5,1,source_representative,False,24.81286903333057,source_balanced_expansion_candidate,834.3111111111111,93.77777777777776,45.0,12752.44140625,27.896915435791016,738,0,930,192,192,96,96,6314,7215,8966.798828125,8960.958984375,-5.83984375,0.0812777653336525,0.08105248957872391,-0.00022527575492858887,0.22360679774997896,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle102_rank5_obj1_11_c2_x10_050723.npz,
source_balanced_cycle102_rank5_obj2_11_c2_x10_050723,102.0,11_c2_x10_050723,7,5,2,source_representative,False,23.360671263050325,source_balanced_expansion_candidate,1337.7518248175184,199.94160583941607,137.0,6112.04638671875,17.030691146850586,1242,104,1434,296,192,96,96,6314,7215,8884.5400390625,8882.544921875,-1.9951171875,0.07142522931098938,0.07140012830495834,-2.5101006031036377e-05,0.22360679774997896,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle102_rank5_obj2_11_c2_x10_050723.npz,
