roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,persistence_mse_mean,persistence_mse_p95,persistence_mse_late_mean,velocity_mse_mean,velocity_mse_p95,velocity_minus_persistence_mse,temporal_energy_mean,temporal_energy_p95,temporal_energy_late_minus_early,roi_norm_mean_late_minus_early,roi_norm_mean_positive_step_fraction,raw_roi_mean_delta_last_minus_first,stage_drift_xy_recomputed,n_loaded_frames,frame_height,frame_width
source_balanced_cycle92_rank1_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,7,1,1,source_representative,False,25.928656580292166,source_balanced_expansion_candidate,1191.7333333333331,652.4,30.0,13611.0244140625,34.50833511352539,1096,556,1288,748,192,96,96,6347,7253,7984.6640625,7979.201171875,-5.462890625,0.06585477292537689,0.0655813217163086,-0.00027345120906829834,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle92_rank1_obj1_10_c2_x10_030723.npz,,8.752191934036091e-05,0.0003430043288972229,8.800694195087999e-05,0.00024998540175147355,0.0009834080701693892,0.00016239366959780455,0.009352903813123703,0.009747621323913335,8.436944335699081e-05,0.0015324347962935858,0.5052631578947369,-5.462890625,0.18031819202357524,96,96,96
source_balanced_cycle92_rank1_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,7,1,2,source_representative,False,24.77546436055132,source_balanced_expansion_candidate,574.1904761904761,232.8571428571429,42.0,11196.3671875,29.26946449279785,478,137,670,329,192,96,96,6347,7253,8501.822265625,8492.5556640625,-9.2666015625,0.08850360661745071,0.08780252933502197,-0.0007010772824287415,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle92_rank1_obj2_10_c2_x10_030723.npz,,0.00014259954332374036,0.0005580746888881549,0.00014303771604318172,0.00041186370071955025,0.0016155431047081936,0.0002691939298529178,0.01193950418382883,0.012393076438456774,6.169639527797699e-05,0.00134912210827072,0.5157894736842106,-9.2666015625,0.18031819202357524,96,96,96
source_balanced_cycle94_rank2_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,9,2,1,future16_negative,False,25.61083171634987,source_balanced_expansion_candidate,576.972972972973,232.97297297297297,37.0,12897.384765625,32.438777923583984,481,137,673,329,192,96,96,8161,9067,8492.6435546875,8486.44921875,-6.1943359375,0.0870167538523674,0.08660577982664108,-0.00041097402572631836,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle94_rank2_obj1_10_c2_x10_030723.npz,,0.00013175744970794767,0.0005149625823833047,0.00013286317698657513,0.00037989107659086585,0.0014893841114826491,0.0002480722323525697,0.011476934887468815,0.011769084166735411,0.00014988332986831665,0.00018122947464385697,0.5157894736842106,-6.1943359375,0.24997559070633724,96,96,96
source_balanced_cycle94_rank2_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,9,2,2,future16_negative,False,24.42825610271029,source_balanced_expansion_candidate,833.6666666666666,68.83333333333333,48.0,10861.255859375,27.37371826171875,738,0,930,192,192,96,96,8161,9067,8934.533203125,8923.23828125,-11.294921875,0.09251372516155243,0.09176597744226456,-0.0007477477192878723,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle94_rank2_obj2_10_c2_x10_030723.npz,,9.137377492152154e-05,0.000361533674004022,9.215469617629424e-05,0.00026813376462087035,0.0010614717670250676,0.00017670579836703837,0.009557083249092102,0.009866430144757032,0.00011126045137643814,-0.00023081324373681877,0.5157894736842106,-11.294921875,0.24997559070633724,96,96,96
source_balanced_cycle98_rank3_obj1_11_c2_x10_050723,98.0,11_c2_x10_050723,3,3,1,future16_negative,False,23.986083525321504,source_balanced_expansion_candidate,1343.0679611650485,204.50485436893203,103.0,8562.1708984375,21.21138000488281,1247,109,1439,301,192,96,96,2706,3607,8874.2353515625,8886.8251953125,12.58984375,0.07134261727333069,0.07216120511293411,0.0008185878396034241,0.2236067977499281,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle98_rank3_obj1_11_c2_x10_050723.npz,,4.659859769162722e-05,0.0001645323827688111,3.961705806432292e-05,0.00012879222049377859,0.00047659248230047524,8.213662658818066e-05,0.006547974888235331,0.007190090557560324,-0.0007657189853489399,0.0014048533824582848,0.4842105263157895,12.58984375,0.22360679941597944,96,96,96
source_balanced_cycle98_rank3_obj2_11_c2_x10_050723,98.0,11_c2_x10_050723,3,3,2,future16_negative,False,25.03490981294613,source_balanced_expansion_candidate,835.7142857142857,94.66666666666669,42.0,13457.7646484375,29.523515701293945,740,0,932,192,192,96,96,2706,3607,8964.4775390625,8968.39453125,3.9169921875,0.08117502182722092,0.08182970434427261,0.0006546825170516968,0.2236067977499281,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle98_rank3_obj2_11_c2_x10_050723.npz,,7.401790207950398e-05,0.0002658739103935659,6.31320581305772e-05,0.00020811634021811187,0.000775497744325548,0.0001339855807600543,0.008264833129942417,0.008998646028339862,-0.0009861774742603302,0.0011544865556061268,0.49473684210526314,3.9169921875,0.22360679941597944,96,96,96
source_balanced_cycle100_rank4_obj1_11_c2_x10_050723,100.0,11_c2_x10_050723,5,4,1,future16_positive,False,24.009890706615767,source_balanced_expansion_candidate,1342.2222222222222,204.22222222222223,108.0,8197.46484375,20.41080665588379,1246,108,1438,300,192,96,96,4510,5411,8880.9482421875,8886.0986328125,5.150390625,0.07151804119348526,0.07171154767274857,0.00019350647926330566,0.2915475947422533,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle100_rank4_obj1_11_c2_x10_050723.npz,,3.925899727619253e-05,0.00015423031218233512,3.9539831050205976e-05,0.00011235912097617984,0.0004433865309692919,7.316670962609351e-05,0.00626193406060338,0.006691812351346016,4.419684410095215e-05,0.0009816125966608524,0.5368421052631579,5.150390625,0.2915601564253875,96,96,96
source_balanced_cycle100_rank4_obj2_11_c2_x10_050723,100.0,11_c2_x10_050723,5,4,2,future16_positive,False,24.767484170170583,source_balanced_expansion_candidate,834.3111111111111,94.22222222222224,45.0,12717.9267578125,27.73917961120605,738,0,930,192,192,96,96,4510,5411,8958.8818359375,8964.2412109375,5.359375,0.08066722750663757,0.08088615536689758,0.00021892786026000977,0.2915475947422533,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle100_rank4_obj2_11_c2_x10_050723.npz,,6.338733510347083e-05,0.00024976516433525725,6.409709749277681e-05,0.0001845976075856015,0.0007306311745196575,0.000121319193567615,0.00795654021203518,0.008434616681188344,9.234156459569931e-05,0.0008564217326541695,0.5263157894736842,5.359375,0.2915601564253875,96,96,96
source_balanced_cycle102_rank5_obj1_11_c2_x10_050723,102.0,11_c2_x10_050723,7,5,1,source_representative,False,24.81286903333057,source_balanced_expansion_candidate,834.3111111111111,93.77777777777776,45.0,12752.44140625,27.896915435791016,738,0,930,192,192,96,96,6314,7215,8966.798828125,8960.958984375,-5.83984375,0.0812777653336525,0.08105248957872391,-0.00022527575492858887,0.2236067977499789,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle102_rank5_obj1_11_c2_x10_050723.npz,,6.342729466268793e-05,0.00025000079767778516,6.312074401648715e-05,0.00018593583081383258,0.0007352706568781286,0.00012250314466655254,0.007960005663335323,0.00823961803689599,-5.596131086349487e-05,-0.00013742937395969101,0.5578947368421052,-5.83984375,0.22360679941597944,96,96,96
source_balanced_cycle102_rank5_obj2_11_c2_x10_050723,102.0,11_c2_x10_050723,7,5,2,source_representative,False,23.360671263050325,source_balanced_expansion_candidate,1337.7518248175184,199.94160583941607,137.0,6112.04638671875,17.030691146850586,1242,104,1434,296,192,96,96,6314,7215,8884.5400390625,8882.544921875,-1.9951171875,0.07142522931098938,0.07140012830495834,-2.5101006031036377e-05,0.2236067977499789,0.0,1.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_roi_sequences/source_balanced_cycle102_rank5_obj2_11_c2_x10_050723.npz,,3.8753867556806654e-05,0.00015208171898848378,3.856224429910071e-05,0.00011142544099129736,0.000438649755960796,7.268086483236402e-05,0.006221418734639883,0.006460979906842112,-5.581323057413101e-05,8.766120299696922e-05,0.5473684210526316,-1.9951171875,0.22360679941597944,96,96,96
