roi_id,cycleNo,source_stem,local_cycle_index,expansion_cycle_rank,object_candidate_rank,selection_reason,event_relative_bin,cohort_role,cycles_to_next_event,cycles_since_prev_event,future_event_within_32cycles,past_event_within_16cycles,already_in_existing_video_cohort,validation_score,validation_label,object_x_full_approx,object_y_full_approx,object_area_ds_px,object_mean_residual,object_mean_abs_z,crop_x0,crop_y0,crop_x1,crop_y1,crop_size_full,output_size,n_frames,first_frame_index,last_frame_index,roi_mean_first,roi_mean_last,roi_mean_delta_last_minus_first,roi_norm_mean_first,roi_norm_mean_last,roi_norm_mean_delta_last_minus_first,stage_drift_xy_sampled,future_any_drop_within_8cycles,future_any_drop_within_16cycles,any_abrupt_drop,npz_path,preview_png,status,timing_elapsed_s,timing_dt_median_s,timing_dt_max_to_median_ratio,pixel_size_um,thr30_radius2_slope_px2_per_s,thr30_radius2_slope_r2,thr30_radius2_slope_n,thr30_radius2_slope_boot_p05_px2_per_s,thr30_radius2_slope_boot_p50_px2_per_s,thr30_radius2_slope_boot_p95_px2_per_s,thr30_apparent_D_um2_per_s,thr30_apparent_D_boot_p05_um2_per_s,thr30_apparent_D_boot_p50_um2_per_s,thr30_apparent_D_boot_p95_um2_per_s,thr30_frac_mean,thr30_frac_delta,thr50_radius2_slope_px2_per_s,thr50_radius2_slope_r2,thr50_radius2_slope_n,thr50_radius2_slope_boot_p05_px2_per_s,thr50_radius2_slope_boot_p50_px2_per_s,thr50_radius2_slope_boot_p95_px2_per_s,thr50_apparent_D_um2_per_s,thr50_apparent_D_boot_p05_um2_per_s,thr50_apparent_D_boot_p50_um2_per_s,thr50_apparent_D_boot_p95_um2_per_s,thr50_frac_mean,thr50_frac_delta,thr70_radius2_slope_px2_per_s,thr70_radius2_slope_r2,thr70_radius2_slope_n,thr70_radius2_slope_boot_p05_px2_per_s,thr70_radius2_slope_boot_p50_px2_per_s,thr70_radius2_slope_boot_p95_px2_per_s,thr70_apparent_D_um2_per_s,thr70_apparent_D_boot_p05_um2_per_s,thr70_apparent_D_boot_p50_um2_per_s,thr70_apparent_D_boot_p95_um2_per_s,thr70_frac_mean,thr70_frac_delta
source_balanced_cycle88_rank1_obj1_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.329266672272,source_balanced_pre_event_candidate,574.5365853658536,231.1219512195122,41.0,11764.1923828125,29.37434196472168,479,135,671,327,192,96,96,2720,3626,8546.6884765625,8550.58984375,3.9013671875,0.0886805951595306,0.0889895185828208,0.0003089234232902,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj1_10_c2_x10_030723.npz,,ok,9106.526124715805,99.89405534043908,1.0134468686794034,0.096,0.0016157746234960694,0.21942869424806277,96,0.00111313376145443,0.0016263241077336826,0.002198152342434912,3.722744732534944e-06,2.564660186391007e-06,3.7470507442184046e-06,5.0645429969700375e-06,0.8018524066307169,0.008687837028160672,0.0012793915835517952,0.23720505206961806,96,0.0007448760569716647,0.0012703716231933716,0.0018506413309827936,2.947718208503336e-06,1.7161944352627155e-06,2.9269362198375285e-06,4.263877626584356e-06,0.5479875049930097,0.009586578789694433,-0.0018132977730132642,0.2785189885994933,96,-0.002493025163818567,-0.001841142270753546,-0.0010817846574147842,-4.177838069022561e-06,-5.743929977437979e-06,-4.24199179181617e-06,-2.492431850683663e-06,0.3428949470740963,0.0032953864589574944
source_balanced_cycle88_rank1_obj2_10_c2_x10_030723,88.0,10_c2_x10_030723,3,1,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,28.0,2.0,1.0,1.0,True,24.56405304864168,source_balanced_pre_event_candidate,1190.9411764705883,652.0,34.0,12524.58203125,30.94007873535156,1095,556,1287,748,192,96,96,2720,3626,8040.17626953125,8034.916015625,-5.26025390625,0.0692231953144073,0.0689038857817649,-0.0003193095326423,0.1802775637731931,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle88_rank1_obj2_10_c2_x10_030723.npz,,ok,9106.526124715805,99.89405534043908,1.0134468686794034,0.096,-0.0021666185656941226,0.45331252271122313,96,-0.0027218832291110136,-0.0021525655427233267,-0.0015210618195855483,-4.991889175359259e-06,-6.271218959871776e-06,-4.959511010434545e-06,-3.5045264323251033e-06,0.7756110195725983,-0.005542240862792092,-0.0029715205397303052,0.17920334686381634,96,-0.004262014617595208,-0.0030036080520094034,-0.0016273595524784997,-6.846383323538623e-06,-9.81968167893936e-06,-6.920312951829665e-06,-3.7494364089104634e-06,0.553579675953665,-0.005092869982025183,-0.0010541549761498717,0.02350653155877569,96,-0.0023831385421178054,-0.001091665944161515,0.0004724963695226217,-2.4287730650493045e-06,-5.490751201039424e-06,-2.5151983353481306e-06,1.0886316353801204e-06,0.36693472887956863,-0.003894547633313372
source_balanced_cycle90_rank2_obj1_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.307087736570715,source_balanced_pre_event_candidate,831.709090909091,65.81818181818181,55.0,9689.1435546875,24.847431182861328,736,0,928,192,192,96,96,4534,5439,8959.5205078125,8950.794921875,-8.7255859375,0.0919018611311912,0.091493934392929,-0.0004079267382621,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj1_10_c2_x10_030723.npz,,ok,9100.682447873056,100.03544535115361,1.0136631555467062,0.096,-0.00019901442977391022,0.035306915358326196,96,-0.00042130952853583465,-0.00018915031470684057,1.393172805095943e-05,-4.5852924619908915e-07,-9.70697153746563e-07,-4.358023250845607e-07,3.209870142941053e-08,0.7565221190333533,0.0028460155781905305,-0.0011587658941992897,0.24440607528094815,96,-0.0016066982389194287,-0.001165949765995256,-0.0006610504091482477,-2.6697966202351633e-06,-3.7018327424703636e-06,-2.68634826085307e-06,-1.5230601426775627e-06,0.5625124825244657,-0.0023966446974235667,-0.0018124747537756876,0.4153278224242706,96,-0.0023080228883608877,-0.0018564590702200591,-0.0013120548763153879,-4.1759418326991844e-06,-5.317684734783486e-06,-4.277281697787016e-06,-3.022974435030654e-06,0.3436064509686439,-0.006291192330736994
source_balanced_cycle90_rank2_obj2_10_c2_x10_030723,90.0,10_c2_x10_030723,5,2,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,26.0,4.0,1.0,1.0,True,23.842986199481786,source_balanced_pre_event_candidate,574.2222222222222,232.0,45.0,10566.20703125,27.51865005493164,478,136,670,328,192,96,96,4534,5439,8528.22265625,8518.755859375,-9.466796875,0.087337926030159,0.0866547003388404,-0.0006832256913185,0.2500000000000227,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle90_rank2_obj2_10_c2_x10_030723.npz,,ok,9100.682447873056,100.03544535115361,1.0136631555467062,0.096,0.0003639433188875355,0.03940222084498435,96,-2.905294979695701e-06,0.0003530244185684505,0.0007245910402770113,8.385254067168818e-07,-6.693799633218895e-09,8.133682603817099e-07,1.6694577567982342e-06,0.7757998177551428,0.008687837028160561,-0.0009710948659462501,0.3472568705132123,96,-0.001169463643740071,-0.0009564723700178064,-0.0007451910939939093,-2.2374025711401603e-06,-2.6944442351771235e-06,-2.203712340521026e-06,-1.716920280561967e-06,0.5400579813261434,-0.0032953864589574944,-0.0010698304358624981,0.06761362307391694,96,-0.001673540778023482,-0.0011155298146196587,-0.0004998239906007868,-2.464889324227196e-06,-3.855837952566103e-06,-2.5701806928836936e-06,-1.1515944743442128e-06,0.3441353979428799,-0.005092869982025128
source_balanced_cycle92_rank3_obj1_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,25.488656580292165,source_balanced_pre_event_candidate,1191.7333333333331,652.4,30.0,13611.0244140625,34.50833511352539,1096,556,1288,748,192,96,96,6347,7253,7984.6640625,7979.201171875,-5.462890625,0.0658547729253768,0.0655813217163086,-0.0002734512090682,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj1_10_c2_x10_030723.npz,,ok,9115.646501589566,99.96477937698364,1.0148515068380812,0.096,-0.0003339268100958288,0.09226283296882898,96,-0.0005985551159822519,-0.00032510694946259673,-9.824038321257423e-05,-7.693673704607896e-07,-1.3790709872231084e-06,-7.490464115618229e-07,-2.2634584292177102e-07,0.7577454064309966,0.0029958058717795,-0.0015253157674678494,0.0994173928866201,96,-0.002629010954576122,-0.0015218165710000758,-0.0003760255368350945,-3.5143275282459253e-06,-6.057241239343385e-06,-3.506265379584175e-06,-8.663628368680577e-07,0.5460870406430997,0.002546434991012536,-0.00196495535361238,0.08679841056376025,96,-0.003468183528781022,-0.0019763829957567254,-0.0004113226772277221,-4.5272571347229235e-06,-7.990694850311475e-06,-4.5535864222234956e-06,-9.476874483326717e-07,0.36364558368284405,0.0028460155781905305
source_balanced_cycle92_rank3_obj2_10_c2_x10_030723,92.0,10_c2_x10_030723,7,3,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,24.0,6.0,1.0,1.0,True,24.29946436055132,source_balanced_pre_event_candidate,574.1904761904761,232.8571428571429,42.0,11196.3671875,29.26946449279785,478,137,670,329,192,96,96,6347,7253,8501.822265625,8492.5556640625,-9.2666015625,0.0885036066174507,0.0878025293350219,-0.0007010772824287,0.1802775637732877,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle92_rank3_obj2_10_c2_x10_030723.npz,,ok,9115.646501589566,99.96477937698364,1.0148515068380812,0.096,0.00014813313623757363,0.007284052502538385,96,-0.00021887913618029366,0.0001453362644424763,0.0004998127165038009,3.4129874589136964e-07,-5.042975297593966e-07,3.3485475327546543e-07,1.1515684988247574e-06,0.7607084456760536,0.0058418214499700305,-0.00024776614545283257,0.010241934399936037,96,-0.0007001374883878259,-0.00022945482201958112,0.00022968829418016954,-5.708531991233263e-07,-1.613116773245551e-06,-5.28663909933115e-07,5.292018297911106e-07,0.5322673257439584,-0.0017974835230676889,-0.000345708397922003,0.0029367306326798515,96,-0.001522750468716623,-0.0003329955762171412,0.0010011378879512848,-7.965121488122949e-07,-3.5084170799230994e-06,-7.672218076042934e-07,2.30662169383976e-06,0.344428737267825,-0.0007489514679449027
source_balanced_cycle94_rank4_obj1_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,1,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,25.14983171634987,source_balanced_pre_event_candidate,576.972972972973,232.97297297297297,37.0,12897.384765625,32.438777923583984,481,137,673,329,192,96,96,8161,9067,8492.6435546875,8486.44921875,-6.1943359375,0.0870167538523674,0.086605779826641,-0.0004109740257263,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj1_10_c2_x10_030723.npz,,ok,9119.935490276664,99.94118233025074,1.01485538191652,0.096,-0.00047333274271366745,0.125283366512432,96,-0.0006914759226526271,-0.00045696678430704233,-0.0002553071962010837,-1.0905586392122897e-06,-1.593160525791653e-06,-1.0528514710434256e-06,-5.882277800472967e-07,0.744357898941482,-0.006141402037147969,-0.0003473365890643449,0.0250529152475909,96,-0.0008473422835977312,-0.0003168733625208191,0.00010296841939211998,-8.002635012042506e-07,-1.9522766214091725e-06,-7.300762272479673e-07,2.3723923827944444e-07,0.5202060864789296,-0.0031455961653684694,-0.0007079015720365868,0.010082227455322723,96,-0.0020713892344062334,-0.0007265482583757446,0.0006372835788441452,-1.631005221972296e-06,-4.772480796071962e-06,-1.6739671872977154e-06,1.4683013656569106e-06,0.34039220091871386,-0.003145596165368525
source_balanced_cycle94_rank4_obj2_10_c2_x10_030723,94.0,10_c2_x10_030723,9,4,2,post_event_1_16,post_event_1_16,source_balanced_pre_event_sampling,22.0,8.0,1.0,1.0,True,23.93425610271029,source_balanced_pre_event_candidate,833.6666666666666,68.83333333333333,48.0,10861.255859375,27.37371826171875,738,0,930,192,192,96,96,8161,9067,8934.533203125,8923.23828125,-11.294921875,0.0925137251615524,0.0917659774422645,-0.0007477477192878,0.2499999999999317,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle94_rank4_obj2_10_c2_x10_030723.npz,,ok,9119.935490276664,99.94118233025074,1.01485538191652,0.096,-0.00026650681478380495,0.057381652847841136,96,-0.0004324568590071607,-0.0002523713845680915,-7.698360509086209e-05,-6.140317012618866e-07,-9.963806031524983e-07,-5.814636700448828e-07,-1.7737022612934625e-07,0.7314384861194329,-0.0014979029358896945,-0.0004337542850655591,0.12132869717779393,96,-0.0006859604708071,-0.0004372023487580021,-0.00018984032887367069,-9.993698727910482e-07,-1.5804529247395585e-06,-1.0073142115384369e-06,-4.3739211772493725e-07,0.5441569302975834,-0.01063511084481722,-0.0014404440310026305,0.3357991478967175,96,-0.0018682497960347186,-0.0014603893869379345,-0.0010284024895770244,-3.318783047430061e-06,-4.304447530063992e-06,-3.364737147505001e-06,-2.369439335985464e-06,0.33699851457958857,-0.006291192330736939
source_balanced_cycle96_rank5_obj1_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,1,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,23.445151520434056,source_balanced_pre_event_candidate,1339.6521739130435,203.96521739130435,115.0,8149.71435546875,19.829694747924805,1244,108,1436,300,192,96,96,902,1803,8879.798828125,8878.8388671875,-0.9599609375,0.0725918188691139,0.0725421607494354,-4.9658119678497314e-05,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj1_11_c2_x10_050723.npz,,ok,9048.67356107384,90.75066605210304,1.11425600859497,0.096,-0.00023099931201770647,0.03211828659691307,96,-0.0003815549931620673,-0.00023540996477637845,-4.715896603844104e-05,-5.322224148887958e-07,-8.791027042454031e-07,-5.42384558844776e-07,-1.0865425775256816e-07,0.7311014579588576,0.005991611743559,-0.000585943490682327,0.07498814044210189,96,-0.0009011915213266669,-0.0005732142153466633,-0.00020195448280037255,-1.3500138025320814e-06,-2.0763452651366405e-06,-1.3206855521587124e-06,-4.6530312837205836e-07,0.532264205112842,-0.0043439185140802805,-0.0013553897779000315,0.07359235272881526,96,-0.002030270935531861,-0.0013719460869692124,-0.0005177226278169345,-3.1228180482816726e-06,-4.677744235465408e-06,-3.1609637843770654e-06,-1.192832934490217e-06,0.3290362242859996,0.0035949670461353778
source_balanced_cycle96_rank5_obj2_11_c2_x10_050723,96.0,11_c2_x10_050723,1,5,2,source_fill,post_event_1_16,source_balanced_pre_event_sampling,20.0,10.0,1.0,1.0,False,24.90960755549438,source_balanced_pre_event_candidate,834.3809523809524,95.61904761904762,42.0,13544.525390625,29.58783912658692,738,0,930,192,192,96,96,902,1803,8969.9482421875,8967.5615234375,-2.38671875,0.0822904556989669,0.0821564421057701,-0.0001340135931968,0.2500000000000909,0.0,0.0,0.0,/scratch/u6hp/nsagar.u6hp/Alek_Jiho/derived/source_balanced_pre_event_roi_sequences/source_balanced_cycle96_rank5_obj2_11_c2_x10_050723.npz,,ok,9048.67356107384,90.75066605210304,1.11425600859497,0.096,-0.00040297167245350424,0.12032574732896273,96,-0.0006346170431101393,-0.00041040975657434303,-0.00020370415660231713,-9.284467333328738e-07,-1.462157667325761e-06,-9.455840791472864e-07,-4.693343768117387e-07,0.7375190358498104,0.0002995805871779389,-0.0006015553781980365,0.1480046721563959,96,-0.0009007548822132637,-0.0006001101762500179,-0.00029827503317086566,-1.3859835913682762e-06,-2.0753392486193597e-06,-1.3826538460800412e-06,-6.872256764256745e-07,0.5428774715398442,-0.002396644697423622,-0.001213556176093365,0.17544642198555827,96,-0.0017507200426428193,-0.0011686749984236326,-0.0006404580285898192,-2.796033429719113e-06,-4.033658978249056e-06,-2.6926271963680496e-06,-1.4756152978709434e-06,0.33456130167765125,0.003894547633313372
